trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
168,168_0,FAILED,GenerationStep_1,,,4801,1,88,260,0.660535400787698012692317206529
169,169_0,FAILED,GenerationStep_1,,,1778,1,65,593,0.520789095310112304382244019507
170,170_0,FAILED,GenerationStep_1,,,4614,1,62,761,0.508454127827994817323542520171
171,171_0,FAILED,GenerationStep_1,,,725,1,75,834,0.738734152850090697306484344153
172,172_0,FAILED,GenerationStep_1,,,3690,1,83,260,0.513268616114847864295711588056
173,173_0,FAILED,GenerationStep_1,,,2182,2,88,885,0.628943001401987222820366696396
174,174_0,FAILED,GenerationStep_1,,,2092,1,38,942,0.884291246758005744510455770069
175,175_0,FAILED,GenerationStep_1,,,1729,1,70,189,0.592529822496133173892474133027
176,176_0,FAILED,GenerationStep_1,,,3569,6,62,575,0.165110851024939386810785890702
177,177_0,FAILED,GenerationStep_1,,,3652,1,75,332,0.713338829726430811994930536457
178,178_0,FAILED,GenerationStep_1,,,4381,4,82,137,0.652588270437705286752816391527
179,179_0,FAILED,GenerationStep_1,,,149,1,83,785,0.863972471146345233350416492613
180,180_0,FAILED,GenerationStep_1,,,3895,1,77,481,0.835161893600239513268945756863
181,181_0,FAILED,GenerationStep_1,,,3587,4,40,53,0.851381746387693150168729516736
182,182_0,FAILED,GenerationStep_1,,,4444,1,77,105,0.738284461563923688487420804449
183,183_0,FAILED,GenerationStep_1,,,1583,4,77,638,0.712891723317149672567438756232
184,184_0,FAILED,GenerationStep_1,,,141,1,72,752,0.005943334047377161859226912810
185,185_0,FAILED,GenerationStep_1,,,1866,1,79,269,0.628328303596551340781672934099
186,186_0,FAILED,GenerationStep_1,,,694,1,73,891,0.611912939087055796072434077360
187,187_0,FAILED,GenerationStep_1,,,3479,1,65,778,0.489030560658734236856304278263
188,188_0,FAILED,GenerationStep_1,,,3616,1,83,558,0.953360967351832511162967875862
189,189_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,83.000000000000000000000000000000,1692,55,77,535,0.752655080892257299929326563870
190,190_0,FAILED,GenerationStep_1,,,2362,1,75,533,0.720085797836500618451793798158
191,191_0,FAILED,GenerationStep_1,,,1452,14,53,888,0.957567913790556834996436919027
192,192_0,FAILED,GenerationStep_1,,,2671,1,86,398,0.286738261806807614995307176287
193,193_0,FAILED,GenerationStep_1,,,3788,1,69,657,0.500119271817599742036009047297
194,194_0,FAILED,GenerationStep_1,,,2995,1,72,500,0.588075796516482895981425826903
195,195_0,FAILED,GenerationStep_1,,,637,1,84,655,0.645062836729859090389993525605
196,196_0,FAILED,GenerationStep_1,,,3953,1,73,133,0.035154942352397224036852918516
197,197_0,FAILED,GenerationStep_1,,,2839,1,80,576,0.001000000000000000020816681712
198,198_0,FAILED,GenerationStep_1,,,1818,1,72,542,0.681718267754282680748190159647
199,199_0,FAILED,GenerationStep_1,,,3851,1,83,616,0.513509091237334458490693123167
200,200_0,FAILED,GenerationStep_1,,,2556,1,73,790,0.875250337106156850452975959342
201,201_0,FAILED,GenerationStep_1,,,2208,1,71,567,0.642302758186113376126513685449
202,202_0,FAILED,GenerationStep_1,,,1062,1,87,147,0.314057271898353529415715001960
203,203_0,COMPLETED,GenerationStep_1,0.920000000000000039968028886506,66.000000000000000000000000000000,1669,44,74,164,0.818610786367682585762395319762
204,204_0,COMPLETED,GenerationStep_1,0.920000000000000039968028886506,59.000000000000000000000000000000,4199,51,70,103,0.597651254620446992227300597733
205,205_0,FAILED,GenerationStep_1,,,1484,11,79,625,0.845877575269856740725060717523
206,206_0,FAILED,GenerationStep_1,,,420,1,82,265,0.532819994130010687882759157219
207,207_0,FAILED,GenerationStep_1,,,2256,8,71,442,0.893037875474623765725823432149
208,208_0,FAILED,GenerationStep_1,,,941,1,74,24,0.556670427510471577114969932154
209,209_0,FAILED,GenerationStep_1,,,4745,1,72,332,0.524458671181616264966862672736
210,210_0,FAILED,GenerationStep_1,,,203,1,72,963,0.951446055552164993152075567195
211,211_0,FAILED,GenerationStep_1,,,5000,1,72,32,0.723175639640086687087716654787
212,212_0,COMPLETED,GenerationStep_1,0.920000000000000039968028886506,47.000000000000000000000000000000,2963,112,72,277,0.412482217296099185066537984312
213,213_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2765,2612,84,756,0.836924617287725491898697782744
214,214_0,FAILED,GenerationStep_1,,,1438,1,72,571,0.076022002077050038204575344025
215,215_0,FAILED,GenerationStep_1,,,4267,20,72,195,0.272157262203014782553367467699
216,216_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2894,3471,80,887,0.828040617755415708778343741869
217,217_0,FAILED,GenerationStep_1,,,4172,1,72,616,0.155180995242975072745394982121
218,218_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4442,2224,82,158,0.746143975201774334315985015564
219,219_0,FAILED,GenerationStep_1,,,4958,32,65,968,0.057894699950288841527878958004
220,220_0,FAILED,GenerationStep_1,,,4921,1,72,266,0.351788931567363793995184551022
