trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
149,149_0,FAILED,SOBOL,,,1803,2872,3149,0.288509723799303174907038282981,0.831955256797373254862293379119,4.458001588528045289194778888486,str\(\'t-test\'\),3,str\(\'bounded\'\)
150,150_0,FAILED,SOBOL,,,147,2346,459,0.864163959069177534111361183022,0.741800763836130472306251704140,1.594059878229163507157295498473,str\(\'ks-test\'\),15,str\(\'bounded\'\)
151,151_0,FAILED,SOBOL,,,3663,4486,4983,0.066824880138039582933018323274,0.367592501234263180354133737637,8.277081693938001194510434288532,str\(\'t-test\'\),27,str\(\'bounded\'\)
152,152_0,FAILED,SOBOL,,,3238,1041,34,0.325707408200949455334693993791,0.578019377682358004300056109059,8.787097826045005888317973585799,str\(\'ks-test\'\),42,str\(\'bounded\'\)
153,153_0,COMPLETED,SOBOL,0.550000000000000044408920985006,439.000000000000000000000000000000,503,3301,4568,0.619900619963184018601509706059,0.453403241289779546097093998469,1.088620999575592440677951344696,str\(\'t-test\'\),5,str\(\'bounded\'\)
154,154_0,FAILED,SOBOL,,,1299,1327,1867,0.040347928604111078787486377450,0.122535518601536747018698747524,2.541874479706399014844464545604,str\(\'ks-test\'\),19,str\(\'bounded\'\)
155,155_0,FAILED,SOBOL,,,4970,4343,3592,0.779179540492594191469777342718,0.995644518600776740058222458174,7.271899857388810062275297241285,str\(\'t-test\'\),31,str\(\'bounded\'\)
156,156_0,FAILED,SOBOL,,,4316,2118,4316,0.880889347910881026493257195398,0.795375973688438486774998636974,7.842855942197144436534017586382,str\(\'ks-test\'\),25,str\(\'bounded\'\)
157,157_0,FAILED,SOBOL,,,1894,4724,1026,0.173397080032154926598764177470,0.171735803321003910326680852449,2.029506211024708850487741074176,str\(\'t-test\'\),37,str\(\'bounded\'\)
158,158_0,FAILED,SOBOL,,,1157,524,2556,0.721944988342002047509993190033,0.254081942452117792718979671918,4.111054534039460861549741821364,str\(\'ks-test\'\),49,str\(\'bounded\'\)
159,159_0,FAILED,SOBOL,,,2642,2647,2085,0.458665680754929805384989549566,0.628229249212890916709284283570,5.706076326457783842727167211706,str\(\'t-test\'\),11,str\(\'bounded\'\)
160,160_0,COMPLETED,SOBOL,0.550000000000000044408920985006,730.000000000000000000000000000000,2503,1927,897,0.083035733904689545958888174937,0.227805362960323692922415261819,7.356342420876027077270009613130,str\(\'ks-test\'\),4,str\(\'bounded\'\)
161,161_0,FAILED,SOBOL,,,1174,4982,3859,0.845015004390850643645194395503,0.851392024319618911931684124283,2.792786486496217523978202734725,str\(\'t-test\'\),41,str\(\'bounded\'\)
162,162_0,FAILED,SOBOL,,,2028,391,2263,0.298596905177459126523586974145,0.691054777959361654637859828654,1.160411954357288832895278574142,str\(\'ks-test\'\),31,str\(\'bounded\'\)
163,163_0,FAILED,SOBOL,,,4294,2690,3042,0.507267874740064184102550370881,0.316975252993404843504521295472,9.004889651989564924861042527482,str\(\'t-test\'\),18,str\(\'bounded\'\)
164,164_0,FAILED,SOBOL,,,4870,1163,4702,0.655728579714894288521520593349,0.398311949379742125110226425022,5.797402165491134518049420876196,str\(\'ks-test\'\),37,str\(\'bounded\'\)
165,165_0,FAILED,SOBOL,,,1354,3247,486,0.416082807762548301244720505565,0.522981654265895490318882821157,4.348370218479074900130854075542,str\(\'t-test\'\),24,str\(\'bounded\'\)
166,166_0,FAILED,SOBOL,,,599,1507,3409,0.993871153669431794952515701880,0.931840484183281692054379163892,2.094415529224090466442476099473,str\(\'ks-test\'\),10,str\(\'bounded\'\)
