trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
999,999_0,RUNNING,SOBOL,,,,720,9,822,str\(\'KL\'\),str\(\'tstat\'\),0.373085392853245156885577671346,77,1
1000,1000_0,RUNNING,SOBOL,,,,997,12,3137,str\(\'KL\'\),str\(\'tstat\'\),0.100555544231086965711874370299,3,3
1001,1001_0,RUNNING,SOBOL,,,,4814,3,1071,str\(\'H\'\),str\(\'stdev\'\),0.523399517143145254216562989313,90,1
1002,1002_0,RUNNING,SOBOL,,,,3510,20,4108,str\(\'KL\'\),str\(\'stdev\'\),0.834667171776294680718422114296,61,2
1003,1003_0,RUNNING,SOBOL,,,,2322,6,1329,str\(\'H\'\),str\(\'tstat\'\),0.290728030493482947349548339844,48,1
1004,1004_0,RUNNING,SOBOL,,,,1862,18,63,str\(\'H\'\),str\(\'stdev\'\),0.901952195355668617793298835750,87,3
1005,1005_0,RUNNING,SOBOL,,,,3013,9,2919,str\(\'KL\'\),str\(\'tstat\'\),0.471039186704903856117709892715,25,2
1006,1006_0,RUNNING,SOBOL,,,,4373,15,2226,str\(\'H\'\),str\(\'tstat\'\),0.169761519825085999135794168069,26,1
1007,1007_0,RUNNING,SOBOL,,,,519,0,4526,str\(\'KL\'\),str\(\'stdev\'\),0.705688731387257628391296293557,64,3
1008,1008_0,RUNNING,SOBOL,,,,339,14,1236,str\(\'H\'\),str\(\'tstat\'\),0.552749984206631794769748466933,34,2
1009,1009_0,RUNNING,SOBOL,,,,4144,0,3303,str\(\'KL\'\),str\(\'stdev\'\),0.071398992251604800896025437851,71,3
1010,1010_0,RUNNING,SOBOL,,,,2852,17,1515,str\(\'H\'\),str\(\'stdev\'\),0.257669479323551053884244765868,80,3
1011,1011_0,RUNNING,SOBOL,,,,1652,8,4294,str\(\'KL\'\),str\(\'tstat\'\),0.867912514649331612304195004981,17,1
1012,1012_0,RUNNING,SOBOL,,,,2444,20,3066,str\(\'KL\'\),str\(\'stdev\'\),0.449645721998065683866485642284,56,1
1013,1013_0,RUNNING,SOBOL,,,,3602,5,210,str\(\'H\'\),str\(\'tstat\'\),0.923411086605861797238503640983,44,3
1014,1014_0,RUNNING,SOBOL,,,,4955,12,4652,str\(\'KL\'\),str\(\'tstat\'\),0.746642910815775384669734648924,7,1
1015,1015_0,RUNNING,SOBOL,,,,1109,2,2353,str\(\'H\'\),str\(\'stdev\'\),0.128878968296572554708134816792,95,2
1016,1016_0,RUNNING,SOBOL,,,,921,16,4745,str\(\'H\'\),str\(\'stdev\'\),0.399450558241456754604570278389,22,2
1017,1017_0,RUNNING,SOBOL,,,,4579,10,1968,str\(\'KL\'\),str\(\'tstat\'\),0.974577112155035174545503195986,84,1
1018,1018_0,RUNNING,SOBOL,,,,3432,14,2504,str\(\'H\'\),str\(\'tstat\'\),0.665258165068924434137898060726,67,1
1019,1019_0,RUNNING,SOBOL,,,,2086,2,439,str\(\'KL\'\),str\(\'stdev\'\),0.211226842729374753027116184967,29,3
1020,1020_0,RUNNING,SOBOL,,,,1315,11,1588,str\(\'KL\'\),str\(\'tstat\'\),0.596113394411280750340154099831,93,2
1021,1021_0,RUNNING,SOBOL,,,,2620,4,3889,str\(\'H\'\),str\(\'stdev\'\),0.028998829703778029182048570078,6,3
1022,1022_0,RUNNING,SOBOL,,,,3828,19,695,str\(\'KL\'\),str\(\'stdev\'\),0.332226159615442162564846739770,45,1
1023,1023_0,RUNNING,SOBOL,,,,128,7,3552,str\(\'H\'\),str\(\'tstat\'\),0.794326577179133908046537726477,58,3
1024,1024_0,RUNNING,SOBOL,,,,132,16,2054,str\(\'H\'\),str\(\'tstat\'\),0.236762569230049846336072505437,79,3
1025,1025_0,RUNNING,SOBOL,,,,3825,10,4991,str\(\'KL\'\),str\(\'stdev\'\),0.640115276666358146151480923436,16,2
1026,1026_0,RUNNING,SOBOL,,,,2619,14,545,str\(\'H\'\),str\(\'stdev\'\),0.937247087530791778142713610578,35,3
1027,1027_0,RUNNING,SOBOL,,,,1317,2,2769,str\(\'KL\'\),str\(\'tstat\'\),0.436189777238294495997905642071,72,1
1028,1028_0,RUNNING,SOBOL,,,,2090,11,3956,str\(\'KL\'\),str\(\'stdev\'\),0.760879997866228174885350199474,8,1
1029,1029_0,RUNNING,SOBOL,,,,3429,4,1814,str\(\'H\'\),str\(\'tstat\'\),0.365051945205777883529663085938,95,2
1030,1030_0,RUNNING,SOBOL,,,,4578,19,3599,str\(\'KL\'\),str\(\'tstat\'\),0.058417533067986367190105312375,55,2
1031,1031_0,RUNNING,SOBOL,,,,922,7,901,str\(\'H\'\),str\(\'stdev\'\),0.567056604154407950524330317421,43,1
1032,1032_0,RUNNING,SOBOL,,,,1113,14,3214,str\(\'H\'\),str\(\'stdev\'\),0.842258884297683807496071040077,67,3
1033,1033_0,RUNNING,SOBOL,,,,4952,0,994,str\(\'KL\'\),str\(\'tstat\'\),0.282694701816886662104622018887,30,2
1034,1034_0,RUNNING,SOBOL,,,,3601,17,4185,str\(\'H\'\),str\(\'tstat\'\),0.108603268383070827862724172519,21,1
1035,1035_0,RUNNING,SOBOL,,,,2445,8,1252,str\(\'KL\'\),str\(\'stdev\'\),0.515884778775274721596133531420,84,3
1036,1036_0,RUNNING,SOBOL,,,,1656,20,140,str\(\'KL\'\),str\(\'tstat\'\),0.162200267564505340445180081588,45,3
1037,1037_0,RUNNING,SOBOL,,,,2848,5,2842,str\(\'H\'\),str\(\'stdev\'\),0.713691607238724823325526358531,57,2
1038,1038_0,RUNNING,SOBOL,,,,4143,12,2303,str\(\'KL\'\),str\(\'stdev\'\),0.893874010942876329188777617674,94,3
1039,1039_0,RUNNING,SOBOL,,,,340,2,4448,str\(\'H\'\),str\(\'tstat\'\),0.478584377897903312515381912817,6,1
1040,1040_0,RUNNING,SOBOL,,,,521,12,1160,str\(\'KL\'\),str\(\'stdev\'\),0.265199444103986048393295504866,99,1
1041,1041_0,RUNNING,SOBOL,,,,4372,3,3379,str\(\'H\'\),str\(\'tstat\'\),0.859819107541814453554707142757,11,3
1042,1042_0,RUNNING,SOBOL,,,,3009,20,1438,str\(\'KL\'\),str\(\'tstat\'\),0.560737626209855122283443051856,40,1
1043,1043_0,RUNNING,SOBOL,,,,1865,6,4371,str\(\'H\'\),str\(\'stdev\'\),0.063822509860619908161893931720,52,3
1044,1044_0,RUNNING,SOBOL,,,,2323,18,2989,str\(\'H\'\),str\(\'tstat\'\),0.739143406296148941514445596113,13,2
1045,1045_0,RUNNING,SOBOL,,,,3509,9,287,str\(\'KL\'\),str\(\'stdev\'\),0.136941922578960650902502038662,76,3
1046,1046_0,RUNNING,SOBOL,,,,4810,15,4576,str\(\'H\'\),str\(\'stdev\'\),0.441627619734033916021331833690,75,2
1047,1047_0,RUNNING,SOBOL,,,,1001,0,2430,str\(\'KL\'\),str\(\'tstat\'\),0.931018021821975683138816748396,38,1
1048,1048_0,RUNNING,SOBOL,,,,721,18,4825,str\(\'KL\'\),str\(\'tstat\'\),0.657758779520168923582446041110,60,2
1049,1049_0,RUNNING,SOBOL,,,,4407,7,1888,str\(\'H\'\),str\(\'stdev\'\),0.219289678040891888866070758013,48,1
1050,1050_0,RUNNING,SOBOL,,,,3209,10,2583,str\(\'KL\'\),str\(\'stdev\'\),0.391432337006553998648428205342,3,1
1051,1051_0,RUNNING,SOBOL,,,,1899,3,360,str\(\'H\'\),str\(\'tstat\'\),0.982184166342019993045653336594,91,2
1052,1052_0,RUNNING,SOBOL,,,,1419,13,1668,str\(\'H\'\),str\(\'stdev\'\),0.339756005425006168962909214315,27,2
1053,1053_0,RUNNING,SOBOL,,,,2771,1,3809,str\(\'KL\'\),str\(\'tstat\'\),0.786233289042487792919189359964,64,3
1054,1054_0,RUNNING,SOBOL,,,,3908,16,774,str\(\'H\'\),str\(\'tstat\'\),0.604101155385375010453685717948,87,1
1055,1055_0,RUNNING,SOBOL,,,,264,9,3472,str\(\'KL\'\),str\(\'stdev\'\),0.021422228341922165684163559263,24,3
1056,1056_0,RUNNING,SOBOL,,,,161,14,4074,str\(\'KL\'\),str\(\'stdev\'\),0.855178151458501845105786287604,78,2
1057,1057_0,RUNNING,SOBOL,,,,4010,2,1383,str\(\'H\'\),str\(\'tstat\'\),0.268324878593906746004904562142,16,3
1058,1058_0,RUNNING,SOBOL,,,,2668,16,3171,str\(\'KL\'\),str\(\'tstat\'\),0.091800819877535105861809938688,35,2
1059,1059_0,RUNNING,SOBOL,,,,1522,9,1017,str\(\'H\'\),str\(\'stdev\'\),0.534168239885941198430430176813,73,1
1060,1060_0,RUNNING,SOBOL,,,,1962,19,2251,str\(\'H\'\),str\(\'tstat\'\),0.147331748193129885571295289992,12,1
1061,1061_0,RUNNING,SOBOL,,,,3145,7,4482,str\(\'KL\'\),str\(\'stdev\'\),0.726112118765711800350004523352,99,3
1062,1062_0,RUNNING,SOBOL,,,,4470,11,39,str\(\'H\'\),str\(\'stdev\'\),0.912625771144405018020506759058,52,2
1063,1063_0,RUNNING,SOBOL,,,,658,5,2963,str\(\'KL\'\),str\(\'tstat\'\),0.462250168997794363967557274009,39,3
1064,1064_0,RUNNING,SOBOL,,,,1064,17,571,str\(\'KL\'\),str\(\'tstat\'\),0.190702772533521053288652069568,65,2
1065,1065_0,RUNNING,SOBOL,,,,4747,7,2724,str\(\'H\'\),str\(\'stdev\'\),0.683719570353627181802380619047,27,1
1066,1066_0,RUNNING,SOBOL,,,,3572,14,2187,str\(\'KL\'\),str\(\'stdev\'\),0.987190065572038255581333032751,24,1
1067,1067_0,RUNNING,SOBOL,,,,2260,0,4877,str\(\'H\'\),str\(\'tstat\'\),0.388671845663338899612426757812,86,2
1068,1068_0,RUNNING,SOBOL,,,,1763,12,3722,str\(\'H\'\),str\(\'stdev\'\),0.804990601837635044724095223501,50,2
1069,1069_0,RUNNING,SOBOL,,,,3112,3,797,str\(\'KL\'\),str\(\'tstat\'\),0.319498518278822307703279648194,63,3
1070,1070_0,RUNNING,SOBOL,,,,4269,19,3991,str\(\'H\'\),str\(\'tstat\'\),0.010423688266426325843561073725,88,1
1071,1071_0,RUNNING,SOBOL,,,,623,5,1759,str\(\'KL\'\),str\(\'stdev\'\),0.616523728454485553385211460409,1,2
1072,1072_0,RUNNING,SOBOL,,,,394,20,2558,str\(\'H\'\),str\(\'tstat\'\),0.642890317775309139136652447633,96,3
1073,1073_0,RUNNING,SOBOL,,,,4089,6,405,str\(\'KL\'\),str\(\'stdev\'\),0.231710250912234183573445989168,9,2
1074,1074_0,RUNNING,SOBOL,,,,2902,12,4691,str\(\'H\'\),str\(\'stdev\'\),0.410184035863727314286109049135,42,2
1075,1075_0,RUNNING,SOBOL,,,,1602,3,2002,str\(\'KL\'\),str\(\'tstat\'\),0.965849899815395485092039962183,55,1
1076,1076_0,RUNNING,SOBOL,,,,2352,15,651,str\(\'KL\'\),str\(\'stdev\'\),0.352675333930179468744370296918,19,1
