trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
382,382_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,85,0.001000000000000000020816681712,0.001000000000000000020816681712,938,EDFSMode.RANDOM
383,383_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.448327218421515627522211389078,0.001000000000000000020816681712,589,EDFSMode.RANDOM
384,384_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.001000000000000000020816681712,0.998999999999999999111821580300,557,EDFSMode.RANDOM
385,385_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,521,1,0.733181387550350893711481603532,0.001000000000000000020816681712,807,EDFSMode.RANDOM
386,386_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.001000000000000000020816681712,596,EDFSMode.RANDOM
387,387_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,417,EDFSMode.RANDOM
388,388_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1213,100,0.001000000000000000020816681712,0.998999999999999999111821580300,943,EDFSMode.RANDOM
389,389_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,100,0.001000000000000000020816681712,0.998999999999999999111821580300,855,EDFSMode.RANDOM
390,390_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.998999999999999999111821580300,100,EDFSMode.RANDOM
391,391_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.998999999999999999111821580300,165,EDFSMode.RANDOM
392,392_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,2084,1,0.998999999999999999111821580300,0.998999999999999999111821580300,100,EDFSMode.RANDOM
393,393_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.998999999999999999111821580300,0.998999999999999999111821580300,100,EDFSMode.RANDOM
394,394_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.127661373093785446286574369879,0.499907743479049815338299822542,883,EDFSMode.RANDOM
395,395_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,3.000000000000000000000000000000,3704,1,0.998999999999999999111821580300,0.998999999999999999111821580300,100,EDFSMode.RANDOM
396,396_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,36,0.001000000000000000020816681712,0.564344393649544695534814309212,1000,EDFSMode.RANDOM
397,397_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.998999999999999999111821580300,181,EDFSMode.RANDOM
398,398_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,20,1,0.998999999999999999111821580300,0.546429781812772463744920514728,503,EDFSMode.RANDOM
