trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
267,267_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,3.000000000000000000000000000000,2816,1133,1000,250,1
268,268_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,1,533,1000,250,1
269,269_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,2.000000000000000000000000000000,2839,622,1000,201,1
270,270_0,FAILED,BoTorch,BOTORCH_MODULAR,,,2152,1,2,203,10
271,271_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,3212,5000,726,2,10
272,272_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,1,2,159,10
273,273_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2939,1000,60,1
274,274_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,1,2,163,10
275,275_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,2484,4654,1000,87,10
276,276_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,3379,202,2,1
277,277_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,2650,5000,2,92,1
278,278_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,2189,3331,2,41,1
279,279_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2295,2,58,1
280,280_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,5000,1000,250,10
281,281_0,FAILED,BoTorch,BOTORCH_MODULAR,,,3277,1,2,175,10
282,282_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1838,5000,1000,174,10
283,283_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4347,1000,118,1
284,284_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4270,1000,59,10
285,285_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,3192,1000,207,6
286,286_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,291,3899,2,179,1
287,287_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,3.000000000000000000000000000000,3717,932,1000,194,3
288,288_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,3.000000000000000000000000000000,5000,868,1000,179,4
289,289_0,FAILED,BoTorch,BOTORCH_MODULAR,,,60,1,2,250,10
290,290_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1906,5000,1000,2,1
291,291_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,4377,1000,34,1
292,292_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,2.000000000000000000000000000000,2227,977,174,177,1
293,293_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2362,2,2,6
294,294_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,82,5000,235,192,10
295,295_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,1,2,91,10
296,296_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3514,1000,250,1
297,297_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1722,1,2,250,10
298,298_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,3241,1000,2,1
299,299_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2810,1000,250,10
300,300_0,FAILED,BoTorch,BOTORCH_MODULAR,,,2090,1,2,197,10
301,301_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,1,2,113,10
302,302_0,FAILED,BoTorch,BOTORCH_MODULAR,,,719,1,2,191,10
