trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
1632,1632_0,COMPLETED,SOBOL,0.029999999999999998889776975375,604.000000000000000000000000000000,1792,2616,0.526682964468374814615003742801,0.486619726290926313261309132940,str\(\'intersection\'\),0.023013002155348662169931373001,False
1633,1633_0,COMPLETED,SOBOL,0.029999999999999998889776975375,659.000000000000000000000000000000,4145,412,0.109895995642989879881312731413,0.609574736544862383347265222255,str\(\'kl\'\),0.058034289516508588691046099939,True
1634,1634_0,COMPLETED,SOBOL,0.029999999999999998889776975375,645.000000000000000000000000000000,3788,4389,0.583146149458363627360313330428,0.957596897931769497347431752132,str\(\'intersection\'\),0.075702921468764547419105781501,False
1635,1635_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1956.000000000000000000000000000000,1532,2196,0.033727843750268222955401853369,0.086446445671841509739152797920,str\(\'kl\'\),0.018175457315519453344032640985,True
1636,1636_0,RUNNING,SOBOL,,,322,3727,0.866386610988527539056747173163,0.541809835592284794181239249156,str\(\'kl\'\),0.033157985685393215335992067594,False
1637,1637_0,COMPLETED,SOBOL,0.029999999999999998889776975375,728.000000000000000000000000000000,3124,902,0.253629159765318024088998072330,0.415021197220310555930922191692,str\(\'intersection\'\),0.093140961565077312611649063001,True
1638,1638_0,COMPLETED,SOBOL,0.209999999999999992228438827624,491.000000000000000000000000000000,3695,2959,0.154692772477865225777549085251,0.350254465386271474081070209650,str\(\'intersection\'\),0.064967997046187525578275767657,False
1639,1639_0,COMPLETED,SOBOL,0.270000000000000017763568394003,2155.000000000000000000000000000000,990,151,0.727483864990994377741628795775,0.722648592296987746230740867759,str\(\'kl\'\),0.027567474786192182334421119094,True
1640,1640_0,COMPLETED,SOBOL,0.029999999999999998889776975375,5891.000000000000000000000000000000,2124,3928,0.436723079038783934535672415223,0.150332077376544470670438613524,str\(\'kl\'\),0.046351273022592072436953714032,False
1641,1641_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1356.000000000000000000000000000000,4438,1756,0.948109012797474837164202199347,0.775877041097730368868212735833,str\(\'intersection\'\),0.081285431338474156692797123469,True
1642,1642_0,COMPLETED,SOBOL,0.190000000000000002220446049250,966.000000000000000000000000000000,4414,4674,0.388821082537993800709585912045,0.091686582745984193665300665543,str\(\'intersection\'\),0.059705406231805688288538647157,True
1643,1643_0,RUNNING,SOBOL,,,2159,2494,0.992390413396060488970817914378,0.966975187657400980789645927871,str\(\'kl\'\),0.021513804309070114206825508063,False
1644,1644_0,COMPLETED,SOBOL,0.029999999999999998889776975375,2515.000000000000000000000000000000,946,3462,0.171852695919573306149175095925,0.408805740663781780330765514009,str\(\'kl\'\),0.051613584551960238477885667407,True
1645,1645_0,COMPLETED,SOBOL,0.029999999999999998889776975375,700.000000000000000000000000000000,3748,663,0.714013064673170494423004583950,0.531456218948587744144163025339,str\(\'intersection\'\),0.087338694455102089397868780907,False
1646,1646_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1267.000000000000000000000000000000,3071,2981,0.816813326563686104009320843033,0.732757608547806693621851081843,str\(\'intersection\'\),0.070418358333408842542056049751,True
1647,1647_0,COMPLETED,SOBOL,0.450000000000000011102230246252,1438.000000000000000000000000000000,366,165,0.299026046121492972140742949705,0.356712618801742820107136822116,str\(\'kl\'\),0.012275595096871257799753252016,False
1648,1648_0,RUNNING,SOBOL,,,1497,3886,0.601056050399318309018781292252,0.766741440795361994808843064675,str\(\'kl\'\),0.038442270206287508516052042751,True
1649,1649_0,COMPLETED,SOBOL,0.280000000000000026645352591004,474.000000000000000000000000000000,3812,1684,0.019925813656300306320190429688,0.144847347345203159019177974187,str\(\'intersection\'\),0.099040415752679120120482991751,False
