trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
2218,2218_0,FAILED,BOTORCH_MODULAR,,,1936,1,2,240,4
2219,2219_0,FAILED,BOTORCH_MODULAR,,,4129,1,2,59,3
2220,1059_0,FAILED,BOTORCH_MODULAR,,,1074,1,2,50,3
2221,2221_0,COMPLETED,BOTORCH_MODULAR,0.589999999999999968913755310496,148.000000000000000000000000000000,3613,1,447,159,2
2222,1473_0,FAILED,BOTORCH_MODULAR,,,4152,1,2,60,3
2223,2223_0,FAILED,BOTORCH_MODULAR,,,1984,1,2,250,4
2224,685_0,FAILED,BOTORCH_MODULAR,,,1068,1,2,50,3
2225,2225_0,FAILED,BOTORCH_MODULAR,,,2627,1,2,250,4
2226,2226_0,FAILED,BOTORCH_MODULAR,,,1088,1,2,51,3
2227,559_0,FAILED,BOTORCH_MODULAR,,,1059,1,2,50,3
2228,2228_0,FAILED,BOTORCH_MODULAR,,,4254,1,2,44,4
2229,2229_0,FAILED,BOTORCH_MODULAR,,,1064,1,2,52,3
2230,2230_0,FAILED,BOTORCH_MODULAR,,,4278,1,2,59,3
2231,715_0,FAILED,BOTORCH_MODULAR,,,1049,1,2,50,3
2232,2232_0,FAILED,BOTORCH_MODULAR,,,4252,1,2,63,3
2233,2233_0,FAILED,BOTORCH_MODULAR,,,1229,1,2,164,3
2234,613_0,FAILED,BOTORCH_MODULAR,,,1065,1,2,51,3
2235,2235_0,FAILED,BOTORCH_MODULAR,,,4244,1,2,59,3
2236,800_0,FAILED,BOTORCH_MODULAR,,,1051,1,2,51,3
2237,788_0,FAILED,BOTORCH_MODULAR,,,4236,1,2,47,4
2238,2238_0,FAILED,BOTORCH_MODULAR,,,2305,1,2,244,4
2239,2104_0,FAILED,BOTORCH_MODULAR,,,1048,1,2,49,3
2240,1995_0,FAILED,BOTORCH_MODULAR,,,1246,1,2,160,3
2241,2241_0,FAILED,BOTORCH_MODULAR,,,2604,1,2,250,4
2242,603_0,FAILED,BOTORCH_MODULAR,,,1080,1,2,50,3
2243,2107_0,FAILED,BOTORCH_MODULAR,,,2022,1,2,250,4
2244,2244_0,FAILED,BOTORCH_MODULAR,,,4256,1,2,49,4
2245,1471_0,FAILED,BOTORCH_MODULAR,,,1026,1,2,51,3
2246,2246_0,FAILED,BOTORCH_MODULAR,,,4283,1,2,60,3
2247,2247_0,FAILED,BOTORCH_MODULAR,,,1250,1,2,167,3
2248,1575_0,FAILED,BOTORCH_MODULAR,,,4255,1,2,2,6
2249,2249_0,FAILED,BOTORCH_MODULAR,,,1191,1,2,162,3
2250,734_0,FAILED,BOTORCH_MODULAR,,,1048,1,2,50,3
2251,737_0,FAILED,BOTORCH_MODULAR,,,4259,1,2,2,6
2252,1204_0,FAILED,BOTORCH_MODULAR,,,1063,1,2,51,3
2253,129_0,FAILED,BOTORCH_MODULAR,,,5000,1,2,250,4
2254,1102_0,FAILED,BOTORCH_MODULAR,,,1080,1,2,51,3
2255,2255_0,FAILED,BOTORCH_MODULAR,,,1975,1,2,239,4
2256,1038_0,FAILED,BOTORCH_MODULAR,,,1070,1,2,51,3
2257,2257_0,FAILED,BOTORCH_MODULAR,,,4266,1,2,58,3
2258,2258_0,FAILED,BOTORCH_MODULAR,,,2882,1,2,237,4
2259,2259_0,FAILED,BOTORCH_MODULAR,,,1202,1,2,158,3
2260,704_0,FAILED,BOTORCH_MODULAR,,,1060,1,2,51,3
2261,2261_0,FAILED,BOTORCH_MODULAR,,,1199,1,2,160,3
2262,695_0,FAILED,BOTORCH_MODULAR,,,1069,1,2,51,3
2263,2263_0,FAILED,BOTORCH_MODULAR,,,4287,1,2,2,6
2264,2264_0,FAILED,BOTORCH_MODULAR,,,4181,1,2,60,3
2265,2265_0,FAILED,BOTORCH_MODULAR,,,1219,1,2,162,3
2266,2266_0,FAILED,BOTORCH_MODULAR,,,2268,1,2,250,4
2267,1584_0,FAILED,BOTORCH_MODULAR,,,1058,1,2,50,3
2268,2268_0,FAILED,BOTORCH_MODULAR,,,1245,1,2,165,3
2269,680_0,FAILED,BOTORCH_MODULAR,,,1052,1,2,50,3
2270,2270_0,FAILED,BOTORCH_MODULAR,,,2750,1,2,249,4
2271,2271_0,FAILED,BOTORCH_MODULAR,,,4195,1,2,56,3
2272,2272_0,FAILED,BOTORCH_MODULAR,,,1200,1,2,161,3
2273,2273_0,FAILED,BOTORCH_MODULAR,,,2541,1,2,250,4
2274,2274_0,FAILED,BOTORCH_MODULAR,,,4234,1,2,47,4
2275,2275_0,FAILED,BOTORCH_MODULAR,,,4202,1,2,2,6
2276,557_0,FAILED,BOTORCH_MODULAR,,,1062,1,2,50,3
2277,2277_0,FAILED,BOTORCH_MODULAR,,,2393,1,2,250,4
2278,2278_0,FAILED,BOTORCH_MODULAR,,,4134,1,2,2,6
2279,2279_0,FAILED,BOTORCH_MODULAR,,,4272,1,2,47,4
2280,2280_0,FAILED,BOTORCH_MODULAR,,,4324,1,2,2,6
2281,762_0,FAILED,BOTORCH_MODULAR,,,1047,1,2,49,3
2282,2282_0,FAILED,BOTORCH_MODULAR,,,4275,1,2,61,3
2283,794_0,FAILED,BOTORCH_MODULAR,,,1053,1,2,51,3
2284,2284_0,FAILED,BOTORCH_MODULAR,,,4320,1,2,62,3
2285,2285_0,FAILED,BOTORCH_MODULAR,,,1196,1,2,162,3
2286,2286_0,FAILED,BOTORCH_MODULAR,,,2507,1,2,250,4
2287,2287_0,FAILED,BOTORCH_MODULAR,,,4197,1,2,44,4
2288,926_0,FAILED,BOTORCH_MODULAR,,,1079,1,2,51,3
2289,1897_0,FAILED,BOTORCH_MODULAR,,,4278,1,2,60,3
2290,2290_0,FAILED,BOTORCH_MODULAR,,,1036,1,2,49,3
2291,464_0,FAILED,BOTORCH_MODULAR,,,1,5000,2,2,10
2292,704_0,FAILED,BOTORCH_MODULAR,,,1060,1,2,51,3
2293,2293_0,FAILED,BOTORCH_MODULAR,,,2158,1,2,238,4
2294,1090_0,FAILED,BOTORCH_MODULAR,,,1078,1,2,51,3
2295,2295_0,FAILED,BOTORCH_MODULAR,,,4238,1,2,2,6
2296,2296_0,FAILED,BOTORCH_MODULAR,,,1077,1,2,53,3
2297,2297_0,FAILED,BOTORCH_MODULAR,,,2210,1,2,228,4
2298,732_0,FAILED,BOTORCH_MODULAR,,,1069,1,2,50,3
