trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,delta
61,61_0,COMPLETED,BoTorch,GenerationStep_1,0.670000000000000039968028886506,185.000000000000000000000000000000,5000,0.001000000000000000020816681712
62,62_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,39.000000000000000000000000000000,2404,0.001000000000000000020816681712
63,63_0,COMPLETED,BoTorch,GenerationStep_1,0.670000000000000039968028886506,218.000000000000000000000000000000,4623,0.001000000000000000020816681712
64,64_0,COMPLETED,BoTorch,GenerationStep_1,0.670000000000000039968028886506,87.000000000000000000000000000000,2774,0.001000000000000000020816681712
65,65_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,104.000000000000000000000000000000,5000,0.089391401717856672215489766131
66,66_0,COMPLETED,BoTorch,GenerationStep_1,0.619999999999999995559107901499,102.000000000000000000000000000000,3001,0.001000000000000000020816681712
67,67_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,44.000000000000000000000000000000,2461,0.001000000000000000020816681712
68,68_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,37.000000000000000000000000000000,2312,0.001000000000000000020816681712
69,69_0,COMPLETED,BoTorch,GenerationStep_1,0.609999999999999986677323704498,39.000000000000000000000000000000,2176,0.001000000000000000020816681712
70,70_0,COMPLETED,BoTorch,GenerationStep_1,0.670000000000000039968028886506,176.000000000000000000000000000000,4774,0.001000000000000000020816681712
71,71_0,COMPLETED,BoTorch,GenerationStep_1,0.670000000000000039968028886506,190.000000000000000000000000000000,4458,0.001000000000000000020816681712
72,72_0,COMPLETED,BoTorch,GenerationStep_1,0.619999999999999995559107901499,50.000000000000000000000000000000,2529,0.001000000000000000020816681712
73,73_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,91.000000000000000000000000000000,2677,0.001000000000000000020816681712
74,74_0,COMPLETED,BoTorch,GenerationStep_1,0.630000000000000004440892098501,129.000000000000000000000000000000,3267,0.001000000000000000020816681712
75,75_0,COMPLETED,BoTorch,GenerationStep_1,0.670000000000000039968028886506,183.000000000000000000000000000000,4333,0.001000000000000000020816681712
76,76_0,COMPLETED,BoTorch,GenerationStep_1,0.630000000000000004440892098501,147.000000000000000000000000000000,5000,0.046661910532538597440321836984
77,77_0,COMPLETED,BoTorch,GenerationStep_1,0.609999999999999986677323704498,51.000000000000000000000000000000,5000,0.243755134283503149816851873766
78,78_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,21.000000000000000000000000000000,68,0.001000000000000000020816681712
79,79_0,COMPLETED,BoTorch,GenerationStep_1,0.489999999999999991118215802999,16.000000000000000000000000000000,2804,0.189604339147738165660683762326
80,80_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,99.000000000000000000000000000000,5000,0.153457145437626119033325267083
81,81_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,40.000000000000000000000000000000,2359,0.001000000000000000020816681712
82,82_0,COMPLETED,BoTorch,GenerationStep_1,0.689999999999999946709294817992,81.000000000000000000000000000000,2865,0.001000000000000000020816681712
83,83_0,COMPLETED,BoTorch,GenerationStep_1,0.670000000000000039968028886506,181.000000000000000000000000000000,4873,0.001000000000000000020816681712
84,84_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,81.000000000000000000000000000000,2632,0.001000000000000000020816681712
85,85_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,20.000000000000000000000000000000,2336,0.291915140048714549791952777014
86,86_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,31.000000000000000000000000000000,2206,0.001000000000000000020816681712
87,87_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,23.000000000000000000000000000000,2248,0.223094220629075440376354322325
88,88_0,COMPLETED,BoTorch,GenerationStep_1,0.640000000000000013322676295502,30.000000000000000000000000000000,128,0.001000000000000000020816681712
89,89_0,COMPLETED,BoTorch,GenerationStep_1,0.640000000000000013322676295502,33.000000000000000000000000000000,2216,0.042589309285030789442583198934
