trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
1838,1838_0,FAILED,BOTORCH_MODULAR,,,1066,2979,626,0.839038181670023197611385512573,0.998999999999999999111821580300,4.542128603675541498319034872111,str\(\'t-test\'\),str\(\'bounded\'\),3772
1839,1839_0,RUNNING,BOTORCH_MODULAR,,,3718,4689,2319,0.998999999999999999111821580300,0.599590699357715473105656656116,2.818709738450690505118245710037,str\(\'t-test\'\),str\(\'bounded\'\),4313
1840,1840_0,FAILED,BOTORCH_MODULAR,,,4710,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1235
1841,1841_0,FAILED,BOTORCH_MODULAR,,,4734,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1838
1842,1842_0,RUNNING,BOTORCH_MODULAR,,,3326,4254,5000,0.985771224139491142324231987004,0.998999999999999999111821580300,1.727461158871181901020008808700,str\(\'t-test\'\),str\(\'bounded\'\),797
1843,1843_0,RUNNING,BOTORCH_MODULAR,,,3405,4312,4264,0.998999999999999999111821580300,0.998999999999999999111821580300,5.713264491075277007325894373935,str\(\'t-test\'\),str\(\'full\'\),3429
1844,1844_0,FAILED,BOTORCH_MODULAR,,,4696,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1498
1845,1845_0,FAILED,BOTORCH_MODULAR,,,4690,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1388
1846,1846_0,FAILED,BOTORCH_MODULAR,,,4754,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1960
1847,1847_0,FAILED,BOTORCH_MODULAR,,,4745,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),2194
1848,1848_0,RUNNING,BOTORCH_MODULAR,,,1041,4963,1494,0.001000000000000000020816681712,0.998999999999999999111821580300,5.140565436885025540902915963670,str\(\'ks-test\'\),str\(\'full\'\),4674
1849,1849_0,FAILED,BOTORCH_MODULAR,,,4832,1,1,0.998999999999999999111821580300,0.317770356321266100874112225938,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),95
1850,1850_0,FAILED,BOTORCH_MODULAR,,,4744,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1638
1851,1851_0,RUNNING,BOTORCH_MODULAR,,,1,4308,1233,0.998999999999999999111821580300,0.998999999999999999111821580300,9.675973387058350638767478812952,str\(\'t-test\'\),str\(\'bounded\'\),3616
1852,1852_0,FAILED,BOTORCH_MODULAR,,,4783,1,1,0.998999999999999999111821580300,0.853687037139323479095764923841,0.001000000000000000020816681712,str\(\'t-test\'\),str\(\'full\'\),1
1853,1853_0,FAILED,BOTORCH_MODULAR,,,4774,1,1,0.998999999999999999111821580300,0.331117030601976003456599073616,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),26
1854,1854_0,RUNNING,BOTORCH_MODULAR,,,4991,3484,4644,0.001000000000000000020816681712,0.998999999999999999111821580300,3.228239794595216149986072196043,str\(\'t-test\'\),str\(\'full\'\),1987
1855,1855_0,RUNNING,BOTORCH_MODULAR,,,2280,2888,1359,0.998999999999999999111821580300,0.998999999999999999111821580300,10.000000000000000000000000000000,str\(\'t-test\'\),str\(\'bounded\'\),3275
1856,1856_0,RUNNING,BOTORCH_MODULAR,,,3142,3518,1,0.860696182236388551700656535104,0.298309848703057323149323565303,5.762144061557745722268464305671,str\(\'ks-test\'\),str\(\'full\'\),3875
1857,1857_0,RUNNING,BOTORCH_MODULAR,,,3923,3609,3781,0.432786792865771430260934948819,0.001000000000000000020816681712,9.957698651683363877396004681941,str\(\'ks-test\'\),str\(\'bounded\'\),584
1858,1858_0,FAILED,BOTORCH_MODULAR,,,4625,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1996
1859,1859_0,FAILED,BOTORCH_MODULAR,,,4689,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1489
1860,1860_0,RUNNING,BOTORCH_MODULAR,,,3028,3934,4046,0.998999999999999999111821580300,0.846833726853101764753262159502,3.043976241334189314358127376181,str\(\'ks-test\'\),str\(\'bounded\'\),3693
