trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
61,61_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,7.000000000000000000000000000000,4545,232,2244,False
62,62_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,30.000000000000000000000000000000,4248,1284,803,False
63,63_0,COMPLETED,BoTorch,GenerationStep_1,0.609999999999999986677323704498,32.000000000000000000000000000000,4431,849,2014,False
64,64_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,5.000000000000000000000000000000,4434,1,2402,False
65,65_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,27.000000000000000000000000000000,4374,1293,1131,False
66,66_0,COMPLETED,BoTorch,GenerationStep_1,0.609999999999999986677323704498,32.000000000000000000000000000000,4166,1247,360,False
67,67_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,5.000000000000000000000000000000,1,1,3883,True
68,68_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,5.000000000000000000000000000000,1,1,1162,True
69,69_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,4.000000000000000000000000000000,5000,3939,5000,True
70,70_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,12.000000000000000000000000000000,4516,516,2118,False
71,71_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,5.000000000000000000000000000000,1,1,2415,False
72,72_0,COMPLETED,BoTorch,GenerationStep_1,0.609999999999999986677323704498,29.000000000000000000000000000000,4399,1135,1777,False
73,73_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,4.000000000000000000000000000000,1,909,5000,True
74,74_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,5.000000000000000000000000000000,5000,1,4969,False
75,75_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,4.000000000000000000000000000000,5000,5000,3606,True
76,76_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,5.000000000000000000000000000000,3515,1,959,True
77,77_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,28.000000000000000000000000000000,4046,1315,939,False
78,78_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,36.000000000000000000000000000000,4518,899,999,False
79,79_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,5.000000000000000000000000000000,5000,1,3969,False
80,80_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,30.000000000000000000000000000000,4020,1207,1,False
