trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
1051,1051_0,RUNNING,BOTORCH_MODULAR,,,1291,2469,8.692054761310687993614010338206,19,0.440746122914165094908156561360
1052,1052_0,RUNNING,BOTORCH_MODULAR,,,4353,3912,5.004989443376253177575563313439,20,0.001000000000000000020816681712
1053,1053_0,FAILED,BOTORCH_MODULAR,,,1844,5000,4.337715666759829780119162023766,18,0.052514154703713337990489407048
1054,1054_0,FAILED,BOTORCH_MODULAR,,,4928,4797,5.566395753493590170535298966570,16,0.748155478235728477187649332336
1055,1055_0,FAILED,BOTORCH_MODULAR,,,2460,4010,10.000000000000000000000000000000,16,0.129880246544198496572164458485
1056,1056_0,FAILED,BOTORCH_MODULAR,,,4962,3713,0.001000000000000000020816681712,20,0.845402673857175823712850615266
1057,1057_0,FAILED,BOTORCH_MODULAR,,,2578,4742,5.067142625066231254038484621560,12,0.147384444480788440179352960513
1058,1058_0,FAILED,BOTORCH_MODULAR,,,5000,3756,0.620351457331597355704388974118,16,0.001000000000000000020816681712
1059,1059_0,FAILED,BOTORCH_MODULAR,,,4118,4471,10.000000000000000000000000000000,18,0.766019919187678977046118689032
1060,1060_0,FAILED,BOTORCH_MODULAR,,,3165,3891,8.135906262438966862760025833268,18,0.001000000000000000020816681712
1061,1061_0,FAILED,BOTORCH_MODULAR,,,2979,3850,0.001000000000000000020816681712,18,0.998999999999999999111821580300
1062,1062_0,FAILED,BOTORCH_MODULAR,,,4375,4911,5.095142818531463113629342842614,17,0.998999999999999999111821580300
1063,1063_0,FAILED,BOTORCH_MODULAR,,,4546,3262,5.826537891920061440487188519910,13,0.496391941527466240557942001033
1064,1064_0,FAILED,BOTORCH_MODULAR,,,4301,3352,10.000000000000000000000000000000,19,0.001000000000000000020816681712
1065,1065_0,RUNNING,BOTORCH_MODULAR,,,3039,3955,8.037798179737450254833674989641,15,0.998999999999999999111821580300
1066,1066_0,RUNNING,BOTORCH_MODULAR,,,1803,3338,10.000000000000000000000000000000,12,0.478627597132438409310850602196
1067,1067_0,RUNNING,BOTORCH_MODULAR,,,3041,3951,9.809789992535193903222534572706,11,0.001000000000000000020816681712
1068,1068_0,RUNNING,BOTORCH_MODULAR,,,2455,4145,0.001000000000000000020816681712,20,0.427698635771991630960542352113
1069,1069_0,RUNNING,BOTORCH_MODULAR,,,3775,3810,3.649542742222503743931838471326,14,0.998999999999999999111821580300
1070,1070_0,RUNNING,BOTORCH_MODULAR,,,3710,4603,7.377344105034830512579446804011,15,0.729954550594112405725866210560
1071,1071_0,RUNNING,BOTORCH_MODULAR,,,2453,3866,6.275395349455613391853603388881,19,0.998999999999999999111821580300
1072,1072_0,COMPLETED,BOTORCH_MODULAR,0.450000000000000011102230246252,5379.000000000000000000000000000000,5000,3764,0.001000000000000000020816681712,13,0.998999999999999999111821580300
1073,1073_0,COMPLETED,BOTORCH_MODULAR,0.600000000000000088817841970013,192.000000000000000000000000000000,4050,800,4.043560741777190159496058186051,4,0.001000000000000000020816681712
1074,1074_0,COMPLETED,BOTORCH_MODULAR,0.600000000000000088817841970013,271.000000000000000000000000000000,4065,977,1.935177341794371841388056054711,8,0.003639374916392199010850561081
1075,1075_0,FAILED,BOTORCH_MODULAR,,,5000,4853,9.263343526929482152354466961697,17,0.998999999999999999111821580300
1076,1076_0,COMPLETED,BOTORCH_MODULAR,0.560000000000000053290705182008,50.000000000000000000000000000000,1846,1350,1.796280488159223587274482270004,3,0.284719294271125133999333911561
1077,1077_0,COMPLETED,BOTORCH_MODULAR,0.600000000000000088817841970013,5833.000000000000000000000000000000,4699,939,6.475855599537499784901228849776,20,0.998999999999999999111821580300
1078,1078_0,COMPLETED,BOTORCH_MODULAR,0.560000000000000053290705182008,2416.000000000000000000000000000000,4565,1334,3.853624560949474364690559013980,20,0.998999999999999999111821580300
1079,1079_0,COMPLETED,BOTORCH_MODULAR,0.600000000000000088817841970013,817.000000000000000000000000000000,3960,568,1.666968356782060345366858200578,6,0.998999999999999999111821580300
1080,1080_0,FAILED,BOTORCH_MODULAR,,,3557,379,6.618972986895609977864296524785,19,0.837994939838820784849815481721
1081,1081_0,COMPLETED,BOTORCH_MODULAR,0.550000000000000044408920985006,66.000000000000000000000000000000,1922,1413,2.878298960641268333660036660149,6,0.998999999999999999111821580300
1082,1082_0,FAILED,BOTORCH_MODULAR,,,2460,4217,10.000000000000000000000000000000,10,0.001000000000000000020816681712
1083,1083_0,COMPLETED,BOTORCH_MODULAR,0.419999999999999984456877655248,35.000000000000000000000000000000,3742,3986,0.001000000000000000020816681712,10,0.998999999999999999111821580300
1084,1084_0,FAILED,BOTORCH_MODULAR,,,3699,4159,2.593356289810563986009128711885,20,0.998999999999999999111821580300
1085,1085_0,COMPLETED,BOTORCH_MODULAR,0.500000000000000000000000000000,74.000000000000000000000000000000,4350,2058,9.929263657839348056199924030807,7,0.001000000000000000020816681712
1086,1086_0,COMPLETED,BOTORCH_MODULAR,0.419999999999999984456877655248,28.000000000000000000000000000000,3675,4140,0.001000000000000000020816681712,1,0.001000000000000000020816681712
1087,1087_0,FAILED,BOTORCH_MODULAR,,,4281,3941,10.000000000000000000000000000000,18,0.868954768956813672353689526062
1088,1088_0,RUNNING,BOTORCH_MODULAR,,,3979,4664,9.574420872768989454471011413261,20,0.304151057788263790016003440542
1089,1089_0,RUNNING,BOTORCH_MODULAR,,,5000,5000,7.045462568614953013934609771241,12,0.998999999999999999111821580300
