trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
122,122_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,16.000000000000000000000000000000,3078,181,7.769454949332877724543777731014,20,0.342359129039994491972009882375
123,123_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,6.000000000000000000000000000000,2843,181,0.001000000000000000020816681712,1,0.130408808456970087830129045869
124,124_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,7.000000000000000000000000000000,1296,239,10.000000000000000000000000000000,1,0.998999999999999999111821580300
125,125_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,2303,4081,6.858076499134932113577178824926,4,0.799360133545771067709040380578
126,126_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,3.000000000000000000000000000000,4448,1123,7.469788479631874977826555550564,1,0.131879658058694809730226893407
127,127_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,1680,1733,0.001000000000000000020816681712,1,0.001000000000000000020816681712
128,128_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,7.000000000000000000000000000000,4710,1130,10.000000000000000000000000000000,1,0.001000000000000000020816681712
129,129_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,5000,4782,0.001000000000000000020816681712,1,0.178526290473858650909022571796
130,130_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,1.000000000000000000000000000000,1738,3763,4.815154987998652380554176488658,1,0.998999999999999999111821580300
131,131_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,855.000000000000000000000000000000,2966,197,10.000000000000000000000000000000,20,0.001000000000000000020816681712
132,132_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,13.000000000000000000000000000000,1718,3689,6.825341233959388631546971737407,13,0.998999999999999999111821580300
133,133_0,RUNNING,BoTorch,GenerationStep_1,,,2895,200,0.001000000000000000020816681712,20,0.076804239872480375983521128092
134,134_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,10.000000000000000000000000000000,3036,150,7.538113634528371242993216583272,1,0.001000000000000000020816681712
135,135_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,1.000000000000000000000000000000,2475,4005,6.426300892946943399408610275714,1,0.998999999999999999111821580300
136,136_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,4531,5000,0.001000000000000000020816681712,1,0.074003317571130725061046007340
137,137_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,2722.000000000000000000000000000000,3358,173,0.001000000000000000020816681712,20,0.548206065852483437339515148778
138,138_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,24.000000000000000000000000000000,3562,154,10.000000000000000000000000000000,20,0.998999999999999999111821580300
139,139_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,1.000000000000000000000000000000,2295,1360,7.758815963303011820073606941151,1,0.836822371018262844977186887263
140,140_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,26.000000000000000000000000000000,1206,260,10.000000000000000000000000000000,17,0.998999999999999999111821580300
141,141_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,1797,3863,6.322912076673159020856473944150,1,0.998999999999999999111821580300
142,142_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,8.000000000000000000000000000000,4338,1127,6.383162903401643717415936407633,1,0.001000000000000000020816681712
143,143_0,RUNNING,BoTorch,GenerationStep_1,,,4631,1124,9.759584882619927626024036726449,18,0.001000000000000000020816681712
144,144_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,2027,1849,0.001000000000000000020816681712,1,0.001000000000000000020816681712
145,145_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,1742,3655,3.069072302742101410188979571103,1,0.998999999999999999111821580300
146,146_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,3.000000000000000000000000000000,2063,211,0.001000000000000000020816681712,1,0.001000000000000000020816681712
147,147_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,1447.000000000000000000000000000000,3593,175,0.001000000000000000020816681712,17,0.998999999999999999111821580300
148,148_0,RUNNING,BoTorch,GenerationStep_1,,,1699,3775,5.150500998246559269944100378780,20,0.998999999999999999111821580300
149,149_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,317.000000000000000000000000000000,3547,142,8.280450329510866680493563762866,20,0.079602586774756220466819911508
150,150_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,6960.000000000000000000000000000000,1201,241,0.001000000000000000020816681712,7,0.529271524711949936659038939979
151,151_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,9.000000000000000000000000000000,1170,247,6.764737111428604343643655738560,1,0.998999999999999999111821580300
152,152_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,35.000000000000000000000000000000,2526,146,7.066705492422057588441930420231,20,0.898645695112825104722276137181
153,153_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,3035,4894,6.289874448970982356854619865771,7,0.001000000000000000020816681712
154,154_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,4104.000000000000000000000000000000,1431,264,0.001000000000000000020816681712,6,0.643561203248694480016922625509
155,155_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,2833,1180,6.846988150051072530288820416899,1,0.167204701823000928539997289590
156,156_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,1.000000000000000000000000000000,3529,4659,5.632647580281184396255866886349,5,0.001000000000000000020816681712
157,157_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,12.000000000000000000000000000000,2494,150,10.000000000000000000000000000000,12,0.998999999999999999111821580300
158,158_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,16.000000000000000000000000000000,4345,169,0.001000000000000000020816681712,1,0.998999999999999999111821580300
159,159_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,436,4639,6.325458473471387677022903517354,4,0.998999999999999999111821580300
160,160_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,3.000000000000000000000000000000,1279,4592,7.690329724188904592097060231026,9,0.998999999999999999111821580300
161,161_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,2672,5000,5.298203266665863608864128764253,2,0.001000000000000000020816681712
162,162_0,FAILED,BoTorch,GenerationStep_1,,,1380,260,0.001000000000000000020816681712,11,0.998999999999999999111821580300
163,163_0,FAILED,BoTorch,GenerationStep_1,,,4889,1123,10.000000000000000000000000000000,13,0.609083619376945328838246496161
164,164_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,18.000000000000000000000000000000,1504,4675,0.001000000000000000020816681712,20,0.629347460725696472572110451438
165,165_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,1098,1325,5.027125821543634742738504428416,1,0.720254408194180961721997391578
166,166_0,FAILED,BoTorch,GenerationStep_1,,,4223,1153,8.027942632177351711675328260753,13,0.001000000000000000020816681712
167,167_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,1.000000000000000000000000000000,2322,4775,6.656542335458770054401611560024,5,0.190145975294729013826966479428
168,168_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,4.000000000000000000000000000000,4256,1144,5.976935319922044520524195831968,1,0.998999999999999999111821580300
169,169_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,1721,4774,6.821769497149514194234143360518,3,0.518734011202464206924389600317
170,170_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,12.000000000000000000000000000000,1515,251,0.001000000000000000020816681712,1,0.650814078454431843567817850271
171,171_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,9.000000000000000000000000000000,3330,4819,7.321407164679680334984368528239,13,0.001000000000000000020816681712
172,172_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,13.000000000000000000000000000000,3764,4610,7.101494348934270561812809319235,16,0.001000000000000000020816681712
173,173_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,5624.000000000000000000000000000000,4073,4079,5.793602618086338473801788495621,17,0.001000000000000000020816681712
174,174_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,15.000000000000000000000000000000,1,1,0.001000000000000000020816681712,13,0.364425641799726196534692235218
175,175_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,7.000000000000000000000000000000,1057,293,0.778353328090424012586368007760,1,0.477412970615624265846577145567
176,176_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,198.000000000000000000000000000000,4929,1109,10.000000000000000000000000000000,5,0.785266267420965502488172660378
177,177_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,23.000000000000000000000000000000,1152,4700,0.001000000000000000020816681712,19,0.725022790240480996537542068836
178,178_0,FAILED,BoTorch,GenerationStep_1,,,4185,1161,10.000000000000000000000000000000,17,0.998999999999999999111821580300
179,179_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,12.000000000000000000000000000000,4444,4801,7.244657019753569571207663102541,15,0.001000000000000000020816681712
180,180_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,325,2314,0.017603290543783397387178624172,6,0.001000000000000000020816681712
181,181_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,1074.000000000000000000000000000000,2609,174,8.750415389978634550516289891675,16,0.001000000000000000020816681712
182,182_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,60.000000000000000000000000000000,3041,221,8.297228189677202436769221094437,8,0.682310366879790075600453747029
183,183_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,302.000000000000000000000000000000,3415,210,6.588016411303290631451545777963,14,0.509746208063717953784532710415
184,184_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,90.000000000000000000000000000000,2598,160,0.539001077937343753276877578173,9,0.001000000000000000020816681712
185,185_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,4339,2314,0.017282396316155156090754729803,6,0.008191788130919471638824447268
186,186_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,1822,2420,0.001000000000000000020816681712,6,0.001000000000000000020816681712
187,187_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,250,2192,0.415588233371108672908889047903,6,0.853732702124537112808866368141
188,188_0,FAILED,BoTorch,GenerationStep_1,,,4113,1143,7.954758150484550149883489211788,18,0.175996911623061774720966354835
189,189_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,52.000000000000000000000000000000,1387,233,1.830635450638218975072391003778,15,0.998999999999999999111821580300
190,190_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,382.000000000000000000000000000000,3042,214,2.656643987345915114417493896326,19,0.721519800191476101680621013656
191,191_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,10.000000000000000000000000000000,2532,181,9.348691011206227585716987960041,15,0.601495127339678137268208502064
192,192_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,4294,2605,0.755862678330930903847217905422,6,0.001000000000000000020816681712
193,193_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,7.000000000000000000000000000000,3151,221,8.834455602694266218577467952855,2,0.690019440306716580479928779823
194,194_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,395.000000000000000000000000000000,4144,1150,0.001000000000000000020816681712,5,0.136719392263140671062160436122
195,195_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,7.000000000000000000000000000000,2926,181,2.069370087711045247402807945036,3,0.719734767179860179808770226373
196,196_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,7.000000000000000000000000000000,3201,246,7.095270102031539849463115388062,2,0.642774750927520566179396155349
197,197_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,68.000000000000000000000000000000,4909,1070,0.001000000000000000020816681712,3,0.347360280378901986608752849861
198,198_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,31.000000000000000000000000000000,3401,229,7.686798648617527263127158221323,7,0.544222944207530923144133794267
199,199_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,320,2345,0.001000000000000000020816681712,6,0.998999999999999999111821580300
200,200_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,192,2563,0.001000000000000000020816681712,6,0.270443165970518595297988895254
201,201_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,270.000000000000000000000000000000,2532,218,10.000000000000000000000000000000,18,0.620450097790610888282003543281
202,202_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,502.000000000000000000000000000000,3023,182,0.001000000000000000020816681712,12,0.715905838781500158951587309275
203,203_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,22.000000000000000000000000000000,4066,1137,9.747729133674889467897628492210,2,0.191768457350884158341131069392
204,204_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,2453.000000000000000000000000000000,4205,1196,8.561199137704997852438282279763,8,0.322206366633464413862242281539
205,205_0,FAILED,BoTorch,GenerationStep_1,,,4705,1088,8.708335847756636383110162569210,18,0.176794105152183800289122928007
206,206_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,244.000000000000000000000000000000,2570,136,8.078651869791222850381018361077,17,0.009649153852934203023927750564
207,207_0,FAILED,BoTorch,GenerationStep_1,,,3430,2582,7.887822061193467071404938906198,20,0.998999999999999999111821580300
208,208_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,6.000000000000000000000000000000,2543,156,9.086002136900216186177203780971,4,0.727287964945878884215346715791
209,209_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,1796,2355,1.043315692403675942756535732769,6,0.001000000000000000020816681712
