trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,51.000000000000000000000000000000,3710,49,0.554012469815609032153247426322,0.001000000000000000020816681712,100,EDFSMode.RANDOM
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,12.000000000000000000000000000000,4315,67,0.203584863355351641800439210783,0.001000000000000000020816681712,506,EDFSMode.RANDOM
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,38.000000000000000000000000000000,4151,48,0.591728245864574953216674657597,0.574712895466523376875045414636,100,EDFSMode.RANDOM
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,11.000000000000000000000000000000,4534,12,0.375061973318042418679141292159,0.768433249727500489179021769814,666,EDFSMode.RANDOM
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,7.000000000000000000000000000000,4207,8,0.001000000000000000020816681712,0.001000000000000000020816681712,428,EDFSMode.RANDOM
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,97.000000000000000000000000000000,4404,11,0.510037257959593204326154136652,0.918126455701981702972602761292,802,EDFSMode.RANDOM
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,22.000000000000000000000000000000,4618,69,0.078070398506305233032875889876,0.303963525806934087292177082418,129,EDFSMode.RANDOM
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,14.000000000000000000000000000000,5000,17,0.638179005380619335241476619558,0.998999999999999999111821580300,226,EDFSMode.RANDOM
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,23.000000000000000000000000000000,5000,18,0.504301601831684265242472520185,0.858753578036460685218855815037,125,EDFSMode.RANDOM
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,8.000000000000000000000000000000,4205,68,0.190752811918091319531853855551,0.998999999999999999111821580300,1000,EDFSMode.RANDOM
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,3.000000000000000000000000000000,3879,8,0.051964822035494906415920013387,0.998999999999999999111821580300,1000,EDFSMode.RANDOM
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,4.000000000000000000000000000000,1624,45,0.001000000000000000020816681712,0.171006241769377120842676731627,899,EDFSMode.RANDOM
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,4.000000000000000000000000000000,3844,8,0.236844491690890640578359693791,0.001000000000000000020816681712,1000,EDFSMode.RANDOM
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,26.000000000000000000000000000000,1584,43,0.206501309796936954876755976329,0.977357245478036040786662397295,100,EDFSMode.RANDOM
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,6.000000000000000000000000000000,2544,52,0.001000000000000000020816681712,0.462671926288334034449434284397,324,EDFSMode.RANDOM
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,29.000000000000000000000000000000,4485,63,0.286121248258195126634717553316,0.665760879701629226801173899730,1000,EDFSMode.RANDOM
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,9.000000000000000000000000000000,4330,64,0.001000000000000000020816681712,0.803120339942849814640624117601,395,EDFSMode.RANDOM
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,65,1,0.973227485190912289247933131264,0.863508951728493401311936850107,100,EDFSMode.RANDOM
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,5.000000000000000000000000000000,4008,72,0.001000000000000000020816681712,0.001000000000000000020816681712,1000,EDFSMode.RANDOM
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,163.000000000000000000000000000000,4264,49,0.647286114481260610453716708435,0.956072468324343782697383176128,1000,EDFSMode.RANDOM
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,1,1,0.736944544997453876433723962691,0.998999999999999999111821580300,100,EDFSMode.RANDOM
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,6.000000000000000000000000000000,1,1,0.916526775348327937820158695104,0.998999999999999999111821580300,1000,EDFSMode.RANDOM
