trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
252,252_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,874,1,582,True
253,253_0,COMPLETED,BoTorch,GenerationStep_1,0.440000000000000002220446049250,20.000000000000000000000000000000,957,4525,1,False
254,254_0,COMPLETED,BoTorch,GenerationStep_1,0.450000000000000011102230246252,19.000000000000000000000000000000,819,5000,1,False
255,255_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,71.000000000000000000000000000000,4110,2143,922,False
256,256_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1126,5000,1807,True
257,257_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,1004,1,1,False
258,258_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,3550,5000,2273,True
259,259_0,COMPLETED,BoTorch,GenerationStep_1,0.530000000000000026645352591004,44.000000000000000000000000000000,1099,1983,1614,False
260,260_0,COMPLETED,BoTorch,GenerationStep_1,0.489999999999999991118215802999,31.000000000000000000000000000000,781,2245,1,False
261,261_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1103,4486,898,True
262,262_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,597,2062,1934,True
263,263_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,65.000000000000000000000000000000,4221,2945,3787,False
264,264_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,14.000000000000000000000000000000,3305,1,4543,True
265,265_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,1182,1,4527,False
266,266_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1218,5000,4716,True
267,267_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,54.000000000000000000000000000000,1255,1586,1,False
268,268_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,29.000000000000000000000000000000,1068,3167,1,True
269,269_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,55.000000000000000000000000000000,4010,2475,1063,False
270,270_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,83.000000000000000000000000000000,4205,1703,1,False
271,271_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,83.000000000000000000000000000000,4081,1613,1,True
272,272_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,69.000000000000000000000000000000,3974,1787,1,True
273,273_0,COMPLETED,BoTorch,GenerationStep_1,0.409999999999999975575093458247,22.000000000000000000000000000000,855,3724,1,False
274,274_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1039,1090,3395,True
275,275_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,77.000000000000000000000000000000,4063,1876,1,False
276,276_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,84.000000000000000000000000000000,4282,1453,1,True
277,277_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,55.000000000000000000000000000000,1145,1543,1245,False
278,278_0,COMPLETED,BoTorch,GenerationStep_1,0.440000000000000002220446049250,28.000000000000000000000000000000,1354,3700,1,True
279,279_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,95.000000000000000000000000000000,4313,1554,1,False
280,280_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,3551,2066,2030,True
281,281_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,8.000000000000000000000000000000,1785,2681,5000,True
282,282_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,73.000000000000000000000000000000,4192,1651,827,False
283,283_0,COMPLETED,BoTorch,GenerationStep_1,0.460000000000000019984014443253,29.000000000000000000000000000000,1104,3628,1,False
284,284_0,COMPLETED,BoTorch,GenerationStep_1,0.469999999999999973354647408996,25.000000000000000000000000000000,852,5000,855,False
285,285_0,COMPLETED,BoTorch,GenerationStep_1,0.510000000000000008881784197001,32.000000000000000000000000000000,1375,3090,1,False
286,286_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1203,4014,386,True
287,287_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,78.000000000000000000000000000000,1262,1355,1,False
288,288_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,70.000000000000000000000000000000,3905,1878,1,True
289,289_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,50.000000000000000000000000000000,1146,1583,1,True
