trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
62,62_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4574,5000,0.001000000000000000020816681712,18,0.595932136326751016319747122907
63,63_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,139.000000000000000000000000000000,5000,1,7.292938283527797160843419987941,1,0.511128777169709169747591204214
64,64_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,3083,4904,10.000000000000000000000000000000,18,0.589423417794219917098530459043
65,65_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,5.000000000000000000000000000000,4990,61,7.120697863144591188699905615067,1,0.318551101890447774245274104032
66,66_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4526,0.001000000000000000020816681712,19,0.600554641941952294104112297646
67,67_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,717,3826,10.000000000000000000000000000000,19,0.585190280293689246704502693319
68,68_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,311,4024,0.001000000000000000020816681712,1,0.720588054109014941595034997590
69,69_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,135.000000000000000000000000000000,4785,1,8.216095437839602055873911012895,1,0.611546918628208646673272141925
70,70_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,3329,267,5.708939143896458290328155271709,1,0.766940698326202485723968038656
71,71_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,131.000000000000000000000000000000,4902,1,5.701411800455146838828568434110,12,0.256436872669443483019335872086
72,72_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4783,5000,10.000000000000000000000000000000,1,0.700477091192949208320328580157
73,73_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,147.000000000000000000000000000000,5000,1,6.222542629533081459669574542204,13,0.998999999999999999111821580300
74,74_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,3.000000000000000000000000000000,4052,121,6.821890669815608099213477544254,1,0.791642190712066540214664200903
75,75_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,131,5000,0.001000000000000000020816681712,15,0.554758112541750558754927169502
76,76_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,2.000000000000000000000000000000,4212,135,6.789748642714100057560244749766,1,0.237121843076531862992695209869
77,77_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4838,3090,0.001000000000000000020816681712,20,0.583631674659268351312846334622
78,78_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2649,2407,0.001000000000000000020816681712,1,0.739358171752327431036633242911
79,79_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4119,4050,0.001000000000000000020816681712,17,0.559294312530360215873770357575
80,80_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,53.000000000000000000000000000000,4605,1,6.890970954039999263329718814930,1,0.431804505450497366769724294500
81,81_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,169,5000,10.000000000000000000000000000000,18,0.612619221812653602654563655960
82,82_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4788,3895,0.001000000000000000020816681712,1,0.696400919772031667953626765666
83,83_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,20.000000000000000000000000000000,4602,48,4.817895533897206483686659339583,15,0.278076042547397928039742964756
84,84_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4111,2661,10.000000000000000000000000000000,1,0.742070089781926345295914870803
85,85_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,4183,410,6.220362623720650852021663013147,1,0.548620756857598368405604105646
86,86_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4673,5000,10.000000000000000000000000000000,20,0.595159694496067981361875354196
87,87_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,5000,0.001000000000000000020816681712,19,0.551861370387246585877960569633
88,88_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,4811,10.000000000000000000000000000000,14,0.535389195844215182162884048012
89,89_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,319,2327,3.403755799955193950268039770890,1,0.675077975685323350418798327155
90,90_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,3.000000000000000000000000000000,2567,99,7.651277559956503715454800840234,6,0.652186142392683021462573833560
91,91_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,7.000000000000000000000000000000,4811,111,8.783098047421864507100508490112,9,0.640283406391316312067374383332
92,92_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,6.000000000000000000000000000000,3477,89,0.311842590972748079369836204933,9,0.887289833686577766869163497176
93,93_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,20.000000000000000000000000000000,4597,90,6.857912717495978860426930623362,16,0.912313443676952662286794293323
94,94_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,75.000000000000000000000000000000,4143,124,10.000000000000000000000000000000,9,0.429090896320847514644469811174
95,95_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,5.000000000000000000000000000000,3904,74,6.976582296085148904296602268005,6,0.998999999999999999111821580300
96,96_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,7.000000000000000000000000000000,4149,83,4.895473118196242090505165833747,11,0.998999999999999999111821580300
97,97_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,3.000000000000000000000000000000,4955,104,4.152700402163895354590295028174,4,0.706748372406717617622007310274
98,98_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,4.000000000000000000000000000000,4933,118,5.841366699584504829090292332694,4,0.501210559444116854344031253277
99,99_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,26.000000000000000000000000000000,4529,140,1.573744380601577175227134830493,15,0.436817545620021119301412682034
100,100_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,36.000000000000000000000000000000,4645,127,8.035828368738831883888451557141,7,0.473033737244274277156108610143
101,101_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,4.000000000000000000000000000000,5000,101,3.619799274405507638618928467622,6,0.908028675749900537894632179814
102,102_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,4.000000000000000000000000000000,506,79,6.552217136027418398214194894535,8,0.737527326461127841206177890854
103,103_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,4.000000000000000000000000000000,4950,94,7.201919365675653494918151409365,5,0.845869435351228382558019802673
104,104_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,6.000000000000000000000000000000,4575,87,6.371283878545185963560015807161,9,0.987331937459883790531023350923
105,105_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,8.000000000000000000000000000000,4972,113,3.057027294890612090227932640119,20,0.640542178671072881535053511470
106,106_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,15.000000000000000000000000000000,4837,138,6.515846069422125630410391750047,6,0.361195312134131418790872203317
107,107_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,7.000000000000000000000000000000,4246,76,9.427777696216372405046968196984,10,0.998999999999999999111821580300
108,108_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,7.000000000000000000000000000000,4561,78,8.912438475316855956975814478938,11,0.998999999999999999111821580300
109,109_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,680.000000000000000000000000000000,4561,408,4.492579581859366122387200448429,10,0.536021666362518911519430275803
110,110_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,96.000000000000000000000000000000,4944,128,8.791659386425344280269200680777,19,0.414376980999722532850171319296
111,111_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,173.000000000000000000000000000000,4756,157,7.237529158325823885888894437812,18,0.074448683192734524394218453835
112,112_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,7.000000000000000000000000000000,3415,82,3.840701457464917201178877803613,10,0.895845377117460595073339391092
113,113_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,200.000000000000000000000000000000,5000,150,10.000000000000000000000000000000,10,0.024920618031343128029320155292
114,114_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,4.000000000000000000000000000000,4507,116,7.868180853243593730894644977525,5,0.576115386492954684172218549065
115,115_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,285.000000000000000000000000000000,2200,148,3.329309963221270152189390501007,12,0.001000000000000000020816681712
116,116_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,8.000000000000000000000000000000,3195,121,8.872630089698912314588596927933,13,0.374274512910556078626456155689
117,117_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,3.000000000000000000000000000000,3075,65,2.255895318820262396286580042215,1,0.998999999999999999111821580300
118,118_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,150.000000000000000000000000000000,4746,149,6.613365308096197381360070721712,8,0.001000000000000000020816681712
119,119_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,4.000000000000000000000000000000,4573,121,7.411997575228363110966256499523,6,0.348567584621462756011567307723
120,120_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,37.000000000000000000000000000000,5000,183,0.001000000000000000020816681712,9,0.287820214432586429786908865935
121,121_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,68.000000000000000000000000000000,4880,164,0.001000000000000000020816681712,6,0.400022134532012796359623507669
122,122_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,4.000000000000000000000000000000,4456,58,4.501841549565372524455142411171,1,0.998999999999999999111821580300
123,123_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,3.000000000000000000000000000000,5000,81,4.861433873641744618510074360529,1,0.895589442272904934227994999674
124,124_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,181.000000000000000000000000000000,5000,213,0.001000000000000000020816681712,12,0.001000000000000000020816681712
125,125_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,10.000000000000000000000000000000,5000,178,0.001000000000000000020816681712,16,0.359356630356392980907287437731
126,126_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,2.000000000000000000000000000000,4780,128,9.192852199782056032972832326777,1,0.500199537684185902008948687580
127,127_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,6.000000000000000000000000000000,4867,38,4.251859289486770165922280284576,1,0.998999999999999999111821580300
128,128_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,11.000000000000000000000000000000,4346,19,4.112600351523691522004355647368,1,0.998999999999999999111821580300
