trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
457,457_0,RUNNING,SOBOL,,,529,0.491656913001090267734127792210,0.228893300455063591902771236164,2606,4407,3245
458,458_0,RUNNING,SOBOL,,,314,0.737584056949242894418716787186,0.904373690355569137544478053314,1680,1535,531
459,459_0,RUNNING,SOBOL,,,4457,0.458559875683858975126128143529,0.362095120323821906271888337869,4033,3497,3797
460,460_0,RUNNING,SOBOL,,,3510,0.752024691076949247658944841533,0.712622797099873417359106042568,1151,4371,3305
461,461_0,RUNNING,SOBOL,,,1398,0.036252847125753759338628867681,0.053878051701933146744316616150,3153,700,2196
462,462_0,RUNNING,SOBOL,,,2393,0.905763834310695514773215109017,0.387202175257727487789338738366,2917,264,1105
463,463_0,RUNNING,SOBOL,,,2788,0.132485787743702537744283631582,0.843227934572845727601020371367,289,4725,4411
464,464_0,RUNNING,SOBOL,,,4244,0.578960780242458006306094375759,0.196419007796794164999454324061,4891,3060,2706
465,465_0,RUNNING,SOBOL,,,880,0.367180626867338988361666451965,0.535979063911363518002417549724,1912,1890,1637
466,466_0,RUNNING,SOBOL,,,1018,0.845239658573642360650524096854,0.134320933876559134301231779318,331,3437,2144
467,467_0,RUNNING,SOBOL,,,3753,0.067787872193381185081939577231,0.598082893047481745085747206758,2723,1633,3526
468,468_0,RUNNING,SOBOL,,,2962,0.643674872113391804973048238026,0.449361221749335515429635279361,2500,1228,4371
469,469_0,RUNNING,SOBOL,,,1946,0.427719082826748475678613203854,0.781063251836225380664302520017,4463,3803,128
470,470_0,RUNNING,SOBOL,,,1847,0.548396944137290121012995314231,0.650458116222172977316517972213,4070,4627,1532
471,471_0,RUNNING,SOBOL,,,3334,0.272994470408186307164299932992,0.116037096334621309123846799594,1482,324,2953
472,472_0,RUNNING,SOBOL,,,4946,0.937573912596330050206461237394,0.966477517632767568755980391870,3737,2458,4930
473,473_0,RUNNING,SOBOL,,,177,0.225425687151029702226523454556,0.299997048262506726956644342863,719,2533,726
474,474_0,RUNNING,SOBOL,,,162,0.699304763745516533290924598987,0.635190249744802759579442863469,3203,2047,3232
475,475_0,RUNNING,SOBOL,,,4932,0.479303812414407726105736173849,0.101256653515622019323672020619,1104,2904,2427
476,476_0,RUNNING,SOBOL,,,3360,0.809127791568636900443323156651,0.950725335611030453186742761318,4003,4881,458
477,477_0,RUNNING,SOBOL,,,1871,0.027872599389404058983776835134,0.283757442582398655694930766913,1708,109,4028
478,478_0,RUNNING,SOBOL,,,1930,0.905365104366093853549557479710,0.149253837866708649606550807221,1940,857,2634
479,479_0,RUNNING,SOBOL,,,2948,0.181607370443642140989126687600,0.613502744812518319150740353507,4860,4214,1867
480,480_0,RUNNING,SOBOL,,,3778,0.607929887108504818371557121282,0.465752812717109943019266893316,242,3652,1033
481,481_0,RUNNING,SOBOL,,,1042,0.320676163528114566148019548564,0.796967895029112693983108783868,2967,1380,4641
482,482_0,RUNNING,SOBOL,,,865,0.840635780505835983333895455871,0.403108558399602745492273925265,4511,2689,4134
483,483_0,RUNNING,SOBOL,,,4228,0.121114603016525504419753644925,0.859621741373091885485280272405,2450,2301,213
484,484_0,RUNNING,SOBOL,,,2812,0.668438838291913306477454170818,0.211837238583713782791306812214,2695,479,1907
485,485_0,FAILED,SOBOL,,,2418,0.385419760175049308514871881926,0.550909871039912069079491629964,362,4472,3610
486,486_0,FAILED,SOBOL,,,1385,0.513709853693842921629197917355,0.888132463697344110009623818769,750,3960,4692
487,487_0,RUNNING,SOBOL,,,3494,0.290146204378455896399913171990,0.346340841440483937496708222170,3709,1071,810
488,488_0,FAILED,SOBOL,,,4481,0.998269223283976270266748542781,0.697844094229862044187484571012,1432,1789,1294
489,489_0,FAILED,SOBOL,,,340,0.213453229218721396431845960251,0.038612401057034728690808833562,4118,3281,3037
490,490_0,RUNNING,SOBOL,,,513,0.965172208273783360787945184711,0.829096674900501984240008823690,47,172,748
491,491_0,RUNNING,SOBOL,,,4658,0.246565496666356909205575220767,0.435445796614512825595255662847,3005,4779,4981
492,492_0,RUNNING,SOBOL,,,3633,0.542986991016194187054111353063,0.520872124126181001990687491343,2135,3006,2897
493,493_0,RUNNING,SOBOL,,,1519,0.260884289750829334586512686656,0.243687186982482678621053651113,4821,1984,1505
494,494_0,RUNNING,SOBOL,,,2204,0.639223552810028183834845094680,0.315800531825050689871403619691,3808,1482,116
495,495_0,RUNNING,SOBOL,,,2597,0.414619796937331530628512155090,0.920454458769410899243723633845,1747,3588,4310
496,496_0,RUNNING,SOBOL,,,4130,0.873796580633148578520774663048,0.008559381257742644522057418044,3399,4277,3592
497,497_0,FAILED,SOBOL,,,769,0.087938583912327880631742971218,0.729678769743069999265117075993,1065,755,2161
498,498_0,FAILED,SOBOL,,,1217,0.574769542416557643882413231040,0.070716343900188799453943033768,1393,4564,1576
499,499_0,FAILED,SOBOL,,,3955,0.353851745786145310823656018329,0.667512244816869548813542678545,4313,425,2694
500,500_0,FAILED,SOBOL,,,3086,0.934578912006691076008735308278,0.253704422783106564587285447487,789,2354,4428
501,501_0,FAILED,SOBOL,,,2067,0.152408770626410838833209027143,0.982560011124238408264375266299,3513,2596,1171
502,502_0,FAILED,SOBOL,,,1658,0.779850202528759806064329040964,0.582977678339928417905468904792,2657,3335,2248
503,503_0,FAILED,SOBOL,,,3143,0.057134954581037164511592152394,0.181591076081618674198381313545,557,1696,3327
504,504_0,FAILED,SOBOL,,,4832,0.732403260314837045719116304099,0.766930148115381626894304645248,4550,1164,3771
505,505_0,FAILED,SOBOL,,,66,0.446190111739560968384665784470,0.497602761115878811093438116586,2255,3906,475
506,506_0,FAILED,SOBOL,,,101,0.789402106074616360942286519276,0.203135390276089317085350671732,988,1293,1201
507,507_0,FAILED,SOBOL,,,4709,0.014941251108422873988823553759,0.534167612500488719895486156020,3303,3718,4457
508,508_0,RUNNING,SOBOL,,,3254,0.712100018644705401449357395904,0.386607082031667215193948550223,1827,4123,2803
509,509_0,RUNNING,SOBOL,,,1615,0.499135153336450476668773035271,0.850673370549455243327940934250,3868,927,1684
510,510_0,RUNNING,SOBOL,,,2182,0.620252730986103451016333565349,0.716169793717563174517692914378,4730,23,603
511,511_0,RUNNING,SOBOL,,,3039,0.341984966518357413889361851034,0.049384522834792735079822989519,2064,4948,3899
512,512_0,RUNNING,SOBOL,,,3986,0.884192398475483032349586665077,0.898663803303614283635170068010,3071,2814,3376
513,513_0,RUNNING,SOBOL,,,1098,0.169178874855861055559458350217,0.364913063444197161011572916323,131,2118,2297
514,514_0,FAILED,SOBOL,,,648,0.680351693676784607944796334777,0.961253029875457243313974231569,2335,3191,1477
515,515_0,FAILED,SOBOL,,,4162,0.406133455997332915021758026342,0.302325785020366333277763715159,4610,1861,2868
516,516_0,FAILED,SOBOL,,,2551,0.820029628774151198022934750043,0.653519713545218094985500556504,481,987,4876
517,517_0,FAILED,SOBOL,,,2318,0.109063735844567424870810157245,0.112032773829996587511281802563,2560,4026,642
518,518_0,FAILED,SOBOL,,,1480,0.978165463233366616613295718707,0.449255338603630649529918628104,3579,4381,2037
519,519_0,RUNNING,SOBOL,,,3741,0.199955832405015826447325366644,0.788023284800350665157964158425,874,551,3467
520,520_0,RUNNING,SOBOL,,,4532,0.527099710134789400939325787476,0.140548106275498879691454590102,4222,2216,4262
521,521_0,RUNNING,SOBOL,,,552,0.310387979933992030900924419257,0.596756844649091400256679662562,1322,2755,68
522,522_0,RUNNING,SOBOL,,,453,0.556299730166792905095007881755,0.270460615785792446441604397478,2875,669,3717
523,523_0,RUNNING,SOBOL,,,4436,0.281172737207263712111426912088,0.991275555953383458174243969552,171,4344,2013
524,524_0,RUNNING,SOBOL,,,3528,0.944989397656172513961791992188,0.079680285036563880396442982601,4925,3499,240
525,525_0,RUNNING,SOBOL,,,1263,0.233116645544767381315054421975,0.684029529439285410852278346283,2025,1552,4161
526,526_0,RUNNING,SOBOL,,,2455,0.853141909234225725988665089972,0.756142902165651276114033407794,1631,1898,3084
527,527_0,FAILED,SOBOL,,,2687,0.075966674361377953261786899475,0.479262651281431306671265701880,3907,3072,1341
528,528_0,RUNNING,SOBOL,,,4337,0.651089821804314849984507418412,0.564389172198250910206240860134,1183,4689,936
529,529_0,RUNNING,SOBOL,,,825,0.435410576589405517999864514422,0.171042738512158398744844589601,3264,242,4818
530,530_0,RUNNING,SOBOL,,,1000,0.913454796422272896627703175909,0.502287229865789441873857867904,4183,3815,3920
531,531_0,RUNNING,SOBOL,,,3889,0.139901269085705270978081671274,0.233142702953889974226697745507,1517,1235,351
532,532_0,RUNNING,SOBOL,,,2824,0.587139043323695708487264255382,0.818305698098614864299804594339,3617,1611,2396
533,533_0,RUNNING,SOBOL,,,1967,0.375083416614681475209636118961,0.417101714268326762002914165350,678,3400,3202
534,534_0,RUNNING,SOBOL,,,1753,0.745275554429739695017076428485,0.017519353600218893346474047235,441,2506,4591
