trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
383,383_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,594.000000000000000000000000000000,5000,3,3308,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,40
384,384_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,622.000000000000000000000000000000,5000,3,1808,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,38
385,385_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,489.000000000000000000000000000000,1,3,665,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.001000000000000000020816681712,11
386,386_0,COMPLETED,BoTorch,GenerationStep_1,0.070000000000000006661338147751,538.000000000000000000000000000000,1858,3,4117,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,41
387,387_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,552.000000000000000000000000000000,5000,3,4083,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,42
388,388_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,518.000000000000000000000000000000,1,3,808,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.001000000000000000020816681712,27
389,389_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,511.000000000000000000000000000000,5000,3,2986,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
390,390_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,574.000000000000000000000000000000,5000,3,3884,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
391,391_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,564.000000000000000000000000000000,5000,3,717,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
392,392_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,551.000000000000000000000000000000,1,3,4569,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
393,393_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,558.000000000000000000000000000000,1,3,1884,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
394,394_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,553.000000000000000000000000000000,5000,3,3058,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
395,395_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,558.000000000000000000000000000000,5000,3,1520,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
396,396_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,553.000000000000000000000000000000,5000,3,746,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
397,397_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,992.000000000000000000000000000000,1,3,4577,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.001000000000000000020816681712,93
398,398_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,594.000000000000000000000000000000,5000,3,4663,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.001000000000000000020816681712,1
399,399_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,574.000000000000000000000000000000,1,3,1562,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
400,400_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,758.000000000000000000000000000000,5000,3,3154,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,58
401,401_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,1408.000000000000000000000000000000,4841,3,4538,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,91
402,402_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,951.000000000000000000000000000000,3916,3,4353,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,80
403,403_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,1201.000000000000000000000000000000,287,3,4285,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,85
404,404_0,COMPLETED,BoTorch,GenerationStep_1,0.070000000000000006661338147751,761.000000000000000000000000000000,2304,3,4576,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.001000000000000000020816681712,77
405,405_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,501.000000000000000000000000000000,251,3,3486,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,6
406,406_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,557.000000000000000000000000000000,1,3,4441,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
407,407_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,546.000000000000000000000000000000,1,3,2797,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
408,408_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,564.000000000000000000000000000000,5000,3,2975,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
409,409_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,552.000000000000000000000000000000,5000,3,4140,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
410,410_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,479.000000000000000000000000000000,4285,3,2870,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.001000000000000000020816681712,7
411,411_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,510.000000000000000000000000000000,1,3,544,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,7
412,412_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,508.000000000000000000000000000000,44,3,494,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,11
413,413_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,547.000000000000000000000000000000,4970,3,644,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.001000000000000000020816681712,1
414,414_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,554.000000000000000000000000000000,5000,3,4686,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
415,415_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,594.000000000000000000000000000000,5000,3,621,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
416,416_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,551.000000000000000000000000000000,5000,3,1621,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
417,417_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,544.000000000000000000000000000000,1,3,1446,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
418,418_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,549.000000000000000000000000000000,5000,3,1337,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.001000000000000000020816681712,1
