trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
272,272_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2117,100,516,0.001000000000000000020816681712
273,273_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2125,100,512,0.998999999999999999111821580300
274,274_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2628,2131,1,514,0.001000000000000000020816681712
275,275_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,65.000000000000000000000000000000,5000,1,1,857,0.001000000000000000020816681712
276,276_0,FAILED,BoTorch,GenerationStep_1,,,5000,1,100,649,0.001000000000000000020816681712
277,277_0,FAILED,BoTorch,GenerationStep_1,,,5000,1,100,614,0.998999999999999999111821580300
278,278_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2132,1,527,0.001000000000000000020816681712
279,279_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2338,2112,100,505,0.001000000000000000020816681712
280,280_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,176.000000000000000000000000000000,4512,122,1,420,0.001000000000000000020816681712
281,281_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,56.000000000000000000000000000000,4741,46,1,320,0.001000000000000000020816681712
282,282_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2114,100,491,0.998999999999999999111821580300
283,283_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2119,100,512,0.001000000000000000020816681712
284,284_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,318.000000000000000000000000000000,4515,185,1,460,0.001000000000000000020816681712
285,285_0,FAILED,BoTorch,GenerationStep_1,,,5000,1,100,860,0.998999999999999999111821580300
286,286_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2727,100,1,0.001000000000000000020816681712
287,287_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,4587,100,881,0.998999999999999999111821580300
288,288_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,551.000000000000000000000000000000,5000,53,100,623,0.998999999999999999111821580300
289,289_0,FAILED,BoTorch,GenerationStep_1,,,1,1352,1,1000,0.998999999999999999111821580300
290,290_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2460,2120,100,488,0.998999999999999999111821580300
291,291_0,FAILED,BoTorch,GenerationStep_1,,,1,1223,100,891,0.998999999999999999111821580300
292,292_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,108.000000000000000000000000000000,4564,91,1,386,0.001000000000000000020816681712
293,293_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,61.000000000000000000000000000000,5000,1,1,802,0.998999999999999999111821580300
294,294_0,FAILED,BoTorch,GenerationStep_1,,,1,1176,100,770,0.001000000000000000020816681712
295,295_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2684,1,1,0.001000000000000000020816681712
296,296_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,139.000000000000000000000000000000,5000,57,1,835,0.001000000000000000020816681712
297,297_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2143,1,516,0.998999999999999999111821580300
298,298_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,166.000000000000000000000000000000,4816,95,100,521,0.001000000000000000020816681712
299,299_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3277,100,196,0.998999999999999999111821580300
300,300_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,3497,2049,100,500,0.001000000000000000020816681712
301,301_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,69.000000000000000000000000000000,4331,59,1,318,0.998999999999999999111821580300
302,302_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2768,100,618,0.998999999999999999111821580300
303,303_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,75.000000000000000000000000000000,3865,358,100,1,0.998999999999999999111821580300
304,304_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,120.000000000000000000000000000000,4562,99,1,376,0.998999999999999999111821580300
305,305_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1921,4562,1,249,0.001000000000000000020816681712
306,306_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2042,2790,1,878,0.001000000000000000020816681712
307,307_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2252,4050,1,1,0.998999999999999999111821580300
308,308_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1947,3038,1,1,0.001000000000000000020816681712
309,309_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,41.000000000000000000000000000000,2656,724,1,1,0.001000000000000000020816681712
310,310_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1677,3711,1,137,0.001000000000000000020816681712
311,311_0,RUNNING,BoTorch,GenerationStep_1,,,1,1522,1,1000,0.001000000000000000020816681712
312,312_0,RUNNING,BoTorch,GenerationStep_1,,,1,1342,1,1000,0.001000000000000000020816681712
313,313_0,FAILED,BoTorch,GenerationStep_1,,,4433,1,100,283,0.001000000000000000020816681712
314,314_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4972,4492,100,659,0.001000000000000000020816681712
315,315_0,RUNNING,BoTorch,GenerationStep_1,,,3081,940,67,1000,0.998999999999999999111821580300
316,316_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1567,5000,100,1,0.998999999999999999111821580300
317,317_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1255,4326,100,192,0.998999999999999999111821580300
318,318_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3574,1,499,0.998999999999999999111821580300
319,319_0,FAILED,BoTorch,GenerationStep_1,,,5000,862,100,1000,0.998999999999999999111821580300
320,320_0,FAILED,BoTorch,GenerationStep_1,,,2932,1149,100,851,0.001000000000000000020816681712
321,321_0,FAILED,BoTorch,GenerationStep_1,,,2335,1247,1,840,0.001000000000000000020816681712
322,322_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,4365,100,1000,0.998999999999999999111821580300
323,323_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,529.000000000000000000000000000000,4840,238,100,478,0.010122444159514394287913141568
324,324_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4616,3894,100,232,0.001000000000000000020816681712
325,325_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,163.000000000000000000000000000000,4616,124,1,406,0.820725423694129374574401936115
326,326_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2408,3431,100,409,0.001000000000000000020816681712
327,327_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3407,100,1,0.998999999999999999111821580300
328,328_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,254.000000000000000000000000000000,4662,164,1,434,0.537820134845109598664691930026
329,329_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,62.000000000000000000000000000000,4344,34,1,265,0.998999999999999999111821580300
