trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
2613,2613_0,RUNNING,SOBOL,,,4977,35,0.201504312647506594879942554144,0.201961989870294927884586400069,216,EDFSMode.RANDOM
2614,2614_0,RUNNING,SOBOL,,,4213,59,0.433666344650089741197263037975,0.053081567745655776346946908006,211,EDFSMode.RANDOM
2615,2615_0,RUNNING,SOBOL,,,165,43,0.574711208581924481997305065306,0.862339372530579573172815344151,808,EDFSMode.RANDOM
2616,2616_0,RUNNING,SOBOL,,,1484,89,0.081973961636424064192141258900,0.461055458864197131862994183393,626,EDFSMode.RANDOM
2617,2617_0,RUNNING,SOBOL,,,2895,12,0.909629412613809140708553968580,0.654708712147548776982830531779,338,EDFSMode.RANDOM
2618,2618_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1833.000000000000000000000000000000,2682,71,0.021585872774943708901629335628,0.791210780259221757582110967633,736,EDFSMode.RANDOM
2619,2619_0,RUNNING,SOBOL,,,1691,31,0.970032761348411431967520002217,0.106727717697620391734680822537,445,EDFSMode.RANDOM
2620,2620_0,RUNNING,SOBOL,,,412,77,0.498028077332302920865458872868,0.694641714399680476610399182391,318,EDFSMode.RANDOM
2621,2621_0,RUNNING,SOBOL,,,3962,23,0.510364735772833255644798100548,0.376228947164490845622708548035,919,EDFSMode.RANDOM
2622,2622_0,RUNNING,SOBOL,,,4448,98,0.871234869167208714202388364356,0.369659633129835130116447317050,854,EDFSMode.RANDOM
2623,2623_0,COMPLETED,SOBOL,0.579999999999999960031971113494,5119.000000000000000000000000000000,1182,2,0.137142446123063560525778825649,0.559408812668174548754507213744,102,EDFSMode.RANDOM
2624,2624_0,RUNNING,SOBOL,,,2499,57,0.644292791016399912784606840432,0.148386240931227791906010793355,426,EDFSMode.RANDOM
2625,2625_0,RUNNING,SOBOL,,,3129,45,0.347310821175575268338064915952,0.953736135160550446698835003190,587,EDFSMode.RANDOM
2626,2626_0,RUNNING,SOBOL,,,3186,75,0.660078411288559485647908786632,0.102061680138111121607380482601,974,EDFSMode.RANDOM
2627,2627_0,RUNNING,SOBOL,,,2438,26,0.331787650644779219533120340202,0.781686924096196888989140916237,264,EDFSMode.RANDOM
2628,2628_0,RUNNING,SOBOL,,,1237,79,0.824404038056731236494556469552,0.385770886899903409084089389580,503,EDFSMode.RANDOM
2629,2629_0,RUNNING,SOBOL,,,4386,22,0.183748898170888436132131005252,0.699295378988608717918395996094,678,EDFSMode.RANDOM
2630,2630_0,RUNNING,SOBOL,,,3944,97,0.451059953836724147890890890267,0.553841451790183736392236824031,645,EDFSMode.RANDOM
2631,2631_0,RUNNING,SOBOL,,,433,5,0.557077547779306736508431185939,0.361153215855360032460197317050,367,EDFSMode.RANDOM
2632,2632_0,COMPLETED,SOBOL,0.780000000000000026645352591004,2096.000000000000000000000000000000,1675,51,0.037234676545485852205974453000,0.962224468862637904997825444298,156,EDFSMode.RANDOM
2633,2633_0,RUNNING,SOBOL,,,2705,49,0.954616426659747996374960621324,0.153965974779799591454221285858,800,EDFSMode.RANDOM
2634,2634_0,RUNNING,SOBOL,,,2951,83,0.097637101396918293816362677262,0.289980723332613710141458795988,274,EDFSMode.RANDOM
2635,2635_0,RUNNING,SOBOL,,,1422,19,0.894229198478162290442128323775,0.607409437879919966718489376944,914,EDFSMode.RANDOM
2636,2636_0,RUNNING,SOBOL,,,222,65,0.386712438173592076839923947773,0.193942877283319825565399696643,759,EDFSMode.RANDOM
2637,2637_0,RUNNING,SOBOL,,,4152,35,0.621440260112285591809211382497,0.877476121025159927491188227577,485,EDFSMode.RANDOM
2638,2638_0,RUNNING,SOBOL,,,4961,60,0.760041191881522526507808379392,0.866505732432007791388173245650,392,EDFSMode.RANDOM
2639,2639_0,RUNNING,SOBOL,,,669,40,0.248096547676250334113490225718,0.062136202793568372226840068606,571,EDFSMode.RANDOM
2640,2640_0,RUNNING,SOBOL,,,1908,94,0.720465743569657202094447256968,0.645672160672023931482499392587,866,EDFSMode.RANDOM
2641,2641_0,RUNNING,SOBOL,,,3719,8,0.271385121693834663325617384544,0.456876725992187870950544947846,153,EDFSMode.RANDOM
