trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
400,400_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,20.000000000000000000000000000000,1424,538,1,0.832711419322951229560203501023
401,401_0,COMPLETED,BoTorch,GenerationStep_1,0.690000000000000057731597280508,11.000000000000000000000000000000,494,1101,5,0.988503254741934234139932868857
402,402_0,FAILED,BoTorch,GenerationStep_1,,,512,1,10,0.357049492884999764008568945428
403,403_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,41.000000000000000000000000000000,5000,3040,7,0.430305433295213424216285602597
404,404_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,19.000000000000000000000000000000,843,269,1,0.892212164552848907561610758421
405,405_0,COMPLETED,BoTorch,GenerationStep_1,0.660000000000000031086244689504,49.000000000000000000000000000000,1960,2989,9,0.629759924451655073163180986739
406,406_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,62.000000000000000000000000000000,5000,2950,10,0.241264658645423457627998686803
407,407_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,43.000000000000000000000000000000,777,1097,9,0.706069429459309505503483705979
408,408_0,COMPLETED,BoTorch,GenerationStep_1,0.670000000000000039968028886506,26.000000000000000000000000000000,5000,3068,1,0.299488508552570198428810499536
409,409_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,12.000000000000000000000000000000,429,270,3,0.254708431996893580606666773747
410,410_0,COMPLETED,BoTorch,GenerationStep_1,0.660000000000000031086244689504,4.000000000000000000000000000000,1326,3434,1,0.909713224157238098399602677091
411,411_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,41.000000000000000000000000000000,992,148,10,0.688180914144326361103765066218
412,412_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,45.000000000000000000000000000000,1392,4696,1,0.577333261626274518718560102570
413,413_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,130.000000000000000000000000000000,4928,4480,10,0.902519013518886858982170906529
414,414_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,8.000000000000000000000000000000,1380,1901,10,0.422776697338340834431136272542
415,415_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,37.000000000000000000000000000000,5000,378,10,0.998999999999999999111821580300
416,416_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,26.000000000000000000000000000000,5000,4676,1,0.747280962073211596496946640400
417,417_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,52.000000000000000000000000000000,5000,2995,1,0.164585596621961177676851662000
418,418_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,28.000000000000000000000000000000,4151,1324,4,0.998999999999999999111821580300
419,419_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,17.000000000000000000000000000000,3988,1152,1,0.808309484704383240938341259607
420,420_0,FAILED,BoTorch,GenerationStep_1,,,817,1,10,0.081088510720102452422608507732
421,421_0,FAILED,BoTorch,GenerationStep_1,,,1872,1,10,0.796962634074688369700822931918
422,422_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,401.000000000000000000000000000000,1161,17,10,0.806706507085814594759654028167
423,423_0,COMPLETED,BoTorch,GenerationStep_1,0.670000000000000039968028886506,29.000000000000000000000000000000,5000,3294,1,0.907132578822517521288659736456
424,424_0,FAILED,BoTorch,GenerationStep_1,,,2399,1,10,0.920821460947134684538184501434
425,425_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,27.000000000000000000000000000000,1619,431,4,0.706969320991205907311893952283
426,426_0,FAILED,BoTorch,GenerationStep_1,,,1017,1,10,0.363179031652047845657449443024
427,427_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,64.000000000000000000000000000000,4942,962,10,0.362839318655876319485997782976
428,428_0,FAILED,BoTorch,GenerationStep_1,,,851,1,1,0.112191560690796998667195794042
429,429_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,11.000000000000000000000000000000,597,483,1,0.359975645878716166148336697006
430,430_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,73.000000000000000000000000000000,1479,124,1,0.949764116815561498796682826651
431,431_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,32.000000000000000000000000000000,4885,509,1,0.184198046307960716649887444873
432,432_0,FAILED,BoTorch,GenerationStep_1,,,860,1,1,0.880228496173305119398833085143
433,433_0,FAILED,BoTorch,GenerationStep_1,,,593,1,1,0.079880164513833104567019915976
434,434_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,43.000000000000000000000000000000,1137,172,10,0.842233546873611405025883414055
435,435_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,32.000000000000000000000000000000,3597,516,5,0.619567046340843696761169212550
436,436_0,FAILED,BoTorch,GenerationStep_1,,,2442,1,10,0.680910928312972507647771180928
437,437_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,10.000000000000000000000000000000,169,362,6,0.371363108124724616843082003470
438,438_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,57.000000000000000000000000000000,4950,1134,10,0.443387138337411224053852265570
439,439_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,10.000000000000000000000000000000,1308,1385,1,0.559168269275120644046239704039
440,440_0,FAILED,BoTorch,GenerationStep_1,,,2320,1,10,0.383286461766301489451080897197
441,441_0,FAILED,BoTorch,GenerationStep_1,,,1772,1,1,0.998999999999999999111821580300
442,442_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,25.000000000000000000000000000000,1152,1687,4,0.518952334839014262080070238881
443,443_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,5.000000000000000000000000000000,5000,3412,1,0.998999999999999999111821580300
444,444_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,50.000000000000000000000000000000,4336,1674,5,0.410940764977305583727229532087
445,445_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,5.000000000000000000000000000000,4942,3480,1,0.851904137430101626726752783725
446,446_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,28.000000000000000000000000000000,222,54,10,0.793246061842433181077183235175
447,447_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,35.000000000000000000000000000000,1100,1228,10,0.998999999999999999111821580300
448,448_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,89.000000000000000000000000000000,1736,142,10,0.894873348590534578583799429907
449,449_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,23.000000000000000000000000000000,3928,560,1,0.939765074110208820101775017974
450,450_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,187.000000000000000000000000000000,2424,15,10,0.321089219840804240835296923251
451,451_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,27.000000000000000000000000000000,831,528,5,0.840493433556142699458746392338
452,452_0,FAILED,BoTorch,GenerationStep_1,,,712,1,10,0.101830279310501523037935101001
453,453_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,16.000000000000000000000000000000,914,469,7,0.765342898952601990991695402045
454,454_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,31.000000000000000000000000000000,890,356,10,0.192296187444070260097461755322
455,455_0,FAILED,BoTorch,GenerationStep_1,,,868,1,10,0.348932930073166558404551551575
456,456_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,29.000000000000000000000000000000,2397,87,7,0.253815522434701290599434742035
457,457_0,FAILED,BoTorch,GenerationStep_1,,,630,1,1,0.161226541916145243993341296118
458,458_0,COMPLETED,BoTorch,GenerationStep_1,0.690000000000000057731597280508,13.000000000000000000000000000000,1103,1815,1,0.241480143589410667370742658022
459,459_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,49.000000000000000000000000000000,843,112,1,0.998999999999999999111821580300
460,460_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,14.000000000000000000000000000000,411,438,10,0.720843573976457596685918360890
461,461_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,20.000000000000000000000000000000,1017,431,6,0.890575537433711539314629135333
462,462_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,9.000000000000000000000000000000,275,480,4,0.788313492029453777298897421133
