trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
59,59_0,RUNNING,BOTORCH_MODULAR,,,2493,5000,4.927825235137704318333362607518,0.009346803319640002716273130545,True,True
60,60_0,COMPLETED,BOTORCH_MODULAR,0.510000000000000008881784197001,54.000000000000000000000000000000,710,367,0.001000000000000000020816681712,0.050000000000000002775557561563,True,False
61,61_0,RUNNING,BOTORCH_MODULAR,,,885,5000,4.431193695681439947975377435796,0.000500000000000000010408340856,True,True
62,62_0,RUNNING,BOTORCH_MODULAR,,,1,5000,10.000000000000000000000000000000,0.000500000000000000010408340856,False,True
63,63_0,COMPLETED,BOTORCH_MODULAR,0.450000000000000011102230246252,212.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.050000000000000002775557561563,True,False
64,64_0,COMPLETED,BOTORCH_MODULAR,0.600000000000000088817841970013,4549.000000000000000000000000000000,1555,975,0.001000000000000000020816681712,0.007587519838117715888226033627,True,True
65,65_0,FAILED,BOTORCH_MODULAR,,,1113,2,4.736841515401017943531769560650,0.000500000000000000010408340856,True,True
66,66_0,FAILED,BOTORCH_MODULAR,,,1901,5000,10.000000000000000000000000000000,0.004390345760295919462501412767,True,True
67,67_0,FAILED,BOTORCH_MODULAR,,,1,5000,0.001000000000000000020816681712,0.050000000000000002775557561563,True,False
68,68_0,FAILED,BOTORCH_MODULAR,,,1,5000,10.000000000000000000000000000000,0.000500000000000000010408340856,True,False
69,69_0,FAILED,BOTORCH_MODULAR,,,1,5000,10.000000000000000000000000000000,0.000500000000000000010408340856,True,True
70,70_0,FAILED,BOTORCH_MODULAR,,,1,2,10.000000000000000000000000000000,0.003533187487750774364442252207,False,True
71,71_0,FAILED,BOTORCH_MODULAR,,,1,5000,10.000000000000000000000000000000,0.016278404749503799092691380679,False,True
72,72_0,FAILED,BOTORCH_MODULAR,,,2163,921,0.001000000000000000020816681712,0.000924789874163697129226535676,True,True
73,73_0,FAILED,BOTORCH_MODULAR,,,2084,3931,0.001000000000000000020816681712,0.005834446085553618085994820319,True,True
74,74_0,FAILED,BOTORCH_MODULAR,,,1496,5000,0.001000000000000000020816681712,0.000500000000000000010408340856,False,True
