trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
140,140_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,1353.000000000000000000000000000000,2234,1550,109,250,9
141,141_0,COMPLETED,BOTORCH_MODULAR,0.890000000000000013322676295502,286.000000000000000000000000000000,2286,1,1000,250,4
142,142_0,FAILED,BOTORCH_MODULAR,,,352,1,2,72,10
143,143_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,1203.000000000000000000000000000000,2320,661,2,250,1
144,144_0,COMPLETED,BOTORCH_MODULAR,0.820000000000000062172489379009,173.000000000000000000000000000000,227,1,1000,250,10
145,145_0,FAILED,BOTORCH_MODULAR,,,2205,2786,2,250,10
146,146_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,708.000000000000000000000000000000,3439,1,1000,250,10
147,147_0,FAILED,BOTORCH_MODULAR,,,4206,1,2,250,10
148,148_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,926.000000000000000000000000000000,2367,484,745,250,4
149,149_0,COMPLETED,BOTORCH_MODULAR,0.530000000000000026645352591004,81.000000000000000000000000000000,1,1,2,132,1
150,150_0,COMPLETED,BOTORCH_MODULAR,0.800000000000000044408920985006,164.000000000000000000000000000000,208,1,124,167,10
151,151_0,FAILED,BOTORCH_MODULAR,,,1227,1,2,238,10
152,152_0,FAILED,BOTORCH_MODULAR,,,2007,1,2,250,9
153,153_0,COMPLETED,BOTORCH_MODULAR,0.550000000000000044408920985006,61.000000000000000000000000000000,1,1,287,158,10
154,154_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,1020.000000000000000000000000000000,189,1025,193,136,10
155,155_0,FAILED,BOTORCH_MODULAR,,,241,1,2,250,10
156,156_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,569.000000000000000000000000000000,1184,1,1000,226,10
157,157_0,FAILED,BOTORCH_MODULAR,,,254,1,2,131,10
158,158_0,FAILED,BOTORCH_MODULAR,,,1305,1,2,250,10
159,159_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,673.000000000000000000000000000000,1164,1,674,202,10
160,160_0,FAILED,BOTORCH_MODULAR,,,1145,1,2,198,10
161,161_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,534.000000000000000000000000000000,2995,1,1000,250,10
162,162_0,FAILED,BOTORCH_MODULAR,,,1841,5000,1000,2,10
163,163_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,1440.000000000000000000000000000000,174,1718,223,141,10
164,164_0,FAILED,BOTORCH_MODULAR,,,146,1,2,175,10
165,165_0,COMPLETED,BOTORCH_MODULAR,0.500000000000000000000000000000,63.000000000000000000000000000000,1,1,369,73,10
166,166_0,RUNNING,BOTORCH_MODULAR,,,1830,5000,506,2,1
167,167_0,COMPLETED,BOTORCH_MODULAR,0.820000000000000062172489379009,166.000000000000000000000000000000,237,1,178,50,10
168,168_0,FAILED,BOTORCH_MODULAR,,,311,1,129,2,10
169,169_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,630.000000000000000000000000000000,182,433,204,150,10
170,170_0,COMPLETED,BOTORCH_MODULAR,0.670000000000000039968028886506,79.000000000000000000000000000000,2038,1,1000,250,10
171,171_0,FAILED,BOTORCH_MODULAR,,,280,1,2,185,10
172,172_0,FAILED,BOTORCH_MODULAR,,,1998,1,2,250,6
173,173_0,FAILED,BOTORCH_MODULAR,,,2685,1,2,194,10
174,174_0,FAILED,BOTORCH_MODULAR,,,1,1,2,173,10
175,175_0,RUNNING,BOTORCH_MODULAR,,,1997,5000,2,2,1
176,176_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,378.000000000000000000000000000000,2548,1,1000,189,10
177,177_0,COMPLETED,BOTORCH_MODULAR,0.820000000000000062172489379009,647.000000000000000000000000000000,22,928,320,130,10
178,178_0,FAILED,BOTORCH_MODULAR,,,1151,1,2,46,10
179,179_0,FAILED,BOTORCH_MODULAR,,,122,5000,253,2,10
180,180_0,FAILED,BOTORCH_MODULAR,,,3047,1,2,250,10
181,181_0,FAILED,BOTORCH_MODULAR,,,1868,3816,2,2,3
182,182_0,FAILED,BOTORCH_MODULAR,,,1998,4734,2,2,10
183,183_0,FAILED,BOTORCH_MODULAR,,,1465,1,2,250,10
184,184_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,566.000000000000000000000000000000,1253,1,733,250,10
185,185_0,FAILED,BOTORCH_MODULAR,,,3910,1,208,2,10
186,186_0,FAILED,BOTORCH_MODULAR,,,1,1,435,2,10
187,187_0,FAILED,BOTORCH_MODULAR,,,1050,1,773,2,10
188,188_0,FAILED,BOTORCH_MODULAR,,,4119,5000,841,2,10
189,189_0,COMPLETED,BOTORCH_MODULAR,0.709999999999999964472863211995,102.000000000000000000000000000000,2044,1,1000,250,6
190,190_0,FAILED,BOTORCH_MODULAR,,,1227,1,2,2,10
191,191_0,COMPLETED,BOTORCH_MODULAR,0.760000000000000008881784197001,114.000000000000000000000000000000,125,1,268,198,10
192,192_0,COMPLETED,BOTORCH_MODULAR,0.869999999999999995559107901499,3016.000000000000000000000000000000,36,5000,360,120,10
193,193_0,COMPLETED,BOTORCH_MODULAR,0.869999999999999995559107901499,245.000000000000000000000000000000,2396,1,1000,188,10
194,194_0,FAILED,BOTORCH_MODULAR,,,243,947,2,134,10
195,195_0,FAILED,BOTORCH_MODULAR,,,1528,5000,715,2,1
196,196_0,FAILED,BOTORCH_MODULAR,,,3903,1,1000,2,10
197,197_0,FAILED,BOTORCH_MODULAR,,,1999,3994,1000,2,4
198,198_0,FAILED,BOTORCH_MODULAR,,,1905,4089,1000,2,10
199,199_0,FAILED,BOTORCH_MODULAR,,,1710,5000,1000,61,10
200,200_0,FAILED,BOTORCH_MODULAR,,,122,727,2,250,10
201,201_0,FAILED,BOTORCH_MODULAR,,,195,1,1000,2,10
202,202_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,836.000000000000000000000000000000,125,758,2,232,1
203,203_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,1092.000000000000000000000000000000,3863,1,1000,250,10
204,204_0,FAILED,BOTORCH_MODULAR,,,3921,5000,24,2,10
205,205_0,FAILED,BOTORCH_MODULAR,,,1837,5000,1000,2,10
206,206_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,442.000000000000000000000000000000,726,1,1000,205,10
207,207_0,FAILED,BOTORCH_MODULAR,,,2138,1,2,250,7
208,208_0,FAILED,BOTORCH_MODULAR,,,2547,654,2,202,10
209,209_0,FAILED,BOTORCH_MODULAR,,,4063,5000,376,2,1
210,210_0,FAILED,BOTORCH_MODULAR,,,3855,1,1000,2,10
211,211_0,FAILED,BOTORCH_MODULAR,,,97,1,2,250,10
212,212_0,COMPLETED,BOTORCH_MODULAR,0.890000000000000013322676295502,292.000000000000000000000000000000,2319,1,1000,210,5
213,213_0,FAILED,BOTORCH_MODULAR,,,745,1,1000,2,10
214,214_0,FAILED,BOTORCH_MODULAR,,,3246,1,2,250,10
215,215_0,FAILED,BOTORCH_MODULAR,,,1130,1,2,2,10
216,216_0,FAILED,BOTORCH_MODULAR,,,1700,5000,925,2,1
217,217_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,985.000000000000000000000000000000,4104,1,1000,250,10
218,218_0,FAILED,BOTORCH_MODULAR,,,2818,1,2,214,10
219,219_0,FAILED,BOTORCH_MODULAR,,,3770,5000,187,2,10
220,220_0,FAILED,BOTORCH_MODULAR,,,2008,5000,1000,2,10
221,221_0,FAILED,BOTORCH_MODULAR,,,4295,5000,548,2,10
222,222_0,FAILED,BOTORCH_MODULAR,,,356,1,1000,2,10
223,223_0,COMPLETED,BOTORCH_MODULAR,0.849999999999999977795539507497,172.000000000000000000000000000000,2301,1,1000,250,10
224,224_0,FAILED,BOTORCH_MODULAR,,,3859,3647,1000,2,10
225,225_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,819.000000000000000000000000000000,3657,1,1000,250,10
226,226_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,5622.000000000000000000000000000000,2939,5000,1000,250,1
227,227_0,FAILED,BOTORCH_MODULAR,,,3999,1,1000,2,10
228,228_0,FAILED,BOTORCH_MODULAR,,,5000,5000,31,2,10
229,229_0,FAILED,BOTORCH_MODULAR,,,3895,1,1000,2,1
230,230_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,454.000000000000000000000000000000,3250,1,1000,250,10
231,231_0,FAILED,BOTORCH_MODULAR,,,2580,1,2,214,10
232,232_0,FAILED,BOTORCH_MODULAR,,,4779,5000,374,2,10
233,233_0,FAILED,BOTORCH_MODULAR,,,3688,1,2,2,1
234,234_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,345.000000000000000000000000000000,2704,1,1000,181,10
235,235_0,FAILED,BOTORCH_MODULAR,,,4369,5000,837,2,1
236,236_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,1217.000000000000000000000000000000,2561,937,1000,190,10
237,237_0,FAILED,BOTORCH_MODULAR,,,599,1,2,208,10
238,238_0,FAILED,BOTORCH_MODULAR,,,3781,5000,169,2,1
239,239_0,FAILED,BOTORCH_MODULAR,,,4032,1778,2,2,8
240,240_0,FAILED,BOTORCH_MODULAR,,,1747,1,2,250,10
241,241_0,FAILED,BOTORCH_MODULAR,,,1836,5000,1000,84,10
242,242_0,FAILED,BOTORCH_MODULAR,,,3671,1,2,2,10
243,243_0,FAILED,BOTORCH_MODULAR,,,101,493,2,250,10
244,244_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,4044.000000000000000000000000000000,3149,5000,1000,250,10
245,245_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,1112.000000000000000000000000000000,110,1,1000,13,1
246,246_0,FAILED,BOTORCH_MODULAR,,,1,203,2,250,10
247,247_0,FAILED,BOTORCH_MODULAR,,,1740,4417,2,2,10
248,248_0,FAILED,BOTORCH_MODULAR,,,3933,3341,2,2,10
249,249_0,COMPLETED,BOTORCH_MODULAR,0.900000000000000022204460492503,1755.000000000000000000000000000000,3956,1,1000,71,10
250,250_0,COMPLETED,BOTORCH_MODULAR,0.650000000000000022204460492503,2306.000000000000000000000000000000,1,3634,879,250,10
251,251_0,COMPLETED,BOTORCH_MODULAR,0.890000000000000013322676295502,559.000000000000000000000000000000,203,73,1000,250,1
252,252_0,COMPLETED,BOTORCH_MODULAR,0.739999999999999991118215802999,104.000000000000000000000000000000,46,1,1000,158,6
253,253_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,640.000000000000000000000000000000,3133,1,277,182,10
254,254_0,FAILED,BOTORCH_MODULAR,,,2542,1,2,237,10
255,255_0,FAILED,BOTORCH_MODULAR,,,1,3270,2,250,10
256,256_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,327.000000000000000000000000000000,590,1,477,250,8
257,257_0,COMPLETED,BOTORCH_MODULAR,0.890000000000000013322676295502,3865.000000000000000000000000000000,5000,1,175,250,1
258,258_0,FAILED,BOTORCH_MODULAR,,,1612,1,2,250,10
259,259_0,COMPLETED,BOTORCH_MODULAR,0.890000000000000013322676295502,5446.000000000000000000000000000000,1983,2006,2,250,1
260,260_0,FAILED,BOTORCH_MODULAR,,,652,1,2,250,10
261,261_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,1163.000000000000000000000000000000,5000,1,169,250,10
262,262_0,COMPLETED,BOTORCH_MODULAR,0.830000000000000071054273576010,199.000000000000000000000000000000,187,1,527,250,6
263,263_0,FAILED,BOTORCH_MODULAR,,,145,1,2,2,10
264,264_0,COMPLETED,BOTORCH_MODULAR,0.890000000000000013322676295502,4475.000000000000000000000000000000,4502,1,261,250,1
265,265_0,COMPLETED,BOTORCH_MODULAR,0.890000000000000013322676295502,2831.000000000000000000000000000000,179,3549,281,250,10
266,266_0,COMPLETED,BOTORCH_MODULAR,0.660000000000000031086244689504,2060.000000000000000000000000000000,1,3550,1000,250,1
267,267_0,FAILED,BOTORCH_MODULAR,,,3183,1,2,2,10
