trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
1067,1067_0,FAILED,Sobol,SOBOL,,,2064,3470,0.555994378414005008259834994533,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1068,1068_0,FAILED,Sobol,SOBOL,,,1979,1850,0.422596933254972106919211682907,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1069,1069_0,FAILED,Sobol,SOBOL,,,3191,3656,0.863147215416654955966180295945,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1070,1070_0,FAILED,Sobol,SOBOL,,,3946,376,0.043541165336966516918870695463,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1071,1071_0,FAILED,Sobol,SOBOL,,,237,4818,0.733576810363680165139044220268,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1072,1072_0,FAILED,Sobol,SOBOL,,,730,748,0.889430497244000473067160328355,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1073,1073_0,RUNNING,Sobol,SOBOL,,,4439,3825,0.324190652284771230196014357716,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1074,1074_0,RUNNING,Sobol,SOBOL,,,2698,2105,0.520107615450397187117914654664,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1075,1075_0,RUNNING,Sobol,SOBOL,,,1486,2780,0.204383359393104924173201197846,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1076,1076_0,FAILED,Sobol,SOBOL,,,1760,193,0.593959538327530012224997335579,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1077,1077_0,RUNNING,Sobol,SOBOL,,,3048,4615,0.161229966236278415836480348844,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1078,1078_0,RUNNING,Sobol,SOBOL,,,4793,1336,0.994471950061619258676159915922,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1079,1079_0,FAILED,Sobol,SOBOL,,,1002,3161,0.312226536255329867319829872940,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1080,1080_0,RUNNING,Sobol,SOBOL,,,509,2211,0.094013088800013064338934043462,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1081,1081_0,FAILED,Sobol,SOBOL,,,4300,2906,0.651432223688811040673840579984,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1082,1082_0,FAILED,Sobol,SOBOL,,,3541,1186,0.441879326777532721592933739885,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1083,1083_0,FAILED,Sobol,SOBOL,,,2253,4244,0.749813351614400769307167138322,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
