trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
68,68_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1365.000000000000000000000000000000,411,3,0.001000000000000000020816681712,2760
69,69_0,FAILED,BoTorch,GenerationStep_1,,,5000,3,0.001000000000000000020816681712,4243
70,70_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,27.000000000000000000000000000000,1,4,0.845633494147404629615039084456,1
71,71_0,FAILED,BoTorch,GenerationStep_1,,,5000,4,0.740502979097921398832227168896,1
72,72_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,5145.000000000000000000000000000000,1626,3,0.001000000000000000020816681712,4102
73,73_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,6795.000000000000000000000000000000,5000,3,0.001000000000000000020816681712,3456
74,74_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,1384.000000000000000000000000000000,2418,3,0.001000000000000000020816681712,3318
75,75_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,7082.000000000000000000000000000000,5000,3,0.001000000000000000020816681712,1991
76,76_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,1365.000000000000000000000000000000,2418,3,0.001000000000000000020816681712,4489
77,77_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,6738.000000000000000000000000000000,4957,3,0.001000000000000000020816681712,2464
78,78_0,FAILED,BoTorch,GenerationStep_1,,,5000,3,0.380954518304422340424508774959,220
79,79_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,30.000000000000000000000000000000,1,3,0.001000000000000000020816681712,2508
80,80_0,FAILED,BoTorch,GenerationStep_1,,,1402,7,0.001000000000000000020816681712,4165
81,81_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,2325.000000000000000000000000000000,2670,3,0.001000000000000000020816681712,5000
82,82_0,FAILED,BoTorch,GenerationStep_1,,,4610,3,0.001000000000000000020816681712,1318
83,83_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,3293.000000000000000000000000000000,2325,2,0.001000000000000000020816681712,4491
84,84_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,24.000000000000000000000000000000,1,4,0.368039227613346120460136035035,1
85,85_0,FAILED,BoTorch,GenerationStep_1,,,5000,6,0.998999999999999999111821580300,1
86,86_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,33.000000000000000000000000000000,1,4,0.998999999999999999111821580300,701
87,87_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,5979.000000000000000000000000000000,3767,3,0.001000000000000000020816681712,3353
88,88_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,29.000000000000000000000000000000,5000,4,0.800351016638856216367514662124,425
89,89_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,5194.000000000000000000000000000000,3615,3,0.001000000000000000020816681712,4059
90,90_0,RUNNING,BoTorch,GenerationStep_1,,,5000,3,0.613132584941030289726882074319,1
