trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.699999999999999955591079014994,20.000000000000000000000000000000,3214,39,0.500339467579498875515753297805,0.712331474615260917815362518013,573,EDFSMode.RANDOM
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.689999999999999946709294817992,5286.000000000000000000000000000000,2635,72,0.799491626903414687177473751944,0.582760032285004836438702113810,725,EDFSMode.RANDOM
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,10.000000000000000000000000000000,930,31,0.111472299268469215993704324319,0.067693912159651523086090207926,450,EDFSMode.RANDOM
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,52.000000000000000000000000000000,1389,78,0.665698294088244435506851459650,0.841027031086385212788059106970,304,EDFSMode.RANDOM
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,13.000000000000000000000000000000,4655,25,0.476674921443685895017239317895,0.325962502196431136436416409197,917,EDFSMode.RANDOM
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,65.000000000000000000000000000000,4907,54,0.747521825784817295357242983300,0.043193300087004900256193451469,179,EDFSMode.RANDOM
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,17.000000000000000000000000000000,1611,45,0.437543384123593559476006475961,0.558286523263901490743421618390,792,EDFSMode.RANDOM
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,7033.000000000000000000000000000000,1152,99,0.847634742969647025923052297003,0.283915575318038460039815618074,653,EDFSMode.RANDOM
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,20.000000000000000000000000000000,2886,2,0.038652256298810243329011626656,0.799013899371027958018487424852,378,EDFSMode.RANDOM
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,24.000000000000000000000000000000,3475,84,0.271638648619875300305182008742,0.936608740957453833608781224029,523,EDFSMode.RANDOM
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,44.000000000000000000000000000000,483,18,0.585409939274191826186211073946,0.421541289845481503828494851405,698,EDFSMode.RANDOM
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,15.000000000000000000000000000000,2289,9,0.998999999999999999111821580300,0.498888124723438575180978205026,198,EDFSMode.RANDOM
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,88.000000000000000000000000000000,762,87,0.603596391642894691820231400925,0.746129167599162812507529451977,100,EDFSMode.RANDOM
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,420.000000000000000000000000000000,4564,6,0.998999999999999999111821580300,0.001000000000000000020816681712,341,EDFSMode.RANDOM
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,104.000000000000000000000000000000,233,1,0.998999999999999999111821580300,0.001000000000000000020816681712,1000,EDFSMode.RANDOM
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,228.000000000000000000000000000000,1274,15,0.998999999999999999111821580300,0.001000000000000000020816681712,100,EDFSMode.RANDOM
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,106.000000000000000000000000000000,5000,1,0.998999999999999999111821580300,0.001000000000000000020816681712,1000,EDFSMode.RANDOM
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,15.000000000000000000000000000000,5000,1,0.998999999999999999111821580300,0.898470067981791076228148540395,504,EDFSMode.RANDOM
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,104.000000000000000000000000000000,5000,1,0.998999999999999999111821580300,0.707265332518852041232548799599,1000,EDFSMode.RANDOM
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,386.000000000000000000000000000000,4363,26,0.998999999999999999111821580300,0.001000000000000000020816681712,100,EDFSMode.RANDOM
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,203.000000000000000000000000000000,5000,82,0.613898622112238889769741945202,0.001000000000000000020816681712,100,EDFSMode.RANDOM
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,62.000000000000000000000000000000,4248,1,0.998999999999999999111821580300,0.569065842705020585867714544293,100,EDFSMode.RANDOM
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,125.000000000000000000000000000000,3790,96,0.584360857441452496985334619239,0.930713749861360684079159000248,100,EDFSMode.RANDOM
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.680000000000000048849813083507,71.000000000000000000000000000000,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,292,EDFSMode.RANDOM
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.689999999999999946709294817992,71.000000000000000000000000000000,1,1,0.998999999999999999111821580300,0.998999999999999999111821580300,333,EDFSMode.RANDOM
