trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
296,296_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,691,8.965476960157930719219621096272,0.000500000000000000010408340856,False,False
297,297_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,5000,4485,10.000000000000000000000000000000,0.050000000000000002775557561563,True,False
298,298_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,238,10.000000000000000000000000000000,0.044482446106514576811274963575,False,False
299,299_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,4138,10.000000000000000000000000000000,0.000500000000000000010408340856,False,False
300,300_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,112,1496,0.001000000000000000020816681712,0.040878057270664222566658452251,True,False
301,301_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,5.000000000000000000000000000000,1,2,0.001000000000000000020816681712,0.040092843784373138893428745178,True,False
302,302_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,5000,5000,10.000000000000000000000000000000,0.050000000000000002775557561563,True,False
303,303_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,3.000000000000000000000000000000,1,2,10.000000000000000000000000000000,0.033236831712816820860734168264,False,False
304,304_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,5.544988924153241072190212435089,0.029945941564238860721491874983,False,False
305,305_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,4898,3967,3.982915939191197463031812731060,0.010647436097768409393737876201,True,False
306,306_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,5000,3645,10.000000000000000000000000000000,0.050000000000000002775557561563,True,False
307,307_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,2323,1650,0.001000000000000000020816681712,0.017785269664585576926407739506,True,False
308,308_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,5.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.005719882149016367739458033270,True,False
