trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
152,152_0,RUNNING,GenerationStep_1,,,3912,1713,83,1,0.654038337178425077667043296969
153,153_0,RUNNING,GenerationStep_1,,,1,1737,82,1,0.001000000000000000020816681712
154,154_0,RUNNING,GenerationStep_1,,,3847,1788,81,135,0.823251403994242347827992034581
155,155_0,FAILED,GenerationStep_1,,,1667,1,82,1,0.211061075248319546249220479694
156,156_0,RUNNING,GenerationStep_1,,,583,3558,82,284,0.001000000000000000020816681712
157,157_0,RUNNING,GenerationStep_1,,,686,2386,82,584,0.001000000000000000020816681712
158,158_0,RUNNING,GenerationStep_1,,,2076,5000,83,647,0.008906392693235747406999003317
159,159_0,FAILED,GenerationStep_1,,,1,1,82,667,0.661549704523226034247329607751
160,160_0,FAILED,GenerationStep_1,,,1639,6,82,742,0.499481625740951007408341411065
161,161_0,FAILED,GenerationStep_1,,,2771,1,83,223,0.460188368500023536888932085276
162,162_0,RUNNING,GenerationStep_1,,,4781,5000,84,160,0.398491245324997300780722753188
163,163_0,RUNNING,GenerationStep_1,,,2958,2902,82,1,0.998999999999999999111821580300
164,164_0,RUNNING,GenerationStep_1,,,4194,1253,83,535,0.359141651863183086756947659524
165,165_0,RUNNING,GenerationStep_1,,,1,3381,81,624,0.998999999999999999111821580300
166,166_0,RUNNING,GenerationStep_1,,,705,1872,83,519,0.302876150296468749090195160534
167,167_0,RUNNING,GenerationStep_1,,,4122,760,81,174,0.527288342918306396356342702347
168,168_0,RUNNING,GenerationStep_1,,,2092,146,82,633,0.818608408329255521351797142415
169,169_0,RUNNING,GenerationStep_1,,,1579,3999,82,124,0.216343592345496521511805099180
170,170_0,RUNNING,GenerationStep_1,,,2776,3962,81,206,0.671812157202899218333413955406
171,171_0,RUNNING,GenerationStep_1,,,1241,596,81,838,0.998999999999999999111821580300
172,172_0,FAILED,GenerationStep_1,,,1606,266,83,498,0.599049362922665085129381168372
173,173_0,FAILED,GenerationStep_1,,,17,4511,80,968,0.522797997879876685800581981312
