trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
1633,1633_0,RUNNING,SOBOL,,,3355,0.213544333951547732342035601505,0.420480882024392488283126567694,1254,318,624
1634,1634_0,RUNNING,SOBOL,,,3841,0.983389355206862103564446897508,0.813665815541520731635216634459,3662,893,1775
1635,1635_0,RUNNING,SOBOL,,,2396,0.476477551557123679693006579328,0.157521083723753702043879343364,3,2287,4155
1636,1636_0,RUNNING,SOBOL,,,1601,0.864046004097908770802405342693,0.283579822789877644684253255036,1062,1847,3412
1637,1637_0,RUNNING,SOBOL,,,4685,0.372940672224387537170287032495,0.687848825285211185054379257053,2770,1333,645
1638,1638_0,RUNNING,SOBOL,,,2519,0.570468942476436535748973710724,0.046808545088395478450671305382,2314,758,1991
1639,1639_0,RUNNING,SOBOL,,,1227,0.063774145413190125308844358187,0.950572880946099707522023436468,4021,2859,4604
1640,1640_0,RUNNING,SOBOL,,,730,0.885889463111758201918632948946,0.108069989819079642634491733588,3069,192,4028
1641,1641_0,RUNNING,SOBOL,,,3036,0.378994320960715391777284821728,0.886505645783618123623170959036,756,3179,1260
1642,1642_0,RUNNING,SOBOL,,,4772,0.677595588454976693881803839759,0.347159769995138034470727461667,4318,2605,106
1643,1643_0,FAILED,SOBOL,,,1454,0.186290859542787068381386461624,0.627074698254466045277411012648,2006,1204,2720
1644,1644_0,FAILED,SOBOL,,,1899,0.543144974108785372202135022235,0.752465296909213043896613726247,1580,1643,4710
1645,1645_0,FAILED,SOBOL,,,4356,0.036459216972813013324383746294,0.221527422530576584280836982543,4596,2166,2490
1646,1646_0,FAILED,SOBOL,,,3441,0.766606617985293281591907543771,0.513627082498744114147370964929,332,2740,1142
1647,1647_0,FAILED,SOBOL,,,276,0.275518895659595752789527978166,0.481194108981639168121091643116,3347,631,3520
1648,1648_0,FAILED,SOBOL,,,257,0.921216546202078490068743121810,0.551525734907016174091154425696,705,1002,4632
1649,1649_0,FAILED,SOBOL,,,3498,0.429913720823824396788381818624,0.458644137732684586961084960421,3121,2397,1943
1650,1650_0,RUNNING,SOBOL,,,4301,0.638368194073438699476241708908,0.806208969514817019863528457790,1954,3409,751
1651,1651_0,RUNNING,SOBOL,,,1915,0.131474955456331366043798425380,0.214807243207469578116786124156,4369,427,3285
1652,1652_0,RUNNING,SOBOL,,,1431,0.522922888232395077778846825822,0.338248623112216595387735651457,4569,863,4106
1653,1653_0,RUNNING,SOBOL,,,4834,0.031837069440633060379841623444,0.682525840800255578777466780593,1608,2973,1806
1654,1654_0,RUNNING,SOBOL,,,2976,0.790725267570465795152756527386,0.083816355697810651648183011275,3320,1961,496
1655,1655_0,RUNNING,SOBOL,,,751,0.284041413968428968495061326394,0.926599072819575653170431905892,359,1437,2954
1656,1656_0,RUNNING,SOBOL,,,1211,0.728012171873822833134681786760,0.022585386099293829065270955425,1300,2489,3489
1657,1657_0,RUNNING,SOBOL,,,2574,0.221098464690148821532034162374,0.990635870028287124355870219006,4869,1100,1191
1658,1658_0,RUNNING,SOBOL,,,4628,0.956339670464396496285530702153,0.274699143603444106975786098701,50,89,2382
1659,1659_0,RUNNING,SOBOL,,,1619,0.465023050041869279169759465731,0.743269522441551089286804199219,3617,3064,4838
1660,1660_0,RUNNING,SOBOL,,,2376,0.825787071643397263542851760576,0.867379042757675078334500540223,2801,2628,2767
1661,1661_0,RUNNING,SOBOL,,,3900,0.319090371046215293127090717462,0.150831372097134597254353138851,1031,524,77
1662,1662_0,RUNNING,SOBOL,,,3292,0.612628186222165860286281713343,0.615014314342290147052949578210,4052,1536,1385
1663,1663_0,RUNNING,SOBOL,,,444,0.121520950814709066678531712569,0.397961385907605269540709969078,2283,2053,3921
1664,1664_0,RUNNING,SOBOL,,,566,0.568794183019548649227203895862,0.964200334299355699130273933406,3197,297,219
1665,1665_0,RUNNING,SOBOL,,,3180,0.077692658213898535546348966818,0.060466871382668617440625524750,471,3334,2607
1666,1666_0,RUNNING,SOBOL,,,4022,0.869741027226671570282690026943,0.705378935886546987177325718221,4447,2268,3760
1667,1667_0,RUNNING,SOBOL,,,2263,0.363042423095554123158024140139,0.301139973536133753739818530448,1720,925,1527
1668,1668_0,RUNNING,SOBOL,,,1731,0.968922606043517542495635552768,0.175081353440880771454857267599,2154,1361,1021
1669,1669_0,RUNNING,SOBOL,,,4505,0.477604082087054848670959472656,0.831195807171985490136023599916,4179,1832,3641
1670,1670_0,RUNNING,SOBOL,,,2687,0.715305536331608871059017928928,0.434139089347794659978774234332,905,2898,4990
