start_time,end_time,run_time,program_string,n_samples,threshold,outlier_detector_kwargs,result,exit_code,signal,hostname
1727347914,1727347917,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 389 threshold 0.5593796869739891 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",389,0.5593796869739891,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347932,1727347936,4,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 712 threshold 0.6027448259294034 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",712,0.6027448259294034,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347932,1727347936,4,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 703 threshold 0.39856980405747894 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",703,0.39856980405747894,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347933,1727347936,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 496 threshold 0.7627132909372449 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",496,0.7627132909372449,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347933,1727347936,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 550 threshold 0.32080405205488205 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",550,0.32080405205488205,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347934,1727347937,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 554 threshold 0.5909922225400805 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",554,0.5909922225400805,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347954,1727347957,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 173 threshold 0.35210126210004095 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",173,0.35210126210004095,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347954,1727347957,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 732 threshold 0.44083191640675073 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",732,0.44083191640675073,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347954,1727347957,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 899 threshold 0.2808715455234051 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",899,0.2808715455234051,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347954,1727347958,4,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 350 threshold 0.6627395316958429 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",350,0.6627395316958429,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
