start_time,end_time,run_time,program_string,n_samples,n_permutations,update_interval,n_consecutive_deviations,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727667131,1727668024,893,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 292 n_permutations 40 update_interval 52 n_consecutive_deviations 4,292,40,52,4,0.2593970091654607,0,None,i7186,886,1.3640815257188552e-05
1727667051,1727668160,1109,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 771 n_permutations 26 update_interval 219 n_consecutive_deviations 1,771,26,219,1,0.2819295706705258,0,None,i7186,1101,4.2992567597926455e-05
1727667119,1727668275,1156,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 784 n_permutations 34 update_interval 174 n_consecutive_deviations 1,784,34,174,1,0.2765207428847082,0,None,i7186,1149,3.355663254360794e-05
1727667437,1727668335,898,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 316 n_permutations 50 update_interval 50 n_consecutive_deviations 5,316,50,50,5,0.2505619874577907,0,None,i7186,890,1.567596072697565e-05
1727667497,1727668342,845,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 316 n_permutations 43 update_interval 50 n_consecutive_deviations 5,316,43,50,5,0.2505330438977328,0,None,i7181,837,1.567786461504464e-05
1727667537,1727668371,834,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 328 n_permutations 43 update_interval 56 n_consecutive_deviations 5,328,43,56,5,0.25372768933912204,0,None,i7181,827,1.646096577379658e-05
1727667385,1727668411,1026,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 759 n_permutations 22 update_interval 250 n_consecutive_deviations 2,759,22,250,2,0.28287747226242166,0,None,i7181,1019,5.345915870349351e-05
1727667178,1727668426,1248,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 829 n_permutations 26 update_interval 63 n_consecutive_deviations 3,829,26,63,3,0.26164978292329955,0,None,i7186,1241,1.6057942948876444e-05
1727667298,1727668436,1138,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 777 n_permutations 11 update_interval 223 n_consecutive_deviations 4,777,11,223,4,0.28198263386396527,0,None,i7186,1131,4.9627303567496855e-05
1727667365,1727668519,1154,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 790 n_permutations 10 update_interval 124 n_consecutive_deviations 5,790,10,124,5,0.2687252773757839,0,None,i7186,1146,2.98695006534498e-05
1727667694,1727668609,915,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 315 n_permutations 31 update_interval 50 n_consecutive_deviations 5,315,31,50,5,0.25001085383502175,0,None,i7186,908,1.563277500025055e-05
1727667832,1727668617,785,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 315 n_permutations 11 update_interval 50 n_consecutive_deviations 4,315,11,50,4,0.2502629040038591,0,None,i7181,778,1.454150814727754e-05
1727667812,1727668661,849,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 316 n_permutations 50 update_interval 50 n_consecutive_deviations 5,316,50,50,5,0.2505330438977328,0,None,i7181,842,1.567786461504464e-05
1727667663,1727668676,1013,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 788 n_permutations 39 update_interval 192 n_consecutive_deviations 1,788,39,192,1,0.2770031355523396,0,None,i7181,1007,3.7397865905843963e-05
1727667792,1727668699,907,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 316 n_permutations 40 update_interval 50 n_consecutive_deviations 5,316,40,50,5,0.25053424987940187,0,None,i7186,900,1.5677813156533413e-05
1727667633,1727668715,1082,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 777 n_permutations 10 update_interval 207 n_consecutive_deviations 1,777,10,207,1,0.27975036179450075,0,None,i7181,1075,4.0378356879347924e-05
1727668048,1727668972,924,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 315 n_permutations 10 update_interval 50 n_consecutive_deviations 4,315,10,50,4,0.25027978774722626,0,None,i7186,916,1.454141551388937e-05
1727668108,1727669083,975,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 332 n_permutations 50 update_interval 52 n_consecutive_deviations 3,332,50,52,3,0.25615894838398456,0,None,i7186,968,1.3255194381093035e-05
1727668208,1727669095,887,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 317 n_permutations 50 update_interval 90 n_consecutive_deviations 3,317,50,90,3,0.2543427399903522,0,None,i7186,880,2.0510872011821233e-05
1727668329,1727669264,935,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 315 n_permutations 32 update_interval 50 n_consecutive_deviations 5,315,32,50,5,0.2499794983116257,0,None,i7186,928,1.563277882256227e-05
1727668449,1727669381,932,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 315 n_permutations 31 update_interval 50 n_consecutive_deviations 5,315,31,50,5,0.2499794983116257,0,None,i7186,925,1.563277882256227e-05
1727668429,1727669393,964,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 315 n_permutations 10 update_interval 50 n_consecutive_deviations 4,315,10,50,4,0.2502677279305354,0,None,i7186,957,1.454074232156379e-05
1727668600,1727669444,844,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 314 n_permutations 10 update_interval 50 n_consecutive_deviations 3,314,10,50,3,0.250015677761698,0,None,i7181,836,1.328077246902079e-05
1727668609,1727669445,836,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 319 n_permutations 10 update_interval 51 n_consecutive_deviations 4,319,10,51,4,0.25036661842739993,0,None,i7181,830,1.4765137395104395e-05
1727668589,1727669534,945,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 315 n_permutations 31 update_interval 50 n_consecutive_deviations 5,315,31,50,5,0.25000482392667633,0,None,i7186,938,1.563369540657897e-05
1727668569,1727669538,969,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 313 n_permutations 22 update_interval 65 n_consecutive_deviations 1,313,22,65,1,0.2552267245537868,0,None,i7186,962,1.285055990583952e-05
1727668721,1727669668,947,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 316 n_permutations 31 update_interval 50 n_consecutive_deviations 5,316,31,50,5,0.25060660877954655,0,None,i7186,940,1.5677401426953414e-05
1727668888,1727669704,816,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 316 n_permutations 50 update_interval 85 n_consecutive_deviations 4,316,50,85,4,0.2530342498794018,0,None,i7181,809,2.0813621692609203e-05
1727668689,1727669716,1027,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 336 n_permutations 31 update_interval 50 n_consecutive_deviations 2,336,31,50,2,0.2576181862035697,0,None,i7186,1020,1.1658889339384258e-05
1727668868,1727669758,890,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 333 n_permutations 28 update_interval 51 n_consecutive_deviations 3,333,28,51,3,0.25698142788229617,0,None,i7181,883,1.3055264055465562e-05
1727668908,1727669790,882,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 314 n_permutations 10 update_interval 54 n_consecutive_deviations 2,314,10,54,2,0.2525542691751086,0,None,i7181,875,1.2595836257870057e-05
