trial_index,arm_name,trial_status,generation_method,result,n_samples,n_windows,disjoint_training_windows
278,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
279,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
280,280_0,COMPLETED,BoTorch,0.328986975397973946400043132599,161,166,True
281,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
282,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
283,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
284,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
285,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
286,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
287,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
288,288_0,COMPLETED,BoTorch,0.318431017848528674640817826003,801,124,False
289,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
290,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
291,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
292,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
293,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
294,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
295,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
296,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
297,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
298,298_0,COMPLETED,BoTorch,0.316766763145200247464572385070,820,43,False
299,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
300,300_0,COMPLETED,BoTorch,0.316505065123010131955538781767,823,132,False
301,301_0,COMPLETED,BoTorch,0.315887602508441833748520366498,822,121,False
302,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
303,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
304,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
305,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
306,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
307,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
308,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
309,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
310,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
311,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
312,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
313,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
314,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
315,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
316,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
317,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
318,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
319,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
320,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
321,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
322,322_0,COMPLETED,BoTorch,0.317793053545586068331374463014,874,25,False
323,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
324,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
325,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
326,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
327,322_0,COMPLETED,BoTorch,0.317793053545586068331374463014,874,25,False
328,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
329,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
330,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
331,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
332,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
333,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
334,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
335,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
336,36_0,RUNNING,BoTorch,,100,25,False
337,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
338,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
339,339_0,COMPLETED,BoTorch,0.296500241196333780280269820651,367,74,False
340,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
341,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
342,342_0,COMPLETED,BoTorch,0.307613362276893398394861378620,582,25,False
343,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
344,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
345,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
346,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
347,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
348,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
349,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
350,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
351,342_0,COMPLETED,BoTorch,0.307613362276893398394861378620,582,25,False
352,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
353,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
354,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
355,355_0,COMPLETED,BoTorch,0.328986975397973946400043132599,616,25,True
356,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
