start_time,end_time,run_time,program_string,n_samples,n_windows,disjoint_training_windows,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727411408,1727411421,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 698 n_windows 188 disjoint_training_windows True,698,188,True,0.2645115100782024,0,None,i7186,9,0
1727411428,1727411442,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 960 n_windows 189 disjoint_training_windows False,960,189,False,0.30185042405551277,0,None,i7186,10,0.0019242855199134352
1727411448,1727411461,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 633 n_windows 172 disjoint_training_windows True,633,172,True,0.2645115100782024,0,None,i7186,9,0
1727411469,1727411482,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 1000 n_windows 25 disjoint_training_windows True,1000,25,True,0.2645115100782024,0,None,i7186,9,0
1727411488,1727411501,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 611 n_windows 164 disjoint_training_windows True,611,164,True,0.2645115100782024,0,None,i7186,8,0
1727411508,1727411523,15,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 31 disjoint_training_windows True,100,31,True,0.27965634981826193,0,None,i7186,11,0.05490692807577924
1727411529,1727411541,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 631 n_windows 177 disjoint_training_windows True,631,177,True,0.2645115100782024,0,None,i7186,9,0
1727411549,1727411561,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 816 n_windows 172 disjoint_training_windows True,816,172,True,0.2645115100782024,0,None,i7186,8,0
1727411569,1727411582,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 410 n_windows 135 disjoint_training_windows True,410,135,True,0.2645115100782024,0,None,i7186,8,0
1727411589,1727411602,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 137 disjoint_training_windows True,100,137,True,0.2645115100782024,0,None,i7186,9,0
1727411609,1727411621,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 763 n_windows 221 disjoint_training_windows True,763,221,True,0.2645115100782024,0,None,i7186,8,0
1727411629,1727411642,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 68 disjoint_training_windows False,100,68,False,0.28257517347725525,0,None,i7186,10,0.0004243263593340055
1727411649,1727411661,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 250 disjoint_training_windows True,100,250,True,0.2645115100782024,0,None,i7186,9,0
1727411669,1727411683,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 1000 n_windows 151 disjoint_training_windows False,1000,151,False,0.3020707126335499,0,None,i7186,10,0.0020307853287807043
1727411689,1727411702,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 70 disjoint_training_windows False,100,70,False,0.2835664720784228,0,None,i7186,10,0.00042313764364650954
1727411709,1727411723,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 250 disjoint_training_windows False,100,250,False,0.30487939200352465,0,None,i7186,11,0.0009894628630172171
1727411729,1727411742,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 65 disjoint_training_windows False,100,65,False,0.2815288027315783,0,None,i7186,10,0.00042938363076768784
1727411749,1727411761,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 706 n_windows 235 disjoint_training_windows True,706,235,True,0.2645115100782024,0,None,i7186,9,0
1727411769,1727411781,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 1000 n_windows 77 disjoint_training_windows True,1000,77,True,0.2645115100782024,0,None,i7186,9,0
1727411789,1727411802,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 70 disjoint_training_windows False,100,70,False,0.2835664720784228,0,None,i7186,10,0.00042313764364650954
1727411809,1727411822,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 703 n_windows 250 disjoint_training_windows True,703,250,True,0.2645115100782024,0,None,i7186,8,0
1727411829,1727411842,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 630 n_windows 25 disjoint_training_windows True,630,25,True,0.2645115100782024,0,None,i7186,10,0
1727411849,1727411861,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 250 disjoint_training_windows True,100,250,True,0.2645115100782024,0,None,i7037,8,0
