start_time,end_time,run_time,program_string,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1747411971,1747412337,366,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2125 significance 0.6017817894425244 gamma 0.3469354113806039 max_node_size 2329 max_tree_depth 4488 max_time_stationary 2065,2125,0.6017817894425244,0.3469354113806039,2329,4488,2065,,,1,,i7155,5083459
1747411988,1747412410,422,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 131 significance 0.8340895393844694 gamma 0.4957417601961642 max_node_size 1637 max_tree_depth 1704 max_time_stationary 2707,131,0.8340895393844694,0.4957417601961642,1637,1704,2707,,,1,,i7144,5083468
1747411973,1747412550,577,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2020 significance 0.2601120507568121 gamma 0.8240404788758605 max_node_size 2936 max_tree_depth 703 max_time_stationary 4728,2020,0.2601120507568121,0.8240404788758605,2936,703,4728,,,1,,i7149,5083465
1747411985,1747412617,632,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2446 significance 0.1830882436297834 gamma 0.535861183296889 max_node_size 573 max_tree_depth 1858 max_time_stationary 1424,2446,0.1830882436297834,0.535861183296889,573,1858,1424,,,1,,i7168,5083443
1747411954,1747412641,687,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2535 significance 0.4431075504478067 gamma 0.3131346725150943 max_node_size 417 max_tree_depth 2727 max_time_stationary 1676,2535,0.4431075504478067,0.3131346725150943,417,2727,1676,,,1,,i7152,5083462
1747412105,1747412692,587,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 566 significance 0.7239284186530859 gamma 0.14433467769622801 max_node_size 4236 max_tree_depth 856 max_time_stationary 943,566,0.7239284186530859,0.144334677696228,4236,856,943,,,1,,i7159,5083452
1747411967,1747413058,1091,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2382 significance 0.708682169554755 gamma 0.9744705123957247 max_node_size 1451 max_tree_depth 3678 max_time_stationary 2466,2382,0.708682169554755,0.9744705123957248,1451,3678,2466,,,1,,i7161,5083450
1747412159,1747413133,974,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 811 significance 0.7567652480863035 gamma 0.0937652139198035 max_node_size 3521 max_tree_depth 4599 max_time_stationary 1557,811,0.7567652480863035,0.0937652139198035,3521,4599,1557,,,1,,i7157,5083456
1747411976,1747413179,1203,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 886 significance 0.35550958442501723 gamma 0.40370371111109854 max_node_size 4438 max_tree_depth 160 max_time_stationary 2370,886,0.3555095844250172,0.4037037111110985,4438,160,2370,,,1,,i7167,5083444
1747412010,1747413214,1204,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3111 significance 0.5257157284989953 gamma 0.47945542220026255 max_node_size 3934 max_tree_depth 394 max_time_stationary 4258,3111,0.5257157284989953,0.4794554222002625,3934,394,4258,,,1,,i7171,5083441
1747411954,1747413234,1280,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1075 significance 0.21221222082711758 gamma 0.24027123120240867 max_node_size 2036 max_tree_depth 2282 max_time_stationary 3821,1075,0.2122122208271175,0.2402712312024086,2036,2282,3821,,,1,,i7152,5083461
1747412107,1747413319,1212,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 255 significance 0.05506479543447495 gamma 0.9572464896794408 max_node_size 3491 max_tree_depth 2841 max_time_stationary 336,255,0.0550647954344749,0.9572464896794408,3491,2841,336,,,1,,i7158,5083454
1747412105,1747413367,1262,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3416 significance 0.3948614948354661 gamma 0.22398703096434475 max_node_size 4740 max_tree_depth 1091 max_time_stationary 2832,3416,0.3948614948354661,0.2239870309643447,4740,1091,2832,,,1,,i7159,5083451
1747412163,1747413382,1219,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3325 significance 0.9920169052761048 gamma 0.288344664728269 max_node_size 3238 max_tree_depth 4151 max_time_stationary 3245,3325,0.9920169052761048,0.288344664728269,3238,4151,3245,,,1,,i7175,5083437
1747411983,1747413391,1408,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2704 significance 0.6599050447046757 gamma 0.8574909730739891 max_node_size 4769 max_tree_depth 1521 max_time_stationary 4033,2704,0.6599050447046757,0.8574909730739891,4769,1521,4033,,,1,,i7156,5083458
1747412159,1747413408,1249,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1185 significance 0.9298209276236594 gamma 0.7134733737651259 max_node_size 2682 max_tree_depth 3488 max_time_stationary 1722,1185,0.9298209276236594,0.7134733737651259,2682,3488,1722,,,1,,i7157,5083457
