start_time,end_time,run_time,program_string,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1750040322,1750040846,524,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1672 significance 0.11163601619936526 gamma 0.04477961027808487 max_node_size 2537 max_tree_depth 2310 max_time_stationary 2966,1672,0.1116360161993652,0.0447796102780848,2537,2310,2966,,,1,,i7106,5454217,,,,,
1750040322,1750040856,534,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3199 significance 0.3108347666747868 gamma 0.12477856751903892 max_node_size 2164 max_tree_depth 2054 max_time_stationary 851,3199,0.3108347666747868,0.1247785675190389,2164,2054,851,,,1,,i7184,5454215,,,,,
1750040352,1750040871,519,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2451 significance 0.7056239117812365 gamma 0.4617837771587074 max_node_size 3169 max_tree_depth 1868 max_time_stationary 3959,2451,0.7056239117812365,0.4617837771587074,3169,1868,3959,,,1,,i7152,5454222,,,,,
1750040322,1750040879,557,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 289 significance 0.3199058875534683 gamma 0.6727435417976231 max_node_size 1775 max_tree_depth 3099 max_time_stationary 3592,289,0.3199058875534683,0.6727435417976231,1775,3099,3592,,,1,,i7098,5454221,,,,,
1750040351,1750040916,565,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2834 significance 0.8730836012158543 gamma 0.6967631843816489 max_node_size 2050 max_tree_depth 3374 max_time_stationary 1995,2834,0.8730836012158543,0.6967631843816489,2050,3374,1995,,,1,,i7096,5454225,,,,,
1750040381,1750040932,551,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2407 significance 0.3608601023014635 gamma 0.16050929274968803 max_node_size 4753 max_tree_depth 1032 max_time_stationary 4657,2407,0.3608601023014635,0.160509292749688,4753,1032,4657,,,1,,i7089,5454226,,,,,
1750040321,1750040947,626,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3987 significance 0.48023674759455026 gamma 0.2966328661888838 max_node_size 4428 max_tree_depth 1739 max_time_stationary 1934,3987,0.4802367475945502,0.2966328661888838,4428,1739,1934,,,1,,i7102,5454219,,,,,
1750040442,1750040961,519,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3631 significance 0.4665671599637717 gamma 0.8096894642040133 max_node_size 1468 max_tree_depth 2937 max_time_stationary 1162,3631,0.4665671599637717,0.8096894642040133,1468,2937,1162,,,1,,i7082,5454232,,,,,
1750040413,1750040965,552,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4428 significance 0.23003433055989445 gamma 0.4065138253904879 max_node_size 2815 max_tree_depth 2143 max_time_stationary 534,4428,0.2300343305598944,0.4065138253904879,2815,2143,534,,,1,,i7103,5454228,,,,,
1750040414,1750040965,551,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1637 significance 0.9544254170674831 gamma 0.33581058744341136 max_node_size 4075 max_tree_depth 1464 max_time_stationary 3497,1637,0.9544254170674832,0.3358105874434113,4075,1464,3497,,,1,,i7086,5454231,,,,,
1750040471,1750040977,506,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1174 significance 0.7534717960543931 gamma 0.008664057034999131 max_node_size 1815 max_tree_depth 1778 max_time_stationary 4892,1174,0.7534717960543931,0.0086640570349991,1815,1778,4892,,,1,,i7082,5454235,,,,,
