start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747554722,1747554805,83,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 642 n_reference_samples 2862 recent_samples_proportion 0.3227562586013228 threshold 0.988661524258554,642,2862,0.3227562586013228,0.988661524258554,0.58,66.0,0,,i7048,66.0,1054.703125,1050.3125,-1.0,0.001108785310149,5096441
1747554721,1747554830,109,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 3512 n_reference_samples 3756 recent_samples_proportion 0.23085752161778508 threshold 0.7170111724473536,3512,3756,0.230857521617785,0.7170111724473536,0.59,92.0,0,,i7182,92.0,1072.765625,1047.2945963541667,-1.0,0.1455721124950778,5096436
1747554625,1747554858,233,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 4926 n_reference_samples 4907 recent_samples_proportion 0.30051300448179247 threshold 0.13832727609761059,4926,4907,0.3005130044817924,0.1383272760976105,0.68,198.0,0,,i7085,198.0,1570.33203125,1285.9176136363635,-1.0,0.9917825537294565,5096395
1747554846,1747554871,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 2593 n_reference_samples 3 recent_samples_proportion 0.4167657247278839 threshold 0.5038991875741631,2593,3,0.4167657247278839,0.5038991875741631,,,1,,i7054,,,,,,5096487
1747554802,1747554991,189,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 462 n_reference_samples 1619 recent_samples_proportion 0.012101133862510324 threshold 0.7960927155595273,462,1619,0.0121011338625103,0.7960927155595273,0.72,176.0,0,,i7069,176.0,1463.10546875,1231.6109375,-1.0,0.2848541999129552,5096479
1747554862,1747555001,139,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 2663 n_reference_samples 4378 recent_samples_proportion 0.9737108155339956 threshold 0.3763287841733545,2663,4378,0.9737108155339956,0.3763287841733545,0.69,120.0,0,,i7179,120.0,1254.71875,1126.7372395833331,-1.0,0.6024970121517343,5096490
1747554822,1747555004,182,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 1554 n_reference_samples 4619 recent_samples_proportion 0.6366537875737995 threshold 0.021399366416037083,1554,4619,0.6366537875737995,0.021399366416037,0.69,169.0,0,,i7048,169.0,1480.6328125,1227.7364309210527,-1.0,0.3328013927172494,5096483
1747554727,1747555011,284,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 2363 n_reference_samples 863 recent_samples_proportion 0.9497467593010515 threshold 0.20202968801371754,2363,863,0.9497467593010516,0.2020296880137175,0.74,264.0,0,,i7111,264.0,1624.88671875,1323.1511314655172,-1.0,0.999694306853744,5096439
1747554934,1747555055,121,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 534 n_reference_samples 3494 recent_samples_proportion 0.5701349271088838 threshold 0.16749481429345905,534,3494,0.5701349271088838,0.167494814293459,0.68,103.0,0,,i7160,103.0,1270.0546875,1133.9501201923076,-1.0,0.1521730119583013,5096546
1747554788,1747555070,282,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 4309 n_reference_samples 3726 recent_samples_proportion 0.794140838554129 threshold 0.3120222446806729,4309,3726,0.794140838554129,0.3120222446806729,0.7,265.0,0,,i7104,265.0,1724.30859375,1373.465921336207,-1.0,0.9922764985872486,5096447
1747554965,1747555091,126,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 4072 n_reference_samples 1851 recent_samples_proportion 0.3453735794462264 threshold 0.6815036040395498,4072,1851,0.3453735794462264,0.6815036040395498,0.59,106.0,0,,i7043,106.0,1154.6796875,1092.7857572115386,-1.0,0.1457759079259152,5096559
1747554544,1747555105,561,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 1724 n_reference_samples 2065 recent_samples_proportion 0.4570392987579107 threshold 0.37282867509126666,1724,2065,0.4570392987579107,0.3728286750912666,0.73,523.0,0,,i7072,523.0,2186.50390625,1587.9128551136364,-1.0,0.8307185343308947,5096387
1747554755,1747555157,402,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 4608 n_reference_samples 2479 recent_samples_proportion 0.6057971381302923 threshold 0.47421136745251713,4608,2479,0.6057971381302923,0.4742113674525171,0.72,384.0,0,,i7113,384.0,2136.30078125,1551.1879763719512,-1.0,0.996285051087024,5096442
1747555087,1747555170,83,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 2268 n_reference_samples 3988 recent_samples_proportion 0.3770889606364071 threshold 0.8229582473356277,2268,3988,0.3770889606364071,0.8229582473356277,0.6,62.0,0,,i7085,62.0,1051.390625,1047.7230902777778,-1.0,0.0548382416944726,5096603
1747555066,1747555285,219,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 865 n_reference_samples 2237 recent_samples_proportion 0.7560411077141762 threshold 0.1106398833207786,865,2237,0.7560411077141762,0.1106398833207786,0.72,203.0,0,,i7160,203.0,1576.12890625,1291.2167119565215,-1.0,0.3839385021381249,5096569
1747555025,1747555346,321,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 4513 n_reference_samples 3104 recent_samples_proportion 0.03227906109765172 threshold 0.5941162285413593,4513,3104,0.0322790610976517,0.5941162285413593,0.71,307.0,0,,i7048,307.0,1901.53125,1440.6077178030305,-1.0,0.9976131755473115,5096565
1747555183,1747555429,246,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 3299 n_reference_samples 3235 recent_samples_proportion 0.4927529349382967 threshold 0.05057169318944216,3299,3235,0.4927529349382967,0.0505716931894421,0.71,228.0,0,,i7111,228.0,1580.72265625,1291.77390625,-1.0,0.9949206579483671,5096645
