start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747255778,1747256315,537,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3045 n_reference_samples 1844 recent_samples_proportion 0.055704644015058875 threshold 0.19720548239909114,3045,1844,0.0557046440150588,0.1972054823990911,0.21,513.0,0,,i7185,5037755,513.0,824.1171875,606.6100983796297,-1.0,0.9999950401365676
1747255900,1747256432,532,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 372 n_reference_samples 2575 recent_samples_proportion 0.6808655093498528 threshold 0.8704447845425457,372,2575,0.6808655093498528,0.8704447845425457,0.08,522.0,0,,i7176,5037774,522.0,635.65234375,552.2488636363636,-1.0,0.1388833904544271
1747255320,1747256516,1196,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 4686 n_reference_samples 599 recent_samples_proportion 0.3940448118560016 threshold 0.48203360090777275,4686,599,0.3940448118560016,0.4820336009077727,0.39,1173.0,0,,i7178,5037677,1173.0,865.61328125,761.8080078125,-1.0,0.9995874295417582
1747256134,1747256637,503,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 4640 n_reference_samples 4464 recent_samples_proportion 0.7858323516305536 threshold 0.7059366880599409,4640,4464,0.7858323516305536,0.7059366880599409,0.15,485.0,0,,i7182,5037810,485.0,968.15234375,729.4673713235294,-1.0,0.9658477330944182
1747256035,1747256685,650,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 1982 n_reference_samples 1119 recent_samples_proportion 0.41127075669541957 threshold 0.34992571819759904,1982,1119,0.4112707566954195,0.349925718197599,0.31,631.0,0,,i7181,5037794,631.0,864.359375,758.0291466346154,-1.0,0.9995225004204612
1747256524,1747256816,292,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 1151 n_reference_samples 2255 recent_samples_proportion 0.9264665885306895 threshold 0.9965805200692266,1151,2255,0.9264665885306896,0.9965805200692266,0.12,271.0,0,,i7178,5037872,271.0,571.25390625,515.962109375,-1.0,0.0954927015609592
1747256416,1747256859,443,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 1495 n_reference_samples 3936 recent_samples_proportion 0.16567062928155066 threshold 0.47621369182504714,1495,3936,0.1656706292815506,0.4762136918250471,0.14,418.0,0,,i7181,5037852,418.0,782.9140625,614.3914240056819,-1.0,0.3788388779346046
1747256631,1747257081,450,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3478 n_reference_samples 3415 recent_samples_proportion 0.30130667496286334 threshold 0.07195298661850393,3478,3415,0.3013066749628633,0.0719529866185039,0.16,436.0,0,,i7175,5037897,436.0,970.66015625,722.3100373641304,-1.0,0.998118408172412
1747256271,1747257497,1226,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3836 n_reference_samples 396 recent_samples_proportion 0.5402293689157813 threshold 0.5807146934363991,3836,396,0.5402293689157813,0.5807146934363991,0.34,1213.0,0,,i7180,5037834,1213.0,848.0703125,744.7409904233871,-1.0,0.8881271240051528
1747262195,1747262694,499,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 815 n_reference_samples 4871 recent_samples_proportion 0.3685499109532684 threshold 0.558038054458797,815,4871,0.3685499109532684,0.558038054458797,0.09,483.0,0,,i7169,5039007,483.0,654.640625,558.8861825980392,-1.0,0.1657338365941429
1747262166,1747262798,632,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3151 n_reference_samples 721 recent_samples_proportion 0.991762747246772 threshold 0.3896465424075723,3151,721,0.991762747246772,0.3896465424075723,0.34,618.0,0,,i7168,5038999,618.0,888.03125,770.0133666992188,-1.0,0.9997506541383522
1747262309,1747262805,496,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 4204 n_reference_samples 3087 recent_samples_proportion 0.2251168564297259 threshold 0.8945718475989998,4204,3087,0.2251168564297259,0.8945718475989998,0.18,477.0,0,,i7185,5039025,477.0,886.34765625,680.479765625,-1.0,0.9109366341374776
1747262249,1747262836,587,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 1873 n_reference_samples 1323 recent_samples_proportion 0.5977285187896341 threshold 0.03371311738714576,1873,1323,0.5977285187896341,0.0337131173871457,0.3,575.0,0,,i7180,5039016,575.0,956.27734375,778.7225911458333,-1.0,0.9996041127187582
