start_time,end_time,run_time,program_string,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747765673,1747765686,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1434 n_samples 444 k_neighbors 49 n_permutations 767 significance_level 0.7087612963374704,1434,444,49,767,0.7087612963374704,,,1,,i7171,5177311,,,,,
1747765734,1747765747,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4748 n_samples 3836 k_neighbors 100 n_permutations 237 significance_level 0.40116939175873995,4748,3836,100,237,0.4011693917587399,,,1,,i7164,5177331,,,,,
1747765854,1747765860,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2543 n_samples 1404 k_neighbors 3 n_permutations 621 significance_level 0.08002588054537774,2543,1404,3,621,0.0800258805453777,,,1,,i7143,5177348,,,,,
1747766124,1747766131,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1101 n_samples 2911 k_neighbors 52 n_permutations 400 significance_level 0.7784894954990595,1101,2911,52,400,0.7784894954990595,,,1,,i7135,5177365,,,,,
1747766245,1747766251,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1240 n_samples 598 k_neighbors 93 n_permutations 20 significance_level 0.4700192670878023,1240,598,93,20,0.4700192670878023,,,1,,i7104,5177382,,,,,
1747766366,1747766379,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2601 n_samples 3990 k_neighbors 44 n_permutations 991 significance_level 0.6691858694031835,2601,3990,44,991,0.6691858694031835,,,1,,i7101,5177402,,,,,
1747766606,1747766619,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4769 n_samples 1563 k_neighbors 59 n_permutations 375 significance_level 0.8490106717646122,4769,1563,59,375,0.8490106717646122,,,1,,i7079,5177427,,,,,
1747767510,1747767516,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1529 n_samples 3070 k_neighbors 9 n_permutations 654 significance_level 0.042609062952920794,1529,3070,9,654,0.0426090629529207,,,1,,i7136,5177459,,,,,
1747770250,1747770257,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2028 n_samples 2258 k_neighbors 35 n_permutations 534 significance_level 0.23799570509605109,2028,2258,35,534,0.237995705096051,,,1,,i7170,5177545,,,,,
1747772357,1747772370,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4330 n_samples 3150 k_neighbors 84 n_permutations 442 significance_level 0.9361397549957037,4330,3150,84,442,0.9361397549957036,,,1,,i7175,5177572,,,,,
1747774706,1747774713,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3372 n_samples 684 k_neighbors 18 n_permutations 823 significance_level 0.6131046143695712,3372,684,18,823,0.6131046143695712,,,1,,i7178,5177625,,,,,
1747775639,1747775664,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 449 n_samples 4691 k_neighbors 69 n_permutations 165 significance_level 0.3057104338016361,449,4691,69,165,0.3057104338016361,,,1,,i7103,5177647,,,,,
