start_time,end_time,run_time,program_string,recent_samples_size,feature_id,threshold,window_size,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747240004,1747240948,944,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 1547 feature_id 72 threshold 0.2864681288152933 window_size 2054,1547,72,0.2864681288152933,2054,0.27,929.0,0,,i7182,929.0,790.609375,790.2858552631579,-1.0,0.3744752308984047,5034499
1747241039,1747241070,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 2747 feature_id 11 threshold 0.6081215361692012 window_size 1659,2747,11,0.6081215361692012,1659,0.26,14.0,0,,i7183,14.0,790.0546875,790.0166015625,-1.0,0.0,5034710
1747241096,1747241128,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 4906 feature_id 87 threshold 0.48822724489867686 window_size 3694,4906,87,0.4882272448986768,3694,0.17,16.0,0,,i7183,16.0,790.44921875,790.4267578125,-1.0,0.0,5034719
1747241168,1747241193,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 766 feature_id 40 threshold 0.9824301302526146 window_size 944,766,40,0.9824301302526146,944,0.17,13.0,0,,i7180,13.0,791.05859375,791.0224609375,-1.0,0.0,5034733
1747241348,1747241373,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 3454 feature_id 100 threshold 0.8261760283168406 window_size 2000,3454,100,0.8261760283168406,2000,0.17,13.0,0,,i7176,13.0,788.6796875,788.6416015625,-1.0,0.0,5034766
1747241434,1747241460,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 2125 feature_id 27 threshold 0.33209408800676465 window_size 4595,2125,27,0.3320940880067646,4595,0.17,14.0,0,,i7176,14.0,790.48828125,790.4658203125,-1.0,0.0,5034780
1747241497,1747241523,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 2462 feature_id 93 threshold 0.7546895716655999 window_size 2930,2462,93,0.7546895716655999,2930,0.17,14.0,0,,i7176,14.0,790.6875,790.6494140625,-1.0,0.0,5034794
1747241657,1747241688,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 4173 feature_id 126 threshold 0.6299753214828671 window_size 4740,4173,126,0.6299753214828671,4740,0.17,15.0,0,,i7183,15.0,767.42578125,767.3544921875,-1.0,0.0,5034817
1747240426,1747241735,1309,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 2255 feature_id 39 threshold 0.005614150458946824 window_size 1790,2255,39,0.0056141504589468,1790,0.21,1281.0,0,,i7179,1281.0,790.61328125,787.0475360576924,-1.0,1.0,5034598
1747239918,1747241797,1879,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 2852 feature_id 92 threshold 0.250558612672612 window_size 1727,2852,92,0.250558612672612,1727,0.28,1863.0,0,,i7176,1863.0,798.67578125,794.6736317791006,-1.0,0.7309823677581864,5034483
