start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744560297,1744562622,2325,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2124 n_reference_samples 106 n_recent_samples 885 threshold 0.6852857627093453 stability_offset 0.9,2124,106,885,0.6852857627093453,0.9,0.55,2301,0,,i7057,2301,640.3671875,639.5426993534483,-1,1.0,4329512
1744560316,1744562670,2354,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3877 n_reference_samples 1 n_recent_samples 1643 threshold 0.6356632364578957 stability_offset 0.9,3877,1,1643,0.6356632364578957,0.9,0.55,2339,0,,i7120,2339,641.6875,568.7158865201271,-1,1.0,4329521
1744560335,1744562725,2390,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 13 n_reference_samples 224 n_recent_samples 882 threshold 0.6746843770758774 stability_offset 0.9,13,224,882,0.6746843770758774,0.9,0.55,2371,0,,i7055,2371,641.375,509.95506995292885,-1,0.4535,4329532
1744571668,1744571681,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 5000 n_reference_samples 595 n_recent_samples 1818 threshold 0.999 stability_offset 1e-12,5000,595,1818,0.999,1e-12,0.55,0,0,,i7184,0,634.51953125,634.46875,-1,0.0,4332672
1744571668,1744571681,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 5000 n_reference_samples 582 n_recent_samples 1848 threshold 0.999 stability_offset 0.01,5000,582,1848,0.999,0.01,0.55,0,0,,i7070,0,632.66796875,632.6171875,-1,0.0,4332673
1744571688,1744571700,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 5000 n_reference_samples 1400 n_recent_samples 889 threshold 0.999 stability_offset 0.9,5000,1400,889,0.999,0.9,0.55,0,0,,i7056,0,634.05859375,633.9908854166666,-1,0.0,4332681
1744571688,1744571701,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1 n_reference_samples 1638 n_recent_samples 1906 threshold 0.001 stability_offset 1e-12,1,1638,1906,0.001,1e-12,0.55,0,0,,i7052,0,634.140625,634.1106770833334,-1,0.0,4332682
1744571688,1744571701,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 5000 n_reference_samples 5000 n_recent_samples 2424 threshold 0.001 stability_offset 0.9,5000,5000,2424,0.001,0.9,0.55,0,0,,i7184,0,633.60546875,633.5559895833334,-1,0.0,4332675
1744571688,1744571701,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 5000 n_reference_samples 797 n_recent_samples 3450 threshold 0.999 stability_offset 1e-12,5000,797,3450,0.999,1e-12,0.55,0,0,,i7051,0,632.6875,632.6575520833334,-1,0.0,4332684
1744571688,1744571701,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 5000 n_reference_samples 3742 n_recent_samples 2895 threshold 0.999 stability_offset 1e-12,5000,3742,2895,0.999,1e-12,0.55,0,0,,i7051,0,632.6171875,632.5677083333334,-1,0.0,4332683
1744571688,1744571701,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 5000 n_reference_samples 557 n_recent_samples 1876 threshold 0.001 stability_offset 0.9,5000,557,1876,0.001,0.9,0.55,0,0,,i7167,0,633.03515625,633.0052083333334,-1,0.0,4332677
1744571688,1744571701,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1 n_reference_samples 3073 n_recent_samples 1606 threshold 0.001 stability_offset 0.9,1,3073,1606,0.001,0.9,0.55,0,0,,i7070,0,633.33203125,633.28125,-1,0.0,4332680
