start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747597046,1747608691,11645,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4602 n_samples 4775 n_permutations 248 update_interval 62 n_consecutive_deviations 3,4602,4775,248,62,3,0.82,11623.0,0,,i7095,5115034,11623.0,1303.015625,1203.535381094287,-1.0,0.9992469931538552
1747606930,1747609068,2138,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1026 n_samples 2708 n_permutations 782 update_interval 246 n_consecutive_deviations 2,1026,2708,782,246,2,0.78,2118.0,0,,i7058,5121711,2118.0,2250.89453125,1658.9145553446265,-1.0,0.9502790961154518
1747606606,1747609843,3237,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4611 n_samples 99 n_permutations 408 update_interval 121 n_consecutive_deviations 7,4611,99,408,121,7,0.81,3204.0,0,,i7051,5121538,3204.0,1343.046875,1322.197005611455,-1.0,0.9970639641320042
1747604984,1747610059,5075,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3853 n_samples 3151 n_permutations 22 update_interval 78 n_consecutive_deviations 7,3853,3151,22,78,7,0.82,5059.0,0,,i7086,5120646,5059.0,1340.43359375,1275.3025575172244,-1.0,0.9999274626432612
1747606303,1747610118,3815,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3715 n_samples 4875 n_permutations 551 update_interval 149 n_consecutive_deviations 8,3715,4875,551,149,8,0.8,3803.0,0,,i7058,5121398,3803.0,1394.984375,1301.5222717604713,-1.0,0.997093324490684
1747607563,1747610862,3299,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4531 n_samples 2577 n_permutations 642 update_interval 178 n_consecutive_deviations 5,4531,2577,642,178,5,0.79,3285.0,0,,i7168,5122020,3285.0,1395.96484375,1372.7106188632931,-1.0,0.9997789337699392
1747607245,1747611444,4199,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1240 n_samples 245 n_permutations 48 update_interval 54 n_consecutive_deviations 10,1240,245,48,54,10,0.84,4179.0,0,,i7059,5121896,4179.0,1286.0625,1204.17578125,-1.0,0.9947185895974522
1747603988,1747611449,7461,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4305 n_samples 2118 n_permutations 750 update_interval 58 n_consecutive_deviations 3,4305,2118,750,58,3,0.82,7440.0,0,,i7066,5120077,7440.0,1180.9296875,1169.534370810992,-1.0,0.999960277161786
1747598693,1747611461,12768,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3806 n_samples 1566 n_permutations 322 update_interval 13 n_consecutive_deviations 5,3806,1566,322,13,5,0.84,12747.0,0,,i7083,5116436,12747.0,1302.49609375,1211.5408105162617,-1.0,0.9999171001637271
1747605643,1747618306,12663,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1561 n_samples 4107 n_permutations 306 update_interval 35 n_consecutive_deviations 5,1561,4107,306,35,5,0.83,12635.0,0,,i7070,5121028,12635.0,1299.93359375,1165.106231472332,-1.0,0.994855028911318
