start_time,end_time,run_time,program_string,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744358832,1744362410,3578,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4527 n_samples 54 k_neighbors 1 n_permutations 1000 significance_level 0.35043085718420613,4527,54,1,1000,0.3504308571842061,0.74,3566.0,0,,i7136,3566.0,565.859375,519.929981284819,-1.0,0.999722940524566,4219632
1744385355,1744385368,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1 n_samples 1 k_neighbors 61 n_permutations 1 significance_level 0.4579772243476279,1,1,61,1,0.4579772243476279,,,1,,i7086,,,,,,4236917
1744385356,1744385369,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1 n_samples 1 k_neighbors 94 n_permutations 442 significance_level 0.0704195286849813,1,1,94,442,0.0704195286849813,,,1,,i7009,,,,,,4236920
1744385357,1744385369,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2678 n_samples 1 k_neighbors 81 n_permutations 1 significance_level 0.28540693378105925,2678,1,81,1,0.2854069337810592,,,1,,i7056,,,,,,4236918
1744385385,1744385398,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 5000 n_samples 1 k_neighbors 40 n_permutations 109 significance_level 0.09739777997300302,5000,1,40,109,0.097397779973003,,,1,,i7168,,,,,,4236924
1744385416,1744385428,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 341 n_samples 1 k_neighbors 47 n_permutations 1 significance_level 0.001,341,1,47,1,0.001,,,1,,i7180,,,,,,4236931
1744385416,1744385428,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4278 n_samples 1 k_neighbors 100 n_permutations 322 significance_level 0.9805007278179899,4278,1,100,322,0.98050072781799,,,1,,i7061,,,,,,4236937
1744385416,1744385429,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 917 n_samples 1 k_neighbors 66 n_permutations 283 significance_level 0.36162222411368955,917,1,66,283,0.3616222241136895,,,1,,i7011,,,,,,4236940
1744385417,1744385430,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1 n_samples 1 k_neighbors 100 n_permutations 219 significance_level 0.5394510932515287,1,1,100,219,0.5394510932515287,,,1,,i7152,,,,,,4236935
1744385476,1744385489,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1 n_samples 1 k_neighbors 24 n_permutations 1 significance_level 0.999,1,1,24,1,0.999,,,1,,i7006,,,,,,4236954
1744385476,1744385489,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2032 n_samples 1 k_neighbors 49 n_permutations 202 significance_level 0.001,2032,1,49,202,0.001,,,1,,i7009,,,,,,4236952
1744385446,1744385503,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1 n_samples 1 k_neighbors 1 n_permutations 1 significance_level 0.123528482453539,1,1,1,1,0.123528482453539,0.71,47.0,0,,i7167,47.0,482.81640625,482.6941964285714,-1.0,0.0,4236944
1744385446,1744386364,918,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1 n_samples 1 k_neighbors 1 n_permutations 538 significance_level 0.999,1,1,1,538,0.999,0.71,906.0,0,,i7061,906.0,483.51953125,483.5093665994624,-1.0,0.0,4236947
