trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
118,118_0,FAILED,SOBOL,,,,4010,0.221465752864256515408669656608,0.415783527242019779190940198532,1324,2323,1885
119,119_0,FAILED,SOBOL,,,,1362,0.720645529003813845037029750529,0.640423862010240596553956038406,4204,3395,2963
120,120_0,FAILED,SOBOL,,,,1680,0.458489615019410823304468749484,0.443517381861805892739880619047,3613,1448,3687
121,121_0,FAILED,SOBOL,,,,4318,0.957309660423547037488845035114,0.749044559987261937550329093938,861,2836,1467
122,122_0,FAILED,SOBOL,,,,2646,0.067289478119462731164901470038,0.069998915158212188236674933250,3899,3941,378
123,123_0,FAILED,SOBOL,,,,304,0.566598731745034500661972742819,0.873549610117450359147994731757,1629,363,4464
124,124_0,FAILED,SOBOL,,,,756,0.129603486029431225201591360019,0.551974955903366204523763371981,2021,1083,2517
125,125_0,FAILED,SOBOL,,,,3406,0.628303750073537226050746085093,0.263017088919878017083675558752,4757,4615,2326
126,126_0,FAILED,SOBOL,,,,4770,0.268623447148129357309187525971,0.926469229126349103076165647508,471,3531,923
127,127_0,FAILED,SOBOL,,,,2439,0.767809112345799849030925088300,0.137534819491207604968963096326,2752,2186,4230
128,128_0,FAILED,SOBOL,,,,2451,0.005560715807601809140825466216,0.539343746963888426293465272465,204,3157,1705
129,129_0,FAILED,SOBOL,,,,4796,0.504860474070534137602805913048,0.267911689041182399240170752819,3098,2397,3137
130,130_0,FAILED,SOBOL,,,,3437,0.396454383743926885852459918169,0.913836793299764416076413908741,2286,669,4861
131,131_0,FAILED,SOBOL,,,,762,0.895268740853294775483561807050,0.142432059278711664607186548892,4414,4865,295
132,132_0,FAILED,SOBOL,,,,277,0.330607283007353536241623714886,0.463946603460237361193918559366,4179,4315,2098
133,133_0,FAILED,SOBOL,,,,2634,0.829787215296179048173996761761,0.720756665457040091027351991215,1271,153,3058
134,134_0,FAILED,SOBOL,,,,4310,0.191406486164778483205495263064,0.090426969354972241976753366544,3331,1861,3844
135,135_0,FAILED,SOBOL,,,,1648,0.690097210232168412069597707159,0.845264295767992779317978602194,1221,2587,998
136,136_0,FAILED,SOBOL,,,,1331,0.488305095532909017030931408954,0.052033456679433584546323743325,1597,1948,478
