trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
54,54_0,COMPLETED,SOBOL,0.239999999999999991118215802999,1588.000000000000000000000000000000,0.119999999999999995559107901499,2059,24,3781,str\(\'H\'\),str\(\'tstat\'\),0.316248634681105589283589551997,14,2
55,55_0,COMPLETED,SOBOL,0.260000000000000008881784197001,2203.000000000000000000000000000000,0.179999999999999993338661852249,3557,46,1096,str\(\'KL\'\),str\(\'stdev\'\),0.562054868904873772272878795775,96,1
56,56_0,COMPLETED,SOBOL,0.380000000000000004440892098501,1709.000000000000000000000000000000,0.140000000000000013322676295502,3143,9,4314,str\(\'KL\'\),str\(\'stdev\'\),0.912439775058999646972779373755,11,2
57,57_0,COMPLETED,SOBOL,0.209999999999999992228438827624,1464.000000000000000000000000000000,0.040000000000000000832667268469,2494,27,728,str\(\'H\'\),str\(\'tstat\'\),0.215362780477851623039953210537,80,3
58,58_0,COMPLETED,SOBOL,0.239999999999999991118215802999,1607.000000000000000000000000000000,0.070000000000000006661338147751,1219,14,3582,str\(\'KL\'\),str\(\'tstat\'\),0.294809300197288404188356025770,72,1
59,59_0,COMPLETED,SOBOL,0.020000000000000000416333634234,1454.000000000000000000000000000000,0.020000000000000000416333634234,4398,49,1543,str\(\'H\'\),str\(\'stdev\'\),0.579596241772174836093256544700,42,2
60,60_0,COMPLETED,SOBOL,0.390000000000000013322676295502,1596.000000000000000000000000000000,0.010000000000000000208166817117,4035,21,177,str\(\'H\'\),str\(\'tstat\'\),0.481992983508855110663660070713,90,2
61,61_0,COMPLETED,SOBOL,0.460000000000000019984014443253,1700.000000000000000000000000000000,0.190000000000000002220446049250,348,42,4699,str\(\'KL\'\),str\(\'stdev\'\),0.641667958067730026527897280175,21,3
62,62_0,COMPLETED,SOBOL,0.600000000000000088817841970013,1035.000000000000000000000000000000,0.140000000000000013322676295502,1564,0,1928,str\(\'H\'\),str\(\'stdev\'\),0.850737106405198617586904674681,28,1
63,63_0,COMPLETED,SOBOL,0.460000000000000019984014443253,1719.000000000000000000000000000000,0.170000000000000012212453270877,2800,37,3031,str\(\'KL\'\),str\(\'tstat\'\),0.027322744837030770587160688478,59,3
