trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
342,342_0,FAILED,SOBOL,,,,2143,1728,7.588092519430444049532979988726,0.046519034747965634646327259816,True,False
343,343_0,FAILED,SOBOL,,,,2909,4661,0.535991854747757345833747422148,0.003282731398474425434791390543,False,True
344,344_0,FAILED,SOBOL,,,,2801,875,8.393769734455272413242710172199,0.023292955541517588319289089327,True,True
345,345_0,FAILED,SOBOL,,,,2307,3017,0.994188476687297262301967748499,0.029597273065708577799437506428,False,False
346,346_0,FAILED,SOBOL,,,,933,2498,5.158461908050813171655590849696,0.006545086528174579032501867459,False,False
347,347_0,FAILED,SOBOL,,,,4199,3928,2.950928503633476918111000486533,0.049389796925242993030913396524,True,True
348,348_0,FAILED,SOBOL,,,,4958,1336,1.432743150926194974914551494294,0.039644338867627089417755570366,True,True
349,349_0,FAILED,SOBOL,,,,90,4738,9.185532435341738022316349088214,0.008605170325841755146756284489,False,False
350,350_0,RUNNING,SOBOL,,,,1398,2201,7.772837694406510067324234114494,0.046392739474773410368602100107,False,True
351,351_0,COMPLETED,SOBOL,0.670000000000000039968028886506,502.000000000000000000000000000000,0.440000000000000002220446049250,4333,3078,0.924065102404914795464208054909,0.018820847388822586898626809671,True,False
352,352_0,RUNNING,SOBOL,,,,3676,997,7.401388438136317304838485142682,0.029758914858102801515027380219,True,False
353,353_0,FAILED,SOBOL,,,,752,4373,4.224298450401053450775634701131,0.007613278430886567110791318669,False,True
354,354_0,FAILED,SOBOL,,,,495,502,1.715759013372473384961836018192,0.002961922993883490777544675865,False,True
355,355_0,FAILED,SOBOL,,,,2560,4780,9.794702423609793484615693159867,0.037458321086131035615451878584,True,False
356,356_0,FAILED,SOBOL,,,,4434,1794,3.141005237223580603966865965049,0.023451424238737673955146334492,True,False
357,357_0,FAILED,SOBOL,,,,2358,3573,5.048865477730521078569836390670,0.038624217259231957699583404064,False,True
358,358_0,FAILED,SOBOL,,,,2067,802,2.943696305727586004508111727773,0.031661676431074738113924382787,True,True
359,359_0,COMPLETED,SOBOL,0.579999999999999960031971113494,37.000000000000000000000000000000,0.000000000000000000000000000000,4758,3864,6.018419593290426305998153111432,0.004114071684889495338077747277,False,False
360,360_0,COMPLETED,SOBOL,0.600000000000000088817841970013,45.000000000000000000000000000000,0.040000000000000000832667268469,2860,2085,1.908422748914919697682535115746,0.042870965489652010371735002536,False,False
361,361_0,RUNNING,SOBOL,,,,160,2648,8.810719541076570848758819920477,0.020749379491899165584012365571,True,True
362,362_0,FAILED,SOBOL,,,,1077,1286,6.496209245448001823319827963132,0.013028758197557182077486181981,True,True
363,363_0,COMPLETED,SOBOL,0.579999999999999960031971113494,34.000000000000000000000000000000,0.000000000000000000000000000000,3385,3378,4.652000399785117146223001327598,0.047549584374297411415444258864,False,False
364,364_0,COMPLETED,SOBOL,0.579999999999999960031971113494,351.000000000000000000000000000000,0.000000000000000000000000000000,3998,71,8.663740357510745226932158402633,0.011861513677984476464177809873,False,False
365,365_0,FAILED,SOBOL,,,,1697,4663,0.491870678695850105377473937551,0.027058215507306158931211115259,True,True
366,366_0,COMPLETED,SOBOL,0.579999999999999960031971113494,234.000000000000000000000000000000,0.000000000000000000000000000000,1792,159,5.693391547359526683180774853099,0.024019035921432081021054116832,False,False
367,367_0,FAILED,SOBOL,,,,3788,4476,2.535838101464323646183629534789,0.039602728124707942125581894288,True,True
368,368_0,RUNNING,SOBOL,,,,3127,1453,9.150467195560224809014471247792,0.001209986798930913313998569691,True,True
369,369_0,COMPLETED,SOBOL,0.579999999999999960031971113494,38.000000000000000000000000000000,0.000000000000000000000000000000,1139,3271,2.321236062290147117437300039455,0.034570384732913225778183630155,False,False
370,370_0,COMPLETED,SOBOL,0.579999999999999960031971113494,41.000000000000000000000000000000,0.000000000000000000000000000000,107,1900,4.868838842338883310389974212740,0.029939808620605620759214104964,False,False
371,371_0,RUNNING,SOBOL,,,,3111,2737,6.796216515857727458183035196271,0.008978507400956006398451414441,True,True
