trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
294,294_0,FAILED,SOBOL,4328,300,4523,0.367945727609097938959337170672,0.677417700048536075563276881439,1.836422183698043220090312388493,str\(\'ks-test\'\),str\(\'full\'\),741
295,295_0,FAILED,SOBOL,159,2883,2293,0.583652897518128210840870906395,0.247487792318686838921593107443,5.522186737156474123366933781654,str\(\'t-test\'\),str\(\'bounded\'\),4086
296,296_0,FAILED,SOBOL,386,1916,4865,0.800984428778290791228755551856,0.576395427152514461255350397551,6.763674768180587548727089597378,str\(\'ks-test\'\),str\(\'bounded\'\),3224
297,297_0,FAILED,SOBOL,3875,4978,2107,0.025879320520907640734709076469,0.005386771099641919115230681570,0.567785834494978214337379540666,str\(\'t-test\'\),str\(\'full\'\),1598
298,298_0,FAILED,SOBOL,3140,944,3223,0.538044052472338107939719975548,0.343546860726550218334551800581,3.548809681611135857792760361917,str\(\'ks-test\'\),str\(\'full\'\),1113
299,299_0,FAILED,SOBOL,2288,3370,1059,0.260601711625233267710655127303,0.770554855018854123471783168497,9.744264401632360517169217928313,str\(\'t-test\'\),str\(\'bounded\'\),3990
300,300_0,FAILED,SOBOL,1442,573,1705,0.468300840673968210570166093021,0.921114855850115432644997781608,5.704608978913165984181432577316,str\(\'ks-test\'\),str\(\'full\'\),78
301,301_0,FAILED,SOBOL,3054,2531,3860,0.736030403332784799452781498985,0.495092871688306346289465409427,1.939358516920357988766454582219,str\(\'t-test\'\),str\(\'bounded\'\),4829
302,302_0,FAILED,SOBOL,4897,1545,209,0.200444586120545858998198696099,0.157972185947000992589650536502,3.983739871175959734728166949935,str\(\'ks-test\'\),str\(\'bounded\'\),3088
303,303_0,FAILED,SOBOL,922,4138,2977,0.969729643087834158876603396493,0.729936406740918752866775776056,7.747028605225496633579496119637,str\(\'t-test\'\),str\(\'full\'\),2086
304,304_0,FAILED,SOBOL,719,1398,1884,0.329137309597805127747705000729,0.302610064057633298961746959321,2.246765112983994061579551271279,str\(\'t-test\'\),str\(\'bounded\'\),1859
305,305_0,FAILED,SOBOL,4714,4284,4739,0.622785394040867634757319137861,0.873843816716223908969141120906,6.049250132368878318800398119492,str\(\'ks-test\'\),str\(\'full\'\),3358
306,306_0,FAILED,SOBOL,2963,427,1202,0.066748004507273431262781571149,0.535502891365438715709501593665,8.068791313741355608613048389088,str\(\'t-test\'\),str\(\'full\'\),3806
307,307_0,FAILED,SOBOL,1293,2678,3425,0.856834884040057698229020388681,0.108753298087045549569218394481,4.264610451043584049557466642000,str\(\'ks-test\'\),str\(\'bounded\'\),1057
308,308_0,FAILED,SOBOL,2476,1110,4028,0.931772533226758237212550284312,0.198849482309073205543725748612,0.249687253090553007428553655700,str\(\'t-test\'\),str\(\'full\'\),4880
309,309_0,FAILED,SOBOL,3347,3205,1815,0.147499994382262217262891113023,0.626585119178518668014987724746,6.484022385420278311585207120515,str\(\'ks-test\'\),str\(\'bounded\'\),256
310,310_0,FAILED,SOBOL,4019,2081,2887,0.664583469176664998201431444613,0.962066862201318095948465725087,9.440512396890669677418372884858,str\(\'t-test\'\),str\(\'bounded\'\),1956
311,311_0,FAILED,SOBOL,472,4811,22,0.380653873523697283687283743348,0.391788700308650705839141892284,3.205396261052228634724770017783,str\(\'ks-test\'\),str\(\'full\'\),2831
312,312_0,FAILED,SOBOL,78,153,2760,0.223747766600921743629371007955,0.783071679042652291080628401687,4.471592006883584602405790064950,str\(\'t-test\'\),str\(\'full\'\),4469
313,313_0,FAILED,SOBOL,4189,3029,618,0.946224213985726203546278156864,0.352410351410508138059185512247,8.196582645019516277784532576334,str\(\'ks-test\'\),str\(\'bounded\'\),314
314,314_0,FAILED,SOBOL,3449,1672,4077,0.491561189781874408044615165636,0.051102708518505096657591479925,5.215996252246201336788544722367,str\(\'t-test\'\),str\(\'bounded\'\),2368
315,315_0,FAILED,SOBOL,1975,3933,1298,0.712476432256400560305564795271,0.618455187084153257259799829626,1.490564919088967155147429366480,str\(\'ks-test\'\),str\(\'full\'\),2773
316,316_0,FAILED,SOBOL,1758,2355,684,0.514771332252770608128855656105,0.714433235399425048406385485578,3.021901242977939716638502432033,str\(\'t-test\'\),str\(\'bounded\'\),1294
317,317_0,FAILED,SOBOL,2743,4460,3474,0.284076680466532727198369912003,0.148074421996250760180657835008,9.333766515767202065489982487634,str\(\'ks-test\'\),str\(\'full\'\),3573
318,318_0,FAILED,SOBOL,4581,837,2480,0.777754539931193034085765702912,0.450413824895396830427785062057,7.291348342172802254879115935182,str\(\'t-test\'\),str\(\'full\'\),4371
319,319_0,FAILED,SOBOL,1233,3556,4613,0.049402831336483363222633613532,0.882038349993526926695608381124,0.977518436004407798023407849541,str\(\'ks-test\'\),str\(\'bounded\'\),841
320,320_0,FAILED,SOBOL,1181,270,2234,0.942743538981303585977400416596,0.523835112256929247287473572214,3.316560844504274463417914375896,str\(\'ks-test\'\),str\(\'bounded\'\),2288
321,321_0,FAILED,SOBOL,4570,2834,4389,0.230106703886762270494514837083,0.081489882174879318954552331888,9.659095264997333174505911301821,str\(\'t-test\'\),str\(\'full\'\),2538
322,322_0,FAILED,SOBOL,2795,1867,930,0.708190562397241540892878219893,0.259693873722106227663886102164,6.370299677440897312408196739852,str\(\'ks-test\'\),str\(\'full\'\),4548
323,323_0,FAILED,SOBOL,1769,3815,3697,0.492969035301357494383012181061,0.815331985859200303323746084061,0.028551028351299467811230670122,str\(\'t-test\'\),str\(\'bounded\'\),550
324,324_0,FAILED,SOBOL,2000,2238,4301,0.295262979812920101085893520576,0.973673624124377967703480862838,4.209818922110834193972550565377,str\(\'ks-test\'\),str\(\'full\'\),4138
325,325_0,FAILED,SOBOL,3516,4655,1543,0.500707008566707356678193718835,0.418991069292649620514623620693,7.828469080548734027047430572566,str\(\'t-test\'\),str\(\'bounded\'\),764
326,326_0,FAILED,SOBOL,4163,642,2537,0.061637977881357074172452570338,0.241826481631025685947733450121,6.101559823090211054363862785976,str\(\'ks-test\'\),str\(\'bounded\'\),1527
327,327_0,FAILED,SOBOL,11,3674,373,0.768397655667737100593228660728,0.685157729279249894105419116386,2.484610275859944650278521294240,str\(\'t-test\'\),str\(\'full\'\),3651
328,328_0,FAILED,SOBOL,534,1516,3113,0.611492734735831655612514623499,0.016050167443230747843507799644,1.247403851565904941978146780457,str\(\'ks-test\'\),str\(\'full\'\),4040
329,329_0,FAILED,SOBOL,4039,4089,265,0.343277536699548357912448182105,0.567810749351978283350206311297,7.356168988704681943602281535277,str\(\'t-test\'\),str\(\'bounded\'\),1133
330,330_0,FAILED,SOBOL,3285,621,3803,0.844767486423254054805909163406,0.779145719304680794969897306146,9.066286354107782941014193056617,str\(\'ks-test\'\),str\(\'bounded\'\),1626
331,331_0,FAILED,SOBOL,2455,2560,1572,0.075967596385627986221855678650,0.332892506169155222295330531779,2.959481082453392364328692565323,str\(\'t-test\'\),str\(\'full\'\),3281
332,332_0,FAILED,SOBOL,1277,993,959,0.150904290087521070207188245149,0.485405586726963544919044579729,1.281939650160260457667504851997,str\(\'ks-test\'\),str\(\'bounded\'\),2036
333,333_0,FAILED,SOBOL,2906,3400,3199,0.925520431783050323559791650041,0.932621978739276547010206286359,5.134313796952367781045722949784,str\(\'t-test\'\),str\(\'full\'\),3067
334,334_0,FAILED,SOBOL,4730,1887,2127,0.385076559884473701433904579972,0.718420242065563763311786260601,8.407536881534381834057967353147,str\(\'ks-test\'\),str\(\'full\'\),4801
335,335_0,FAILED,SOBOL,776,4929,4965,0.663008350612595664941295581229,0.167653284423053272611525699176,4.555598661868833332277972658630,str\(\'t-test\'\),str\(\'bounded\'\),21
336,336_0,FAILED,SOBOL,867,2033,120,0.022537603493779898716775633716,0.862936292145401240283320021263,5.457323030575179423351528384956,str\(\'t-test\'\),str\(\'full\'\),1033
337,337_0,FAILED,SOBOL,4878,4782,2910,0.807295777715742568503287657222,0.311438870085403329834861096970,1.566503243876621098706891643815,str\(\'ks-test\'\),str\(\'bounded\'\),3754
338,338_0,FAILED,SOBOL,3109,1140,1794,0.256115970702841866390997438430,0.099915450273081657384111053943,4.854515704721213076311414624797,str\(\'t-test\'\),str\(\'bounded\'\),3303
339,339_0,FAILED,SOBOL,1460,3254,3927,0.539560399426147307977430500614,0.546404229450970890802352641913,8.746115973439998469984857365489,str\(\'ks-test\'\),str\(\'full\'\),1834
340,340_0,FAILED,SOBOL,2311,456,3290,0.747260483959689691957350987650,0.634570168917998667090785147593,7.053597354530357854685007623630,str\(\'t-test\'\),str\(\'bounded\'\),2854
341,341_0,FAILED,SOBOL,3200,2727,1148,0.454101366078481061272498209291,0.189044594641774893473140650713,0.907597026763483971656398807681,str\(\'ks-test\'\),str\(\'full\'\),2009
342,342_0,FAILED,SOBOL,3851,1349,4798,0.981860095266252730361600242759,0.401599774461239567013848272836,2.632807721719145899186287351768,str\(\'t-test\'\),str\(\'full\'\),311
343,343_0,FAILED,SOBOL,327,4254,2018,0.191283765852451326239247464400,0.954090854248031972062449312943,8.780504563284106112064364424441,str\(\'ks-test\'\),str\(\'bounded\'\),4906
344,344_0,FAILED,SOBOL,223,788,4593,0.408614587005227791749462085136,0.347358632594347016553371076952,7.528335926542990996779280976625,str\(\'t-test\'\),str\(\'bounded\'\),2794
345,345_0,FAILED,SOBOL,4356,3527,2379,0.639794398285448595586899500631,0.789958464058116094363981574134,3.872455941358581288369578032871,str\(\'ks-test\'\),str\(\'full\'\),2418
346,346_0,FAILED,SOBOL,3597,2385,3573,0.174365225942805401881940952080,0.611577443854883329166227667884,2.160375395294278799696030546329,str\(\'t-test\'\),str\(\'full\'\),372
347,347_0,FAILED,SOBOL,2139,4509,708,0.902231291724368889006768768013,0.056160613819956781145315005688,5.818221876316704843645766231930,str\(\'ks-test\'\),str\(\'bounded\'\),4496
348,348_0,FAILED,SOBOL,1591,1701,1355,0.821199006477370874179655402259,0.154099367151036864553859118132,9.984543574775569751977855048608,str\(\'t-test\'\),str\(\'full\'\),820
349,349_0,FAILED,SOBOL,2598,3981,4210,0.099212001537904145886948015232,0.710471780516207185307564486720,3.603567686283961180038204474840,str\(\'ks-test\'\),str\(\'bounded\'\),4321
