trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
44,44_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.589999999999999968913755310496,1183,1212,0.349138559512794044437100637879,0.464948331687599414330236413662
45,45_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3561,3348,0.876734701063483945482346371136,0.555669474542140995332317743305
46,46_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.670000000000000039968028886506,4581,1259,0.063536274310201409920573212275,0.166481146223843107234685589901
47,47_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1881,4163,0.663321906708180919487460869277,0.824413468357175549527937619132
48,48_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2167,1470,0.489209208160638786555551860147,0.335186008030548709957230357759
49,49_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4458,4343,0.768338857103139205584341198119,0.675383059283718445442445954541
50,50_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.630000000000000004440892098501,3613,1041,0.205616943258792150839298074061,0.035262544749304652880184107744
51,51_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,981,3129,0.552916042447090139155818633299,0.942655665980651980007110068982
52,52_0,COMPLETED,SOBOL,0.560000000000000053290705182008,2.000000000000000000000000000000,0.979999999999999982236431605997,569,49,0.908127641450613753981713216490,0.811143051235005296817348607874
53,53_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2966,2951,0.318217903740704077808487681978,0.213617471294477584420334892457
