trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
2816,2816_0,ABANDONED,SOBOL,,,,3514,46,108,528,373
2817,2817_0,ABANDONED,SOBOL,,,,1238,87,259,1180,1672
2818,2818_0,ABANDONED,SOBOL,,,,1788,8,240,133,1086
2819,2819_0,ABANDONED,SOBOL,,,,4205,113,392,1543,896
2820,2820_0,ABANDONED,SOBOL,,,,4433,27,326,1925,687
2821,2821_0,ABANDONED,SOBOL,,,,2155,98,40,273,1361
2822,2822_0,ABANDONED,SOBOL,,,,207,61,458,1288,1901
2823,2823_0,FAILED,SOBOL,,,,2621,68,174,878,86
2824,2824_0,ABANDONED,SOBOL,,,,3022,2,474,424,1567
2825,2825_0,ABANDONED,SOBOL,,,,431,123,127,1771,383
2826,2826_0,ABANDONED,SOBOL,,,,2243,36,373,787,845
2827,2827_0,ABANDONED,SOBOL,,,,4969,93,24,1377,1170
2828,2828_0,ABANDONED,SOBOL,,,,3978,55,192,1030,1382
2829,2829_0,ABANDONED,SOBOL,,,,1390,78,408,683,573
2830,2830_0,ABANDONED,SOBOL,,,,699,17,91,1635,159
2831,2831_0,ABANDONED,SOBOL,,,,3428,104,306,46,1858
2832,2832_0,ABANDONED,SOBOL,,,,3193,20,154,1335,986
2833,2833_0,ABANDONED,SOBOL,,,,933,109,494,988,1062
2834,2834_0,ABANDONED,SOBOL,,,,1468,50,6,1940,1711
2835,2835_0,ABANDONED,SOBOL,,,,3900,75,345,351,277
2836,2836_0,COMPLETED,SOBOL,0.170000000000000012212453270877,141.000000000000000000000000000000,0.000000000000000000000000000000,4735,33,434,243,48
2837,2837_0,ABANDONED,SOBOL,,,,2478,88,213,1590,1998
2838,2838_0,ABANDONED,SOBOL,,,,509,7,287,606,1270
2839,2839_0,ABANDONED,SOBOL,,,,2944,126,64,1195,711
2840,2840_0,ABANDONED,SOBOL,,,,2699,56,272,1744,1198
2841,2841_0,ABANDONED,SOBOL,,,,129,65,110,93,758
2842,2842_0,ABANDONED,SOBOL,,,,1920,30,388,1108,484
2843,2843_0,ABANDONED,SOBOL,,,,4667,103,228,698,1533
2844,2844_0,ABANDONED,SOBOL,,,,4283,13,52,834,1758
2845,2845_0,COMPLETED,SOBOL,0.170000000000000012212453270877,235.000000000000000000000000000000,0.000000000000000000000000000000,1710,116,329,1486,193
2846,2846_0,ABANDONED,SOBOL,,,,1003,43,169,440,545
2847,2847_0,ABANDONED,SOBOL,,,,3748,82,447,1849,1469
2848,2848_0,COMPLETED,SOBOL,0.260000000000000008881784197001,419.000000000000000000000000000000,0.000000000000000000000000000000,3662,11,366,1247,100
2849,2849_0,ABANDONED,SOBOL,,,,1090,114,20,588,1917
2850,2850_0,ABANDONED,SOBOL,,,,1623,45,484,1602,1316
2851,2851_0,ABANDONED,SOBOL,,,,4369,84,136,201,640
2852,2852_0,ABANDONED,SOBOL,,,,4578,62,85,331,911
2853,2853_0,ABANDONED,SOBOL,,,,2010,71,301,1990,1103
2854,2854_0,ABANDONED,SOBOL,,,,40,24,204,944,1626
