trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
1666,1666_0,RUNNING,SOBOL,,,,2878,1909,0.626932491814717662848011059396,0.381359009228646739231294304773,str\(\'intersection\'\),0.067945808544754987545744029376,False
1667,1667_0,RUNNING,SOBOL,,,,236,3202,0.057958424476906661437780599044,0.928956751100718958191748697573,str\(\'kl\'\),0.021032357430085541621922473610,True
1668,1668_0,RUNNING,SOBOL,,,,1019,1443,0.385742380363866710357712008772,0.848898275893181564200062894088,str\(\'kl\'\),0.053782867696136243962357070814,False
1669,1669_0,RUNNING,SOBOL,,,,3348,2727,0.798750067522749351844879583950,0.339774048101156966872338216490,str\(\'intersection\'\),0.080041853124275808006871102407,True
1670,1670_0,RUNNING,SOBOL,,,,4127,803,0.132209532734006651732983073089,0.540644004708155989646911621094,str\(\'intersection\'\),0.060009936029091485998332444751,False
1671,1671_0,RUNNING,SOBOL,,,,1485,4597,0.561327191937714853331442554918,0.024232632612809539701670402678,str\(\'kl\'\),0.028966876771301032500449679219,True
1672,1672_0,RUNNING,SOBOL,,,,1846,2258,0.211763878170400848821586237136,0.293157019728794709934049933509,str\(\'intersection\'\),0.015314353760331869680477723250,False
1673,1673_0,RUNNING,SOBOL,,,,3775,3474,0.593613064479082797042508445884,0.770583065057173333123330394301,str\(\'kl\'\),0.073521010065451267156966252969,True
1674,1674_0,RUNNING,SOBOL,,,,3616,379,0.457260117059573534259442340044,0.101916784770786764124927969988,str\(\'kl\'\),0.099236978674307474435067888408,False
1675,1675_0,RUNNING,SOBOL,,,,750,4083,0.855161217628046865790736319468,0.587649435795843610996769257326,str\(\'intersection\'\),0.034751163776963953089271797126,True
1676,1676_0,RUNNING,SOBOL,,,,594,1158,0.715254648400470594005184921116,0.628846310224384086318138997740,str\(\'intersection\'\),0.023204264109954238909372392641,False
1677,1677_0,RUNNING,SOBOL,,,,2523,4872,0.099011870225891474017743121294,0.182606991585344075046393186312,str\(\'kl\'\),0.065629706308245647217169960186,True
1678,1678_0,RUNNING,SOBOL,,,,4865,1796,0.952920999731868501037013174937,0.944897633006796189292231247236,str\(\'kl\'\),0.085682952329516420819643940376,False
