trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
169,169_0,COMPLETED,SOBOL,0.609999999999999986677323704498,115.000000000000000000000000000000,0.989999999999999991118215802999,3541,11,0.069887187568470843235246547920,0.924164200102910449174942186801,346,EDFSMode.RANDOM
170,170_0,COMPLETED,SOBOL,0.619999999999999995559107901499,5818.000000000000000000000000000000,1.000000000000000000000000000000,3760,72,0.696794276675209434124269591848,0.433604239067062746659786398595,141,EDFSMode.RANDOM
171,171_0,COMPLETED,SOBOL,0.489999999999999991118215802999,173.000000000000000000000000000000,0.330000000000000015543122344752,536,30,0.429856763519346707358437242874,0.629686067976057528561284470925,804,EDFSMode.RANDOM
172,172_0,COMPLETED,SOBOL,0.550000000000000044408920985006,132.000000000000000000000000000000,0.609999999999999986677323704498,1219,60,0.225790953749790801463603884258,0.502867273276671800097403774998,989,EDFSMode.RANDOM
173,173_0,COMPLETED,SOBOL,0.609999999999999986677323704498,7660.000000000000000000000000000000,1.000000000000000000000000000000,4483,43,0.896947376158088394149103805830,0.309214359246194336883206688071,322,EDFSMode.RANDOM
174,174_0,COMPLETED,SOBOL,0.579999999999999960031971113494,119.000000000000000000000000000000,0.989999999999999991118215802999,2819,76,0.273939051721245052650743900813,0.800999259240925298719560032623,503,EDFSMode.RANDOM
175,175_0,COMPLETED,SOBOL,0.589999999999999968913755310496,934.000000000000000000000000000000,0.959999999999999964472863211995,1472,23,0.603190324621275086869331971684,0.010837784042581916771341710160,723,EDFSMode.RANDOM
176,176_0,COMPLETED,SOBOL,0.619999999999999995559107901499,310.000000000000000000000000000000,1.000000000000000000000000000000,1359,79,0.125129151439294206138441722942,0.729261709919199363483244269446,156,EDFSMode.RANDOM
177,177_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1006.000000000000000000000000000000,0.979999999999999982236431605997,3098,21,0.763817359857261179989507127175,0.459018204458057854644437156821,844,EDFSMode.RANDOM
178,178_0,COMPLETED,SOBOL,0.609999999999999986677323704498,289.000000000000000000000000000000,0.979999999999999982236431605997,4603,62,0.377160739108920117779177871853,0.964989176236093038063756921474,656,EDFSMode.RANDOM
179,179_0,COMPLETED,SOBOL,0.609999999999999986677323704498,1566.000000000000000000000000000000,0.969999999999999973354647408996,953,40,0.734004100752994381728910866514,0.223048022693023095808229072645,429,EDFSMode.RANDOM
180,180_0,COMPLETED,SOBOL,0.510000000000000008881784197001,12113.000000000000000000000000000000,0.400000000000000022204460492503,425,75,0.919795958716422279444202558807,0.098661250986158854914265248226,470,EDFSMode.RANDOM
