trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
2239,2239_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,437,4346,0.137827173676341785402144068939,48,0.25
2240,2240_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,6,1498,0.644463674083352033861160634842,45,0.005
2241,2241_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4034,2705,0.062803012218326320637018511661,5,0.25
2242,2242_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,3673,1038,0.453310716342180952675988692135,24,0.025
2243,2243_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2243,4764,0.869665398001670864047696341004,26,0.1
2244,2244_0,COMPLETED,SOBOL,0.569999999999999951150186916493,6.000000000000000000000000000000,0.969999999999999973354647408996,1449,75,0.227808600269258032522401435926,15,0.01
2245,2245_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2598,3850,0.566167886171489942448431520461,37,0.05
2246,2246_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4815,2388,0.917702681113034435256281540205,43,0.001
2247,2247_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1108,3683,0.258077072598040080375625393572,9,0.05
2248,2248_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,983,2322,0.998686091639101491956864720123,8,0.05
2249,2249_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4934,3440,0.333335727501660572524855297161,42,0.01
2250,2250_0,COMPLETED,SOBOL,0.560000000000000053290705182008,1.000000000000000000000000000000,0.900000000000000022204460492503,2776,299,0.183798481140285741020079512964,36,0.1
2251,2251_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1267,3937,0.516432766042649760152016824577,14,0.025
2252,2252_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,2348,1128,0.378295832753181460184066509100,27,0.001
2253,2253_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3573,4991,0.788925520848482886293595583993,25,0.1
2254,2254_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,3836,1254,0.693955022897571272011418841430,6,0.005
2255,2255_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,209,2636,0.106569597974419588704009242974,46,0.025
2256,2256_0,COMPLETED,SOBOL,0.560000000000000053290705182008,1.000000000000000000000000000000,0.869999999999999995559107901499,562,394,0.613113780703395616633599729539,50,0.025
2257,2257_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4111,4120,0.218689709797501574684019942652,3,0.05
2258,2258_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3144,2143,0.297454471588134761184107901499,22,0.005
2259,2259_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2154,3350,0.901045751642435832629018932494,32,0.001
2260,2260_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1695,1783,0.009291829142719507800274314491,16,0.025
2261,2261_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2970,3078,0.659660548411309721750228618475,32,0.01
2262,2262_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.680000000000000048849813083507,4582,681,0.824179558612406215623025218520,39,0.25
2263,2263_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,709,4456,0.476563390899449601523230057865,10,0.1
2264,2264_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.640000000000000013322676295502,759,511,0.859003626354038707368943050824,44,0.25
2265,2265_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4534,4315,0.463973045665770744694356153559,9,0.001
2266,2266_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3020,1948,0.052141225699335339016649015775,16,0.05
2267,2267_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1648,3232,0.655125988535583014815699698374,38,0.005
2268,2268_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2123,1666,0.263012776225805267049651092748,23,0.01
2269,2269_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3172,2882,0.912767371576279407108245322888,26,0.005
2270,2270_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.880000000000000004440892098501,4080,876,0.571103604670614051208588080044,45,0.1
2271,2271_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,590,4573,0.222873305603861815438193616501,4,0.001
2272,2272_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,161,2360,0.745575636144727438292534316133,2,0.01
2273,2273_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3886,3713,0.079619230672717089536405410399,48,0.005
