trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
82,82_0,ABANDONED,SOBOL,,,,1545,5,428,828,521
83,83_0,ABANDONED,SOBOL,,,,3857,25,137,1643,1138
84,84_0,ABANDONED,SOBOL,,,,4572,2,56,1970,1473
85,85_0,ABANDONED,SOBOL,,,,1884,23,257,559,871
86,86_0,ABANDONED,SOBOL,,,,391,7,204,1176,142
87,87_0,ABANDONED,SOBOL,,,,3096,13,483,353,1509
88,88_0,ABANDONED,SOBOL,,,,2667,4,243,722,328
89,89_0,ABANDONED,SOBOL,,,,58,23,447,1811,1960
90,90_0,ABANDONED,SOBOL,,,,2317,12,31,428,1057
91,91_0,ABANDONED,SOBOL,,,,4940,20,284,1105,659
92,92_0,ABANDONED,SOBOL,,,,4133,9,393,1274,949
93,93_0,ABANDONED,SOBOL,,,,1756,15,169,193,1332
94,94_0,ABANDONED,SOBOL,,,,890,0,370,1575,1686
95,95_0,COMPLETED,SOBOL,0.100000000000000005551115123126,1337.000000000000000000000000000000,0.000000000000000000000000000000,3281,21,67,891,39
96,96_0,ABANDONED,SOBOL,,,,3202,9,151,318,1411
97,97_0,ABANDONED,SOBOL,,,,813,16,411,1149,810
98,98_0,ABANDONED,SOBOL,,,,1835,0,113,517,204
99,99_0,ABANDONED,SOBOL,,,,4211,20,325,1951,1570
100,100_0,ABANDONED,SOBOL,,,,4863,4,500,1685,1782
101,101_0,ABANDONED,SOBOL,,,,2238,25,189,847,431
102,102_0,ABANDONED,SOBOL,,,,135,12,273,1480,583
103,103_0,ABANDONED,SOBOL,,,,2747,18,41,54,1199
104,104_0,ABANDONED,SOBOL,,,,3016,2,298,934,885
105,105_0,ABANDONED,SOBOL,,,,315,22,15,1595,1268
106,106_0,ABANDONED,SOBOL,,,,1963,7,462,229,1749
107,107_0,COMPLETED,SOBOL,0.100000000000000005551115123126,998.000000000000000000000000000000,0.000000000000000000000000000000,4649,15,226,1302,102
108,108_0,COMPLETED,SOBOL,0.110000000000000000555111512313,638.000000000000000000000000000000,0.000000000000000000000000000000,3779,10,84,1070,265
109,109_0,ABANDONED,SOBOL,,,,1466,16,355,401,1897
110,110_0,ABANDONED,SOBOL,,,,1239,6,186,1768,1121
111,111_0,ABANDONED,SOBOL,,,,3537,26,379,703,723
112,112_0,ABANDONED,SOBOL,,,,3659,5,20,1435,1538
113,113_0,ABANDONED,SOBOL,,,,961,26,292,97,188
114,114_0,ABANDONED,SOBOL,,,,1353,11,247,1730,831
115,115_0,ABANDONED,SOBOL,,,,4048,18,440,804,1448
116,116_0,ABANDONED,SOBOL,,,,4381,7,362,568,1160
117,117_0,ABANDONED,SOBOL,,,,2075,13,78,1898,558
118,118_0,ABANDONED,SOBOL,,,,593,3,400,267,460
119,119_0,ABANDONED,SOBOL,,,,2895,22,164,1201,1827
120,120_0,FAILED,SOBOL,,,,2556,13,437,1819,9
121,121_0,ABANDONED,SOBOL,,,,169,19,126,651,1641
122,122_0,ABANDONED,SOBOL,,,,2438,3,335,1018,1372
