trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
4320,4320_0,ABANDONED,SOBOL,,,,183,3057,467,16,45
4321,4321_0,ABANDONED,SOBOL,,,,2560,1757,950,165,180
4322,4322_0,RUNNING,SOBOL,,,,2838,4683,418,212,11
4323,4323_0,ABANDONED,SOBOL,,,,529,825,932,112,141
4324,4324_0,ABANDONED,SOBOL,,,,2215,3679,245,187,234
4325,4325_0,ABANDONED,SOBOL,,,,4907,2381,728,25,115
4326,4326_0,ABANDONED,SOBOL,,,,3793,2740,786,54,64
4327,4327_0,ABANDONED,SOBOL,,,,1415,1441,303,154,213
4328,4328_0,ABANDONED,SOBOL,,,,667,4369,616,83,162
4329,4329_0,FAILED,SOBOL,,,,3287,512,102,245,63
4330,4330_0,ABANDONED,SOBOL,,,,3197,4132,889,6,241
4331,4331_0,FAILED,SOBOL,,,,820,430,404,170,106
4332,4332_0,RUNNING,SOBOL,,,,1319,2508,719,97,19
4333,4333_0,FAILED,SOBOL,,,,3943,1366,203,199,135
4334,4334_0,RUNNING,SOBOL,,,,4704,3447,253,228,185
4335,4335_0,FAILED,SOBOL,,,,2394,2304,769,64,38
4336,4336_0,ABANDONED,SOBOL,,,,3021,745,565,39,192
4337,4337_0,FAILED,SOBOL,,,,54,1678,556,235,224
4338,4338_0,ABANDONED,SOBOL,,,,2047,3823,365,63,152
4339,4339_0,RUNNING,SOBOL,,,,4426,121,850,148,2
4340,4340_0,RUNNING,SOBOL,,,,4290,4759,666,177,52
4341,4341_0,ABANDONED,SOBOL,,,,1597,1059,182,31,171
4342,4342_0,RUNNING,SOBOL,,,,1167,3131,997,206,205
4343,4343_0,RUNNING,SOBOL,,,,3475,1988,480,121,75
4344,4344_0,ABANDONED,SOBOL,,,,3588,4898,221,34,175
4345,4345_0,RUNNING,SOBOL,,,,1211,1235,735,135,40
4346,4346_0,ABANDONED,SOBOL,,,,1710,3307,426,71,86
4347,4347_0,RUNNING,SOBOL,,,,4334,2126,909,233,202
4348,4348_0,ABANDONED,SOBOL,,,,4470,2995,609,200,243
4349,4349_0,RUNNING,SOBOL,,,,2160,1812,126,100,97
4350,4350_0,FAILED,SOBOL,,,,98,3958,809,168,29
4351,4351_0,ABANDONED,SOBOL,,,,2787,297,295,5,133
4352,4352_0,FAILED,SOBOL,,,,3064,3621,824,123,58
4353,4353_0,FAILED,SOBOL,,,,444,2440,341,209,157
4354,4354_0,ABANDONED,SOBOL,,,,2438,4582,525,28,218
4355,4355_0,FAILED,SOBOL,,,,4055,4270,444,143,111
4356,4356_0,ABANDONED,SOBOL,,,,1363,608,959,57,229
4357,4357_0,FAILED,SOBOL,,,,932,2686,149,242,146
4358,4358_0,FAILED,SOBOL,,,,3241,1504,632,93,16
4359,4359_0,ABANDONED,SOBOL,,,,3399,2604,358,158,195
4360,4360_0,ABANDONED,SOBOL,,,,711,1267,874,11,90
4361,4361_0,FAILED,SOBOL,,,,1527,4195,63,194,35
4362,4362_0,ABANDONED,SOBOL,,,,3838,376,548,110,182
4363,4363_0,ABANDONED,SOBOL,,,,4951,4505,973,77,138
4364,4364_0,FAILED,SOBOL,,,,2328,687,488,223,22
4365,4365_0,ABANDONED,SOBOL,,,,573,3542,674,44,103
4366,4366_0,FAILED,SOBOL,,,,2604,3879,696,248,78
4367,4367_0,ABANDONED,SOBOL,,,,295,60,211,83,208
4368,4368_0,ABANDONED,SOBOL,,,,1981,2918,896,153,168
4369,4369_0,FAILED,SOBOL,,,,4673,1581,380,51,49
4370,4370_0,FAILED,SOBOL,,,,4184,3233,72,18,5
4371,4371_0,FAILED,SOBOL,,,,1805,1894,588,182,155
4372,4372_0,ABANDONED,SOBOL,,,,1057,4816,277,116,220
4373,4373_0,FAILED,SOBOL,,,,3677,999,762,219,121
4374,4374_0,FAILED,SOBOL,,,,1082,1450,568,193,101
4375,4375_0,ABANDONED,SOBOL,,,,1819,4304,259,13,26
4376,4376_0,FAILED,SOBOL,,,,4206,505,773,159,129
4377,4377_0,ABANDONED,SOBOL,,,,4654,4615,715,126,179
4378,4378_0,ABANDONED,SOBOL,,,,1956,817,200,42,44
4379,4379_0,FAILED,SOBOL,,,,282,3744,884,226,82
4380,4380_0,ABANDONED,SOBOL,,,,2583,2386,401,79,197
4381,4381_0,ABANDONED,SOBOL,,,,2939,3993,999,48,114
4382,4382_0,ABANDONED,SOBOL,,,,551,194,484,151,234
4383,4383_0,ABANDONED,SOBOL,,,,2312,3116,669,86,143
4384,4384_0,FAILED,SOBOL,,,,4923,1759,186,250,11
4385,4385_0,FAILED,SOBOL,,,,3849,3431,362,217,61
4386,4386_0,ABANDONED,SOBOL,,,,1550,2073,845,115,161
4387,4387_0,ABANDONED,SOBOL,,,,3428,1133,550,19,64
4388,4388_0,FAILED,SOBOL,,,,3215,4695,462,232,134
4389,4389_0,FAILED,SOBOL,,,,915,1052,947,69,19
4390,4390_0,FAILED,SOBOL,,,,1343,3198,136,136,108
4391,4391_0,ABANDONED,SOBOL,,,,4042,1997,652,36,242
4392,4392_0,ABANDONED,SOBOL,,,,4843,2885,836,2,190
