trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
184,184_0,FAILED,SOBOL,,,,2855,4848,30,85,0.360312053689733124972605082803
185,185_0,FAILED,SOBOL,,,,706,1148,77,708,0.517879992779344267006536028930
186,186_0,FAILED,SOBOL,,,,1402,3391,5,378,0.863690012579783839008484847000
187,187_0,FAILED,SOBOL,,,,4723,2176,52,751,0.024264809586107730088322398387
188,188_0,FAILED,SOBOL,,,,4030,2863,98,920,0.149476841328665621677629360420
189,189_0,FAILED,SOBOL,,,,2351,1573,45,296,0.993809367820620570554979167355
190,190_0,FAILED,SOBOL,,,,542,3890,75,619,0.653859393971040869786293114885
191,191_0,COMPLETED,SOBOL,0.790000000000000035527136788005,1078.000000000000000000000000000000,1.000000000000000000000000000000,3393,115,22,246,0.499188646543771041841353053314
192,192_0,FAILED,SOBOL,,,,3408,4739,70,718,0.113936083765700454928371243568
193,193_0,FAILED,SOBOL,,,,479,946,23,91,0.766144922707229891756242068368
194,194_0,FAILED,SOBOL,,,,2415,3266,96,761,0.615394812000915392147248894616
195,195_0,FAILED,SOBOL,,,,4016,1988,50,384,0.270549580901861208559466831503
196,196_0,FAILED,SOBOL,,,,4728,2972,1,287,0.401643606862053248462984811340
197,197_0,FAILED,SOBOL,,,,1329,1775,54,914,0.743530729494988884553663410770
198,198_0,FAILED,SOBOL,,,,779,4015,28,236,0.904046967530623080122609280807
199,199_0,COMPLETED,SOBOL,0.780000000000000026645352591004,6947.000000000000000000000000000000,1.000000000000000000000000000000,2850,303,82,613,0.246991714458912603458173862236
200,200_0,RUNNING,SOBOL,,,,2596,3672,36,991,0.821503641616553093030006493791
201,201_0,FAILED,SOBOL,,,,995,2365,83,364,0.042991526419296863248398210544
202,202_0,FAILED,SOBOL,,,,1584,4656,12,534,0.324963678531348720834870391627
203,203_0,FAILED,SOBOL,,,,4513,873,59,157,0.545393924167379751111184305046
204,204_0,FAILED,SOBOL,,,,4231,4088,91,14,0.656992831110954300655180304602
205,205_0,FAILED,SOBOL,,,,2160,386,38,641,0.441408999605104324093218792768
206,206_0,FAILED,SOBOL,,,,263,2596,69,463,0.161396548692137015157399559939
207,207_0,RUNNING,SOBOL,,,,3662,1369,16,840,0.942866772355511750802747883426
208,208_0,FAILED,SOBOL,,,,3577,2747,86,198,0.283509036051109442055917497783
209,209_0,FAILED,SOBOL,,,,22,1532,33,571,0.565461385089904067235977436212
210,210_0,FAILED,SOBOL,,,,1933,4243,62,280,0.784921008734032477072162237164
211,211_0,FAILED,SOBOL,,,,4160,543,8,904,0.069880438759922988700701296239
212,212_0,FAILED,SOBOL,,,,4598,4495,42,799,0.197057869290933024286616159770
213,213_0,FAILED,SOBOL,,,,1825,720,89,426,0.917005762763321352615264459018
214,214_0,FAILED,SOBOL,,,,1222,3507,19,725,0.699475387493148414996824158152
215,215_0,RUNNING,SOBOL,,,,2667,2217,65,101,0.420420230116695159416906335537
216,216_0,RUNNING,SOBOL,,,,3078,3867,21,472,0.527165461059659667952814743330
217,217_0,COMPLETED,SOBOL,0.780000000000000026645352591004,2890.000000000000000000000000000000,1.000000000000000000000000000000,851,137,74,845,0.368592575022950785790243344309
218,218_0,RUNNING,SOBOL,,,,1414,2820,46,54,0.030580883897840978324911276331
219,219_0,RUNNING,SOBOL,,,,4970,1615,99,677,0.871011033838614778801456850488
220,220_0,RUNNING,SOBOL,,,,3789,3424,51,526,0.986496079668402692242068496853
221,221_0,RUNNING,SOBOL,,,,2344,2144,4,152,0.143168738065287459715335671717
222,222_0,RUNNING,SOBOL,,,,393,4901,78,951,0.490916096258908529748055116215
223,223_0,FAILED,SOBOL,,,,3166,1096,31,328,0.644581658797338641342378195986
224,224_0,RUNNING,SOBOL,,,,3241,3164,11,120,0.221623370679095377244749442980
225,225_0,RUNNING,SOBOL,,,,390,1935,58,743,0.874898069653660015454477161256
226,226_0,FAILED,SOBOL,,,,2189,4772,37,421,0.725959171487018495305676424323
227,227_0,RUNNING,SOBOL,,,,3868,1068,83,794,0.380291732698678996982266653504
228,228_0,FAILED,SOBOL,,,,4876,3971,67,877,0.260896813293918949927530093191
