trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_clusters,threshold
42,42_0,COMPLETED,SOBOL,0.760000000000000008881784197001,5591.000000000000000000000000000000,0.200000000000000011102230246252,1074,4944,7,0.783543381815776207588442048291
43,43_0,COMPLETED,SOBOL,0.920000000000000039968028886506,1118.000000000000000000000000000000,1.000000000000000000000000000000,4185,552,1,0.202618211816996324214912306161
44,44_0,COMPLETED,SOBOL,0.849999999999999977795539507497,5503.000000000000000000000000000000,0.880000000000000004440892098501,4470,3779,3,0.045484496887773277762345713882
45,45_0,COMPLETED,SOBOL,0.770000000000000017763568394003,850.000000000000000000000000000000,0.110000000000000000555111512313,80,633,9,0.938164922704920134499673167738
46,46_0,COMPLETED,SOBOL,0.830000000000000071054273576010,2514.000000000000000000000000000000,0.369999999999999995559107901499,1375,3352,2,0.460663291836157451353273017958
47,47_0,COMPLETED,SOBOL,0.890000000000000013322676295502,2403.000000000000000000000000000000,1.000000000000000000000000000000,3255,1456,7,0.558064339585602309234957374429
48,48_0,COMPLETED,SOBOL,0.820000000000000062172489379009,2700.000000000000000000000000000000,0.869999999999999995559107901499,3296,3146,4,0.150515307389199742837959661301
49,49_0,COMPLETED,SOBOL,0.900000000000000022204460492503,1914.000000000000000000000000000000,0.950000000000000066613381477509,1416,1253,10,0.863871418992057438224207999156
50,50_0,COMPLETED,SOBOL,0.680000000000000048849813083507,2571.000000000000000000000000000000,0.050000000000000002775557561563,200,3983,1,0.347408244377002128899789568095
51,51_0,COMPLETED,SOBOL,0.930000000000000048849813083507,1132.000000000000000000000000000000,1.000000000000000000000000000000,4590,840,6,0.639727363776415591800628135388
52,52_0,COMPLETED,SOBOL,0.810000000000000053290705182008,5919.000000000000000000000000000000,0.770000000000000017763568394003,4221,4839,9,0.605395857747644150492760672932
53,53_0,COMPLETED,SOBOL,0.920000000000000039968028886506,1089.000000000000000000000000000000,1.000000000000000000000000000000,1111,442,4,0.375328187098726617776378589042
54,54_0,COMPLETED,SOBOL,0.760000000000000008881784197001,2333.000000000000000000000000000000,0.729999999999999982236431605997,2395,3074,8,0.895826675200834920964609864313
55,55_0,COMPLETED,SOBOL,0.830000000000000071054273576010,2422.000000000000000000000000000000,0.910000000000000031086244689504,3015,2428,2,0.119975819416344164913823533425
56,56_0,COMPLETED,SOBOL,0.739999999999999991118215802999,5455.000000000000000000000000000000,0.579999999999999960031971113494,2802,4220,7,0.483691050102934227972184544342
57,57_0,COMPLETED,SOBOL,0.790000000000000035527136788005,1581.000000000000000000000000000000,1.000000000000000000000000000000,2182,1115,3,0.503368907447904301299956841831
58,58_0,COMPLETED,SOBOL,0.790000000000000035527136788005,8899.000000000000000000000000000000,0.200000000000000011102230246252,899,3496,8,0.021725301988422870275163845122
59,59_0,COMPLETED,SOBOL,0.910000000000000031086244689504,967.000000000000000000000000000000,1.000000000000000000000000000000,4009,1640,4,0.992616230333223992232660748414
60,60_0,COMPLETED,SOBOL,0.900000000000000022204460492503,1252.000000000000000000000000000000,1.000000000000000000000000000000,4997,2787,1,0.774875883558765021774661363452
61,61_0,COMPLETED,SOBOL,0.820000000000000062172489379009,3055.000000000000000000000000000000,0.239999999999999991118215802999,607,2182,6,0.240973708651959883653148608573
62,62_0,COMPLETED,SOBOL,0.830000000000000071054273576010,4279.000000000000000000000000000000,0.369999999999999995559107901499,1824,4459,5,0.718368447910994301075504608889
63,63_0,COMPLETED,SOBOL,0.900000000000000022204460492503,3336.000000000000000000000000000000,1.000000000000000000000000000000,3704,104,9,0.262433151071891190841967045344
64,64_0,COMPLETED,SOBOL,0.810000000000000053290705182008,9655.000000000000000000000000000000,0.820000000000000062172489379009,3745,4067,5,0.511663693202659475289806323417
65,65_0,COMPLETED,SOBOL,0.920000000000000039968028886506,3711.000000000000000000000000000000,1.000000000000000000000000000000,1866,961,10,0.476394199449569011317606737066
66,66_0,COMPLETED,SOBOL,0.770000000000000017763568394003,954.000000000000000000000000000000,0.149999999999999994448884876874,571,3650,2,0.985296288177371026861806058150
67,67_0,COMPLETED,SOBOL,0.869999999999999995559107901499,9581.000000000000000000000000000000,0.969999999999999973354647408996,4960,1794,6,0.029997479559853674341285412197
68,68_0,COMPLETED,SOBOL,0.880000000000000004440892098501,5061.000000000000000000000000000000,0.969999999999999973354647408996,4046,2628,8,0.249262304203584778017344092405
69,69_0,COMPLETED,SOBOL,0.849999999999999977795539507497,883.000000000000000000000000000000,0.429999999999999993338661852249,935,2024,4,0.767569028198718972255676362693
70,70_0,COMPLETED,SOBOL,0.640000000000000013322676295502,4394.000000000000000000000000000000,0.390000000000000013322676295502,2140,4618,7,0.255118454787880200029803745565
71,71_0,COMPLETED,SOBOL,0.930000000000000048849813083507,1035.000000000000000000000000000000,1.000000000000000000000000000000,2761,263,2,0.726649670986458606769531343161
72,72_0,COMPLETED,SOBOL,0.810000000000000053290705182008,2543.000000000000000000000000000000,0.839999999999999968913755310496,2979,3304,8,0.872158075690269485313876884902
73,73_0,COMPLETED,SOBOL,0.790000000000000035527136788005,8309.000000000000000000000000000000,0.979999999999999982236431605997,2358,1411,2,0.143210390882566568349076874256
74,74_0,COMPLETED,SOBOL,0.790000000000000035527136788005,4954.000000000000000000000000000000,0.270000000000000017763568394003,1152,3824,9,0.632414598910137959464350387861
75,75_0,COMPLETED,SOBOL,0.920000000000000039968028886506,1331.000000000000000000000000000000,1.000000000000000000000000000000,4262,681,3,0.355687536034733076117930750115
76,76_0,COMPLETED,SOBOL,0.810000000000000053290705182008,4654.000000000000000000000000000000,0.810000000000000053290705182008,4549,4993,1,0.383624848503619442219303437014
77,77_0,COMPLETED,SOBOL,0.830000000000000071054273576010,866.000000000000000000000000000000,0.230000000000000009992007221626,159,596,7,0.598097131444141227873956268013
78,78_0,COMPLETED,SOBOL,0.839999999999999968913755310496,3424.000000000000000000000000000000,0.400000000000000022204460492503,1452,2920,5,0.112654009046033024010746714794
79,79_0,COMPLETED,SOBOL,0.880000000000000004440892098501,2543.000000000000000000000000000000,0.989999999999999991118215802999,3332,2274,10,0.904100720986723893624059655849
80,80_0,COMPLETED,SOBOL,0.820000000000000062172489379009,2714.000000000000000000000000000000,0.890000000000000013322676295502,3218,3124,2,0.309320864200592016146629248396
81,81_0,COMPLETED,SOBOL,0.859999999999999986677323704498,2859.000000000000000000000000000000,0.489999999999999991118215802999,1338,2481,8,0.703125082926824740425786330889
82,82_0,COMPLETED,SOBOL,0.640000000000000013322676295502,5647.000000000000000000000000000000,0.020000000000000000416333634234,122,4786,3,0.194329409925267093672829332718
83,83_0,COMPLETED,SOBOL,0.920000000000000039968028886506,1204.000000000000000000000000000000,1.000000000000000000000000000000,4512,393,9,0.790850443515926593285314538662
84,84_0,COMPLETED,SOBOL,0.869999999999999995559107901499,1866.000000000000000000000000000000,0.950000000000000066613381477509,4143,3933,6,0.945484595317393594626764752320
85,85_0,COMPLETED,SOBOL,0.900000000000000022204460492503,1612.000000000000000000000000000000,0.830000000000000071054273576010,1033,787,1,0.037212588859722020573350675932
86,86_0,COMPLETED,SOBOL,0.719999999999999973354647408996,4519.000000000000000000000000000000,0.640000000000000013322676295502,2317,3198,10,0.549769347490742799067220403231
87,87_0,COMPLETED,SOBOL,0.890000000000000013322676295502,2644.000000000000000000000000000000,1.000000000000000000000000000000,2937,1302,4,0.467960348829627059696889546103
88,88_0,COMPLETED,SOBOL,0.760000000000000008881784197001,5883.000000000000000000000000000000,0.450000000000000011102230246252,2568,4511,9,0.073575173033401372602035905857
89,89_0,COMPLETED,SOBOL,0.910000000000000031086244689504,3674.000000000000000000000000000000,1.000000000000000000000000000000,1949,155,5,0.911557582814246369906641120906
90,90_0,COMPLETED,SOBOL,0.800000000000000044408920985006,3496.000000000000000000000000000000,0.220000000000000001110223024625,664,2737,6,0.422459552571177510138511479454
91,91_0,COMPLETED,SOBOL,0.900000000000000022204460492503,1343.000000000000000000000000000000,1.000000000000000000000000000000,3774,2130,1,0.589908840419724578296722938830
92,92_0,COMPLETED,SOBOL,0.869999999999999995559107901499,2599.000000000000000000000000000000,0.979999999999999982236431605997,4763,3444,4,0.686371456163003990091908690374
93,93_0,COMPLETED,SOBOL,0.780000000000000026645352591004,4515.000000000000000000000000000000,0.200000000000000011102230246252,374,1589,9,0.331433890759944893567023882497
94,94_0,COMPLETED,SOBOL,0.830000000000000071054273576010,1803.000000000000000000000000000000,0.350000000000000033306690738755,1589,4271,3,0.816983436319977052164631459164
95,95_0,COMPLETED,SOBOL,0.900000000000000022204460492503,2184.000000000000000000000000000000,1.000000000000000000000000000000,3469,1166,7,0.165758941916748891998167891870
96,96_0,COMPLETED,SOBOL,0.830000000000000071054273576010,4644.000000000000000000000000000000,0.839999999999999968913755310496,3583,3735,9,0.438919716304168094911375419542
97,97_0,COMPLETED,SOBOL,0.900000000000000022204460492503,1674.000000000000000000000000000000,0.859999999999999986677323704498,1712,1839,3,0.544241431962698696267466402787
98,98_0,COMPLETED,SOBOL,0.700000000000000066613381477509,10028.000000000000000000000000000000,0.080000000000000001665334536938,428,4178,7,0.058821036718785760233352277737
99,99_0,COMPLETED,SOBOL,0.920000000000000039968028886506,1075.000000000000000000000000000000,1.000000000000000000000000000000,4789,1031,2,0.959418323377147275188292496750
100,100_0,COMPLETED,SOBOL,0.830000000000000071054273576010,3333.000000000000000000000000000000,0.800000000000000044408920985006,3902,4561,5,0.800275844777002975938273721113
101,101_0,COMPLETED,SOBOL,0.920000000000000039968028886506,1281.000000000000000000000000000000,1.000000000000000000000000000000,763,169,10,0.211673778183758265480918225876
102,102_0,COMPLETED,SOBOL,0.890000000000000013322676295502,1220.000000000000000000000000000000,0.729999999999999982236431605997,1979,2567,1,0.700885715600103154088174051140
103,103_0,COMPLETED,SOBOL,0.820000000000000062172489379009,3669.000000000000000000000000000000,0.969999999999999973354647408996,2609,1924,7,0.283813027074560519924517620893
104,104_0,COMPLETED,SOBOL,0.770000000000000017763568394003,2742.000000000000000000000000000000,0.619999999999999995559107901499,2825,3871,1,0.179814657874405398052530813402
105,105_0,COMPLETED,SOBOL,0.820000000000000062172489379009,1104.000000000000000000000000000000,1.000000000000000000000000000000,2196,766,6,0.838470877790823632125238873414
106,106_0,COMPLETED,SOBOL,0.780000000000000026645352591004,4234.000000000000000000000000000000,0.250000000000000000000000000000,981,3375,5,0.326028026333078757570405059596
107,107_0,COMPLETED,SOBOL,0.910000000000000031086244689504,2741.000000000000000000000000000000,1.000000000000000000000000000000,4120,1521,10,0.657209754046052641029973528930
108,108_0,COMPLETED,SOBOL,0.869999999999999995559107901499,3589.000000000000000000000000000000,0.989999999999999991118215802999,4376,2824,7,0.564523913215845829505212805088
109,109_0,COMPLETED,SOBOL,0.609999999999999986677323704498,6486.000000000000000000000000000000,0.010000000000000000208166817117,15,2218,3,0.420100100880488769305998175696
110,110_0,COMPLETED,SOBOL,0.780000000000000026645352591004,2397.000000000000000000000000000000,0.239999999999999991118215802999,1300,4892,8,0.929024924198165513722358355153
111,111_0,COMPLETED,SOBOL,0.920000000000000039968028886506,2133.000000000000000000000000000000,1.000000000000000000000000000000,3170,536,4,0.082880426727235320671915985713
112,112_0,COMPLETED,SOBOL,0.780000000000000026645352591004,4141.000000000000000000000000000000,0.650000000000000022204460492503,3367,4706,6,0.740705030031502231757656318223
113,113_0,COMPLETED,SOBOL,0.920000000000000039968028886506,1673.000000000000000000000000000000,1.000000000000000000000000000000,1497,351,1,0.276605539346113815657446366458
114,114_0,COMPLETED,SOBOL,0.729999999999999982236431605997,4367.000000000000000000000000000000,0.089999999999999996669330926125,292,3009,10,0.762162568917498006726418680046
115,115_0,COMPLETED,SOBOL,0.900000000000000022204460492503,4390.000000000000000000000000000000,1.000000000000000000000000000000,4652,2404,5,0.220100007232278599422770071214
