trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,max_window_size,min_window_size,min_p_value
29,29_0,COMPLETED,SOBOL,0.410000000000000031086244689504,21.000000000000000000000000000000,0.989999999999999991118215802999,2106,1896,240,0.102222390441317118048303314026
30,30_0,COMPLETED,SOBOL,0.320000000000000006661338147751,9.000000000000000000000000000000,0.010000000000000000208166817117,907,4147,4786,0.868926038775034270678077064076
31,31_0,COMPLETED,SOBOL,0.380000000000000004440892098501,12.000000000000000000000000000000,0.010000000000000000208166817117,3931,1132,2076,0.346489190897531773583040148878
32,32_0,COMPLETED,SOBOL,0.579999999999999960031971113494,65.000000000000000000000000000000,0.989999999999999991118215802999,4008,2618,533,0.245601006505172692051530702884
33,33_0,COMPLETED,SOBOL,0.340000000000000024424906541753,11.000000000000000000000000000000,0.010000000000000000208166817117,823,2105,2579,0.720090319058578454125552070764
34,34_0,COMPLETED,SOBOL,0.369999999999999995559107901499,27.000000000000000000000000000000,0.950000000000000066613381477509,2183,4355,2447,0.483991415155306470285978548418
35,35_0,COMPLETED,SOBOL,0.359999999999999986677323704498,11.000000000000000000000000000000,0.010000000000000000208166817117,2668,1002,4415,0.977247445619478849465622261050
36,36_0,COMPLETED,SOBOL,0.589999999999999968913755310496,85.000000000000000000000000000000,0.979999999999999982236431605997,3480,4491,3265,0.799565731155686076903066350496
37,37_0,COMPLETED,SOBOL,0.309999999999999997779553950750,9.000000000000000000000000000000,0.000000000000000000000000000000,1662,164,1102,0.290987675773911158572104795894
38,38_0,COMPLETED,SOBOL,0.320000000000000006661338147751,9.000000000000000000000000000000,0.000000000000000000000000000000,327,3694,3772,0.554339190504793077884926333354
39,39_0,COMPLETED,SOBOL,0.390000000000000013322676295502,10.000000000000000000000000000000,0.020000000000000000416333634234,4835,1575,1844,0.032862588904146110280191095399
40,40_0,COMPLETED,SOBOL,0.320000000000000006661338147751,10.000000000000000000000000000000,0.050000000000000002775557561563,4588,3944,4307,0.364015688381995994316042697392
41,41_0,COMPLETED,SOBOL,0.289999999999999980015985556747,13.000000000000000000000000000000,0.000000000000000000000000000000,271,710,1314,0.855301689778175222578227021586
42,42_0,COMPLETED,SOBOL,0.340000000000000024424906541753,14.000000000000000000000000000000,0.020000000000000000416333634234,1416,2834,3643,0.123654679460823535563918085245
43,43_0,COMPLETED,SOBOL,0.579999999999999960031971113494,60.000000000000000000000000000000,0.989999999999999991118215802999,3424,2436,728,0.600114021082222448555398841563
44,44_0,COMPLETED,SOBOL,0.540000000000000035527136788005,64.000000000000000000000000000000,0.989999999999999991118215802999,2929,3322,1878,0.684076554054953156480678444495
45,45_0,COMPLETED,SOBOL,0.320000000000000006661338147751,8.000000000000000000000000000000,0.020000000000000000416333634234,2244,1401,4989,0.160652786392904811663129294175
46,46_0,COMPLETED,SOBOL,0.440000000000000002220446049250,30.000000000000000000000000000000,0.230000000000000009992007221626,1084,4746,120,0.927356313787866426423533994239
47,47_0,COMPLETED,SOBOL,0.300000000000000044408920985006,10.000000000000000000000000000000,0.010000000000000000208166817117,4069,612,2996,0.420725424467492836733129024651
48,48_0,COMPLETED,SOBOL,0.520000000000000017763568394003,57.000000000000000000000000000000,0.989999999999999991118215802999,4228,4951,1547,0.519120807136129625014575594832
49,49_0,COMPLETED,SOBOL,0.300000000000000044408920985006,10.000000000000000000000000000000,0.000000000000000000000000000000,1237,329,4071,0.013450164092611521446385403067
50,50_0,COMPLETED,SOBOL,0.429999999999999993338661852249,31.000000000000000000000000000000,0.959999999999999964472863211995,2402,3234,805,0.780214657644554998583430460712
51,51_0,COMPLETED,SOBOL,0.369999999999999995559107901499,9.000000000000000000000000000000,0.020000000000000000416333634234,3084,1411,3563,0.255708707670494916897041548509
52,52_0,COMPLETED,SOBOL,0.320000000000000006661338147751,14.000000000000000000000000000000,0.040000000000000000832667268469,3271,3098,4755,0.464640434673987301472664057655
53,53_0,COMPLETED,SOBOL,0.609999999999999986677323704498,540.000000000000000000000000000000,0.989999999999999991118215802999,1255,2250,2114,0.941968570545874572808031643945
54,54_0,COMPLETED,SOBOL,0.440000000000000002220446049250,37.000000000000000000000000000000,0.119999999999999995559107901499,116,3876,2919,0.210382530106697218652556102825
55,55_0,COMPLETED,SOBOL,0.609999999999999986677323704498,166.000000000000000000000000000000,1.000000000000000000000000000000,4431,856,200,0.700677801217231888131209416315
56,56_0,COMPLETED,SOBOL,0.609999999999999986677323704498,137.000000000000000000000000000000,1.000000000000000000000000000000,4995,3489,2658,0.900186661364790086103937483131
57,57_0,COMPLETED,SOBOL,0.510000000000000008881784197001,34.000000000000000000000000000000,0.330000000000000015543122344752,479,1858,456,0.377658361460920410923591816754
58,58_0,COMPLETED,SOBOL,0.300000000000000044408920985006,13.000000000000000000000000000000,0.020000000000000000416333634234,1820,4579,4650,0.641070842348784197817224139726
59,59_0,COMPLETED,SOBOL,0.309999999999999997779553950750,8.000000000000000000000000000000,0.000000000000000000000000000000,3635,154,2214,0.133422549235075710294395889832
60,60_0,COMPLETED,SOBOL,0.429999999999999993338661852249,29.000000000000000000000000000000,0.780000000000000026645352591004,2515,4092,1022,0.080649060784466569673512026384
61,61_0,COMPLETED,SOBOL,0.309999999999999997779553950750,13.000000000000000000000000000000,0.010000000000000000208166817117,2023,1187,3341,0.572883876954205284448562451871
62,62_0,COMPLETED,SOBOL,0.550000000000000044408920985006,57.000000000000000000000000000000,0.600000000000000088817841970013,668,2687,1608,0.336845942929107688978973556004
63,63_0,COMPLETED,SOBOL,0.400000000000000022204460492503,15.000000000000000000000000000000,0.020000000000000000416333634234,3850,1958,4006,0.812234533741790776240065952152
64,64_0,COMPLETED,SOBOL,0.579999999999999960031971113494,68.000000000000000000000000000000,1.000000000000000000000000000000,3892,3735,1782,0.383501965840067682300684737129
65,65_0,COMPLETED,SOBOL,0.320000000000000006661338147751,11.000000000000000000000000000000,0.010000000000000000208166817117,627,1613,3838,0.890441505749430484151218934130
66,66_0,COMPLETED,SOBOL,0.520000000000000017763568394003,46.000000000000000000000000000000,0.570000000000000062172489379009,1986,4528,1196,0.127578929971158494538485683734
67,67_0,COMPLETED,SOBOL,0.300000000000000044408920985006,9.000000000000000000000000000000,0.000000000000000000000000000000,2551,205,3174,0.650815983079373827635549787374
68,68_0,COMPLETED,SOBOL,0.330000000000000015543122344752,13.000000000000000000000000000000,0.040000000000000000832667268469,3598,4314,4520,0.563138304565288128067379602726
69,69_0,COMPLETED,SOBOL,0.350000000000000033306690738755,13.000000000000000000000000000000,0.010000000000000000208166817117,1856,966,2347,0.086492248390056203355413799727
70,70_0,COMPLETED,SOBOL,0.619999999999999995559107901499,709.000000000000000000000000000000,0.969999999999999973354647408996,521,2582,2528,0.821980091245938071509158362460
71,71_0,COMPLETED,SOBOL,0.600000000000000088817841970013,85.000000000000000000000000000000,1.000000000000000000000000000000,4953,2062,590,0.331002740438748166429405728195
72,72_0,COMPLETED,SOBOL,0.579999999999999960031971113494,80.000000000000000000000000000000,0.979999999999999982236431605997,4394,4705,3048,0.007587968635838478713429022804
73,73_0,COMPLETED,SOBOL,0.510000000000000008881784197001,40.000000000000000000000000000000,0.300000000000000044408920985006,152,575,65,0.528885476684849753503669944621
74,74_0,COMPLETED,SOBOL,0.300000000000000044408920985006,14.000000000000000000000000000000,0.020000000000000000416333634234,1297,3285,4884,0.261570888242498023057436284944
75,75_0,COMPLETED,SOBOL,0.390000000000000013322676295502,10.000000000000000000000000000000,0.020000000000000000416333634234,3230,1360,1979,0.770449973211064897959943209571
