trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
375,375_0,RUNNING,SOBOL,,,,1030,281,47,374,0.556248601505532902500306136062
376,376_0,RUNNING,SOBOL,,,,803,3179,91,199,0.129963267885148531233241442351
377,377_0,RUNNING,SOBOL,,,,4701,2202,44,612,0.654293208239600021514092986763
378,378_0,RUNNING,SOBOL,,,,3321,4808,56,284,0.892216930743306879669773934438
379,379_0,RUNNING,SOBOL,,,,2194,707,5,900,0.383465513976290806041902214929
380,380_0,RUNNING,SOBOL,,,,1829,3938,38,807,0.336828317252919062774196845567
381,381_0,RUNNING,SOBOL,,,,2582,539,85,377,0.814377779059112016923904775467
382,382_0,RUNNING,SOBOL,,,,4327,3067,24,706,0.576682491781190020851965982729
383,383_0,RUNNING,SOBOL,,,,94,1544,74,104,0.083524049844592815339261449026
384,384_0,RUNNING,SOBOL,,,,117,4609,35,633,0.524630392562598024674969110492
385,385_0,RUNNING,SOBOL,,,,4303,1133,88,62,0.004194311188533902078068305030
