trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
111,111_0,FAILED,SOBOL,802,3414,2645,0.103932983191683883661404763643,0.792050850309431564433282346727,4.506238584532402668969552905764,str\(\'t-test\'\),str\(\'full\'\),2548
112,112_0,FAILED,SOBOL,723,1534,523,0.948373581707477542046547114296,0.132847694344818606504432523252,7.087930452411995041472891898593,str\(\'t-test\'\),str\(\'bounded\'\),3626
113,113_0,FAILED,SOBOL,4126,3134,3955,0.492582318626344217715740114727,0.729226617230102402977820474916,0.485649088229984093878499606944,str\(\'ks-test\'\),str\(\'full\'\),2043
114,114_0,FAILED,SOBOL,3531,803,2403,0.709716342439875025327467028546,0.880495034759864236839632667397,4.848561032550409599650720338104,str\(\'t-test\'\),str\(\'full\'\),242
115,115_0,FAILED,SOBOL,1319,3906,3354,0.222481554044410584358715254893,0.478630749583244308187346405248,7.696330714359880253994106169557,str\(\'ks-test\'\),str\(\'bounded\'\),4325
116,116_0,FAILED,SOBOL,2085,265,4582,0.009373925549909473825538341885,0.294341272508725548817665185197,5.437991890013218920785220689140,str\(\'t-test\'\),str\(\'full\'\),1201
117,117_0,FAILED,SOBOL,3076,4442,1138,0.559428189119324126288290699449,0.812367405563592881456713712396,1.960396126123145288389082452341,str\(\'ks-test\'\),str\(\'bounded\'\),4619
118,118_0,FAILED,SOBOL,4903,2073,2721,0.269704296581447122704844332475,0.544694913603365415966095497424,2.593326610546559329861793230521,str\(\'t-test\'\),str\(\'bounded\'\),2667
119,119_0,FAILED,SOBOL,259,2597,1797,0.788339780777692844537796190707,0.064964195234701038739189016269,9.815661064555868620118417311460,str\(\'ks-test\'\),str\(\'full\'\),1750
120,120_0,FAILED,SOBOL,395,1191,3000,0.602969917140901090490956448775,0.660667747439816599452910850232,8.318788629723712801933288574219,str\(\'t-test\'\),str\(\'full\'\),754
121,121_0,FAILED,SOBOL,4453,4102,1431,0.092405528366565709008639828426,0.196534465309232464491628888936,4.294684515196830254524229530944,str\(\'ks-test\'\),str\(\'bounded\'\),4835
122,122_0,FAILED,SOBOL,2588,1787,4850,0.861111716760322498664947943325,0.412263330671936267801669373512,1.157082818413153191272613184992,str\(\'t-test\'\),str\(\'bounded\'\),2881
123,123_0,FAILED,SOBOL,2261,3547,801,0.319615853300318109031508129192,0.945886903682723656494601982558,6.426185084350407805686700157821,str\(\'ks-test\'\),str\(\'full\'\),1299
124,124_0,FAILED,SOBOL,1768,2499,2066,0.419341178258880953322318418941,0.764522323612123688718611447257,9.168485786847769603014057793189,str\(\'t-test\'\),str\(\'bounded\'\),3173
125,125_0,FAILED,SOBOL,3394,2833,3623,0.898931262833997601902069618518,0.347060364255681652601026598859,3.269566974619403598723010873073,str\(\'ks-test\'\),str\(\'full\'\),2254
126,126_0,FAILED,SOBOL,3951,478,157,0.178495334118604659368045872725,0.014925758870318533294563323466,1.401560402248054781892960818368,str\(\'t-test\'\),str\(\'full\'\),461
127,127_0,FAILED,SOBOL,1211,4817,4233,0.627129198066890269913642441679,0.595707003857940398106052271032,6.045727142391727149117741646478,str\(\'ks-test\'\),str\(\'bounded\'\),3880
128,128_0,FAILED,SOBOL,1185,1379,2160,0.233058475295081723999146561255,0.117660564474761489273113568288,4.445857434682548792181933094980,str\(\'t-test\'\),str\(\'bounded\'\),2693
129,129_0,FAILED,SOBOL,3973,3291,3714,0.712909336583688824084958923777,0.527082325516268657139562492375,7.845325097063557073795436735963,str\(\'ks-test\'\),str\(\'full\'\),1736
130,130_0,FAILED,SOBOL,3378,645,300,0.489497591692954314712693530964,0.865063999732956334653977137350,7.212355836246163498515215906082,str\(\'t-test\'\),str\(\'full\'\),1176
131,131_0,FAILED,SOBOL,1781,4062,4373,0.937931577142327999041526709334,0.276728965118527403532766584249,0.068150750217959285559565785206,str\(\'ks-test\'\),str\(\'bounded\'\),4632
132,132_0,FAILED,SOBOL,2245,110,3103,0.790923896875232457226445603737,0.464916881551966088004235189146,3.108347430421039447878683859017,str\(\'t-test\'\),str\(\'full\'\),258
