trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
43,43_0,FAILED,SOBOL,3619,4409,4823,0.039699945390224457286709736081,0.703061347071081366166822590458,6.774370450502262386294205498416,str\(\'ks-test\'\),str\(\'full\'\),51
44,44_0,FAILED,SOBOL,2848,2166,2991,0.158927483933046453934423425380,0.562530138015747027679935854394,8.749944769853726711517083458602,str\(\'t-test\'\),str\(\'bounded\'\),3547
45,45_0,FAILED,SOBOL,1279,4220,893,0.529801769120618715191994851921,0.317392564700916424147436600833,3.364635164037347081489315314684,str\(\'ks-test\'\),str\(\'full\'\),924
46,46_0,FAILED,SOBOL,793,1033,4063,0.308315397685393677296161740742,0.006642678733915090977246720172,0.689995385807938954592088975915,str\(\'t-test\'\),str\(\'full\'\),2282
47,47_0,FAILED,SOBOL,4847,2540,2409,0.881852282339707027603026290308,0.750719340821728087220776615140,5.948140731628053679003187426133,str\(\'ks-test\'\),str\(\'bounded\'\),4650
48,48_0,FAILED,SOBOL,4742,1123,3288,0.075958846449851985527246256424,0.403997028216719622495389785399,3.610189668160863174506403083797,str\(\'ks-test\'\),str\(\'full\'\),4035
49,49_0,FAILED,SOBOL,674,2806,566,0.734362441945821009525730005407,0.650046399863436819011042189231,8.341117900724523082089945091866,str\(\'t-test\'\),str\(\'bounded\'\),1647
50,50_0,FAILED,SOBOL,1476,1944,4975,0.458767612766474486285517286888,0.960609975587576658817567931692,5.712484116250649890389468055218,str\(\'ks-test\'\),str\(\'bounded\'\),309
51,51_0,FAILED,SOBOL,3032,4173,1448,0.852013686157762961670414370019,0.215499692713841783930917017642,1.088886223033070477228534400638,str\(\'t-test\'\),str\(\'full\'\),2911
52,52_0,FAILED,SOBOL,3509,1773,741,0.980059077972546210943960431905,0.075463443377986549887026512806,4.114205097425729817928186093923,str\(\'ks-test\'\),str\(\'bounded\'\),665
53,53_0,FAILED,SOBOL,1936,4612,2839,0.328523879056796419551034205142,0.820574674300849404851021517970,8.776702083414420485496520996094,str\(\'t-test\'\),str\(\'full\'\),3610
54,54_0,FAILED,SOBOL,214,16,2247,0.614791376871988148877790081315,0.509280379487201617649816398625,6.526829838848673404072542325594,str\(\'ks-test\'\),str\(\'full\'\),4440
55,55_0,FAILED,SOBOL,4265,3557,3900,0.197226200060918926970643383356,0.263230059791356330034517441163,1.834805615947581847180458680668,str\(\'t-test\'\),str\(\'bounded\'\),2375
56,56_0,FAILED,SOBOL,4022,2399,2132,0.278376865042373522474150604467,0.731216331619769288607812995906,0.600194118368439388788715405099,str\(\'ks-test\'\),str\(\'bounded\'\),939
57,57_0,FAILED,SOBOL,574,3986,4253,0.905455854045227215287638955488,0.478280927820131207539589013322,5.262855298732407760553542175330,str\(\'t-test\'\),str\(\'full\'\),3337
58,58_0,FAILED,SOBOL,2279,642,1172,0.131363609874621034556696486106,0.165585615299642080477937611249,7.540881328530610439031534042442,str\(\'ks-test\'\),str\(\'full\'\),4714
59,59_0,FAILED,SOBOL,3205,2931,2800,0.555903729116544176314107517101,0.917460107872262620176684322360,2.848997460531070835543232533382,str\(\'t-test\'\),str\(\'bounded\'\),2102
60,60_0,FAILED,SOBOL,2745,497,4389,0.684093817394226810790769377491,0.808116547530516982078552246094,2.285655536008998733876751430216,str\(\'ks-test\'\),str\(\'full\'\),4309
61,61_0,FAILED,SOBOL,1802,3433,1641,0.001477708943188190413367544274,0.056243010442703959828047999281,7.016743195053190440546586614801,str\(\'t-test\'\),str\(\'bounded\'\),1373
62,62_0,FAILED,SOBOL,1051,1317,3561,0.786273137778043751389134286001,0.369182213248684998330162443381,9.536673188501037401465509901755,str\(\'ks-test\'\),str\(\'bounded\'\),583
63,63_0,FAILED,SOBOL,4482,4799,57,0.399758399087935700766394120365,0.622116661563515638277976904646,4.913220418079756512952371849678,str\(\'t-test\'\),str\(\'full\'\),2638
64,64_0,FAILED,SOBOL,4521,2286,3663,0.917520068261772347995020027156,0.980180692227557326390297021135,1.644436243505217110083549414412,str\(\'t-test\'\),str\(\'full\'\),5000
65,65_0,FAILED,SOBOL,1091,3826,296,0.267049554541707034882591642599,0.227333493813872328237479791824,6.404672650567256653175718383864,str\(\'ks-test\'\),str\(\'bounded\'\),1977
66,66_0,FAILED,SOBOL,1839,919,4638,0.551887840412557117986125376774,0.415522443806752572736940010145,8.918343273570760842972049431410,str\(\'t-test\'\),str\(\'bounded\'\),1225
67,67_0,FAILED,SOBOL,2786,3006,1754,0.135145599987357867277637524239,0.669430553447455167770385742188,4.284976038519293872752768947976,str\(\'ks-test\'\),str\(\'full\'\),3212
