trial_index,arm_name,trial_status,generation_method,result,n_reference_samples,recent_samples_proportion,threshold
146,146_0,COMPLETED,BoTorch,0.252582006753497401163599533902,50,0.816425129810199767810274806834,0.607291751826386172474769864493
147,147_0,COMPLETED,BoTorch,0.254169078630004818819543288555,56,0.584123401304225464691910474357,0.717028551053389806568816311483
148,148_0,COMPLETED,BoTorch,0.253681862035697092139230335306,50,0.381543826778766970164724625647,0.680889482027213777115548509755
149,49_0,COMPLETED,BoTorch,0.251646164978292286029670776770,50,1.000000000000000000000000000000,0.500000000000000000000000000000
150,150_0,COMPLETED,BoTorch,0.252026049204052138286158424307,50,0.339693000203483863597142544677,0.500000000000000000000000000000
151,151_0,COMPLETED,BoTorch,0.284767245537867808025112026371,190,0.527237577363848686218261718750,0.717803246807307004928588867188
152,152_0,COMPLETED,BoTorch,0.258572117703810944178144382022,73,0.920934926539291986991031535581,0.547321384955335665800646438583
153,153_0,COMPLETED,BoTorch,0.257685721177038140616843975295,74,0.906013477338800110594263514940,0.542320124778088885619808934280
154,154_0,COMPLETED,BoTorch,0.250962373371924729603676951228,50,0.276452012372551902963380143774,0.660016498504453319462470517465
155,49_0,COMPLETED,BoTorch,0.251435118186203565571190665651,50,1.000000000000000000000000000000,0.500000000000000000000000000000
156,156_0,COMPLETED,BoTorch,0.253064399421128793932211920037,50,0.340028095636878302521211026033,0.500000000000000000000000000000
157,157_0,COMPLETED,BoTorch,0.252709840810419694712152249849,50,0.100000000000000005551115123126,0.767562921840241108029090355558
158,49_0,COMPLETED,BoTorch,0.251314520019295661867886337859,50,1.000000000000000000000000000000,0.500000000000000000000000000000
159,49_0,COMPLETED,BoTorch,0.251314520019295661867886337859,50,1.000000000000000000000000000000,0.500000000000000000000000000000
160,160_0,COMPLETED,BoTorch,0.252604920405209876221874765179,50,0.766570525627019994097111066367,0.605870747656967911787262437429
161,161_0,COMPLETED,BoTorch,0.251097443318861524019780517847,50,0.347129110110642902231603557084,0.500000000000000000000000000000
162,49_0,COMPLETED,BoTorch,0.251315726000964745345811479638,50,1.000000000000000000000000000000,0.500000000000000000000000000000
163,163_0,COMPLETED,BoTorch,0.251587071876507528678246217169,51,0.650654112129341322123821100831,0.633951864513824348001946873410
164,164_0,COMPLETED,BoTorch,0.252083936324167923181960304646,50,0.100000000000000005551115123126,0.560565887599899670412639807182
165,165_0,COMPLETED,BoTorch,0.277680897250361824468711802183,155,0.496894221689799242547280755389,0.552302184659011263789807344438
166,166_0,COMPLETED,BoTorch,0.258174143753014950775082070322,74,0.905304960216311016552026558202,0.538042376024265411871283504297
167,49_0,COMPLETED,BoTorch,0.251449589966232567306292366993,50,1.000000000000000000000000000000,0.500000000000000000000000000000
168,168_0,COMPLETED,BoTorch,0.251383260974433198065014494205,50,0.357425099760597664300121323322,0.500000000000000000000000000000
169,169_0,COMPLETED,BoTorch,0.251075735648818132439430428349,50,0.562644323221510478383322606533,0.638035700168082309247097327898
170,170_0,COMPLETED,BoTorch,0.276395320791123944026423941978,152,0.255092379450798045770198996252,0.517569698113948151174668055319
171,171_0,COMPLETED,BoTorch,0.251357935359382556050888979371,50,0.366717189035585811041073611705,0.500000000000000000000000000000
172,172_0,COMPLETED,BoTorch,0.251871683550410008223252589232,50,0.361340662863280592809189784020,0.500000000000000000000000000000
173,49_0,COMPLETED,BoTorch,0.251445972021225316872516941658,50,1.000000000000000000000000000000,0.500000000000000000000000000000
174,174_0,COMPLETED,BoTorch,0.296993487698986924350208482792,328,0.251555677317082893029720480627,0.701927577704191230090202680003
175,175_0,COMPLETED,BoTorch,0.279448866377231097679612048523,175,0.123433384040146337801147069513,0.541190282904247421669197137817
176,176_0,COMPLETED,BoTorch,0.264456102267245585224486603693,93,0.440465000259538608240461599053,0.530974039488364524252972387330
