trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
108,,,,,,,,,,,,,,,108_0,COMPLETED,SOBOL,80.000000000000000000000000000000,0.000000000000000000000000000000,911,4788,0.008477826725691556264408177412,10,0.01
109,,,,,,,,,,,,,,,109_0,COMPLETED,SOBOL,32.000000000000000000000000000000,53.539999999999999147348717087880,4546,378,0.745588744318112728315384174493,38,0.25
110,,,,,,,,,,,,,,,110_0,COMPLETED,SOBOL,4.000000000000000000000000000000,8.410000000000000142108547152020,2811,3203,0.789744526548311065461405178212,36,0.01
111,,,,,,,,,,,,,,,111_0,COMPLETED,SOBOL,285.000000000000000000000000000000,9.580000000000000071054273576010,1445,1363,0.458196742195636053107676843865,14,0.001
112,,,,,,,,,,,,,,,112_0,COMPLETED,SOBOL,259.000000000000000000000000000000,2.399999999999999911182158029987,1368,3437,0.843034058526158314172960217547,16,0.001
113,,,,,,,,,,,,,,,113_0,COMPLETED,SOBOL,6.000000000000000000000000000000,16.390000000000000568434188608080,2577,1440,0.410001267792656998167899473628,37,0.25
114,,,,,,,,,,,,,,,114_0,COMPLETED,SOBOL,3.000000000000000000000000000000,2.609999999999999875655021241982,4468,4866,0.111251576701179147321774109969,40,0.1
115,,,,,,,,,,,,,,,115_0,COMPLETED,SOBOL,16.000000000000000000000000000000,32.079999999999998294697434175760,678,612,0.637721234194934316619196579268,12,0.01
116,,,,,,,,,,,,,,,116_0,COMPLETED,SOBOL,3.000000000000000000000000000000,3.229999999999999982236431605997,353,4331,0.252547657851129758732611207961,50,0.025
117,,,,,,,,,,,,,,,117_0,COMPLETED,SOBOL,11.000000000000000000000000000000,23.100000000000001421085471520200,4143,1172,0.997329817203804869230054919171,3,0.1
118,,,,,,,,,,,,,,,118_0,COMPLETED,SOBOL,8.000000000000000000000000000000,8.000000000000000000000000000000,3502,2722,0.543853281131014276716939548351,24,0.005
119,,,,,,,,,,,,,,,119_0,COMPLETED,SOBOL,4.000000000000000000000000000000,13.650000000000000355271367880050,2293,2131,0.204382988538593046712321665836,28,0.05
120,,,,,,,,,,,,,,,120_0,COMPLETED,SOBOL,3.000000000000000000000000000000,0.959999999999999964472863211995,1936,4433,0.706271206265315365513401957287,31,0.1
121,,,,,,,,,,,,,,,121_0,COMPLETED,SOBOL,62.000000000000000000000000000000,21.239999999999998436805981327780,3223,93,0.047741500716656448677355228938,21,0.01
122,,,,,,,,,,,,,,,122_0,COMPLETED,SOBOL,247.000000000000000000000000000000,9.740000000000000213162820728030,3796,3518,0.497328120578080401514853292610,7,0.005
123,,,,,,,,,,,,,,,123_0,COMPLETED,SOBOL,4.000000000000000000000000000000,15.189999999999999502620084967930,85,1608,0.750545959366485493369225423521,47,0.025
124,,,,,,,,,,,,,,,124_0,COMPLETED,SOBOL,124.000000000000000000000000000000,1.899999999999999911182158029987,1034,2827,0.139654422188177695929311994405,9,0.001
125,,,,,,,,,,,,,,,125_0,COMPLETED,SOBOL,6.000000000000000000000000000000,8.740000000000000213162820728030,4745,2324,0.611184759117662901317657997424,43,0.05
126,,,,,,,,,,,,,,,126_0,COMPLETED,SOBOL,4.000000000000000000000000000000,4.570000000000000284217094304040,2923,3875,0.906059732526540706487594434293,34,0.05
127,,,,,,,,,,,,,,,127_0,COMPLETED,SOBOL,15.000000000000000000000000000000,32.750000000000000000000000000000,1636,627,0.341092528836801633929098898079,19,0.25
128,,,,,,,,,,,,,,,128_0,COMPLETED,SOBOL,195.000000000000000000000000000000,4.129999999999999893418589635985,1602,3249,0.236529730223119266652176406751,21,0.001
129,,,,,,,,,,,,,,,129_0,COMPLETED,SOBOL,7.000000000000000000000000000000,14.869999999999999218402990663890,2893,1252,0.513625026533380157900410267757,30,0.1
130,,,,,,,,,,,,,,,130_0,COMPLETED,SOBOL,3.000000000000000000000000000000,1.229999999999999982236431605997,4752,4702,0.967132026584819004533244424238,47,0.025
131,,,,,,,,,,,,,,,131_0,COMPLETED,SOBOL,35.000000000000000000000000000000,38.770000000000003126388037344441,1042,449,0.284724863514304149525457887648,6,0.005
132,,,,,,,,,,,,,,,132_0,COMPLETED,SOBOL,3.000000000000000000000000000000,2.959999999999999964472863211995,117,4143,0.667919006224721667486221576837,43,0.05
133,,,,,,,,,,,,,,,133_0,COMPLETED,SOBOL,59.000000000000000000000000000000,10.609999999999999431565811391920,3827,984,0.079074345013126726144925271456,9,0.01
134,,,,,,,,,,,,,,,134_0,COMPLETED,SOBOL,5.000000000000000000000000000000,9.429999999999999715782905695960,3218,2559,0.377854485211893909024638560368,18,0.025
135,,,,,,,,,,,,,,,135_0,COMPLETED,SOBOL,7.000000000000000000000000000000,10.029999999999999360511537815910,1927,1968,0.873262279663234997073573140369,35,0.01
136,,,,,,,,,,,,,,,136_0,COMPLETED,SOBOL,3.000000000000000000000000000000,6.750000000000000000000000000000,2284,4597,0.373269979877397406475836305617,38,0.25
137,,,,,,,,,,,,,,,137_0,COMPLETED,SOBOL,34.000000000000000000000000000000,95.189999999999997726263245567679,3496,256,0.875862187284976223544674667210,15,0.01
138,,,,,,,,,,,,,,,138_0,COMPLETED,SOBOL,320.000000000000000000000000000000,1.270000000000000017763568394003,4174,3706,0.580956735026091353191191046790,12,0.001
139,,,,,,,,,,,,,,,139_0,COMPLETED,SOBOL,136.000000000000000000000000000000,16.500000000000000000000000000000,386,1796,0.171801394378766431048077834021,40,0.1
140,,,,,,,,,,,,,,,140_0,COMPLETED,SOBOL,4.000000000000000000000000000000,5.080000000000000071054273576010,686,2990,0.780773935126140683493645155977,3,0.1
141,,,,,,,,,,,,,,,141_0,COMPLETED,SOBOL,6.000000000000000000000000000000,7.639999999999999680255768907955,4474,2488,0.465181092619895930617701651499,50,0.05
142,,,,,,,,,,,,,,,142_0,COMPLETED,SOBOL,3.000000000000000000000000000000,3.209999999999999964472863211995,2546,4063,0.015564038522541522729936147584,27,0.1
143,,,,,,,,,,,,,,,143_0,COMPLETED,SOBOL,29.000000000000000000000000000000,22.149999999999998578914528479800,1334,815,0.736468747789040256712667087413,25,0.005
144,,,,,,,,,,,,,,,144_0,COMPLETED,SOBOL,4.000000000000000000000000000000,2.509999999999999786837179271970,1413,3828,0.118204414715990427375835736257,23,0.025
145,,,,,,,,,,,,,,,145_0,COMPLETED,SOBOL,17.000000000000000000000000000000,26.420000000000001705302565824240,2780,737,0.628719130363315392706624606944,26,0.005
146,,,,,,,,,,,,,,,146_0,COMPLETED,SOBOL,5.000000000000000000000000000000,33.420000000000001705302565824240,4552,2912,0.833945336464792519315381014167,48,0.01
147,,,,,,,,,,,,,,,147_0,COMPLETED,SOBOL,6.000000000000000000000000000000,6.660000000000000142108547152020,921,2254,0.417118754057213658725800087268,2,0.001
148,,,,,,,,,,,,,,,148_0,COMPLETED,SOBOL,4.000000000000000000000000000000,4.070000000000000284217094304040,620,3472,0.536682488480582864376344787161,39,0.01
149,,,,,,,,,,,,,,,149_0,COMPLETED,SOBOL,128.000000000000000000000000000000,118.810000000000002273736754432321,4251,1718,0.213418404214084145298357952925,10,0.001
150,,,,,,,,,,,,,,,150_0,COMPLETED,SOBOL,1798.000000000000000000000000000000,0.790000000000000035527136788005,3730,4519,0.261481241896748539677020062300,14,0.01
151,,,,,,,,,,,,,,,151_0,FAILED,SOBOL,,,2362,22,0.990308459402993279674376481125,36,0.1
152,,,,,,,,,,,,,,,152_0,COMPLETED,SOBOL,3.000000000000000000000000000000,7.679999999999999715782905695960,2162,2793,0.488424981921911249838075264051,33,0.01
153,,,,,,,,,,,,,,,153_0,COMPLETED,SOBOL,139.000000000000000000000000000000,8.900000000000000355271367880050,3296,2045,0.757597769992426006702146423777,18,0.001
154,,,,,,,,,,,,,,,154_0,COMPLETED,SOBOL,4.000000000000000000000000000000,6.459999999999999964472863211995,4061,4221,0.713411553526297259608668355213,7,0.25
155,,,,,,,,,,,,,,,155_0,COMPLETED,SOBOL,26.000000000000000000000000000000,17.059999999999998721023075631820,196,1218,0.038675632216036322230667821032,42,0.025
156,,,,,,,,,,,,,,,156_0,COMPLETED,SOBOL,3.000000000000000000000000000000,4.009999999999999786837179271970,1121,4937,0.915178922284394458230849522806,5,0.025
157,,,,,,,,,,,,,,,157_0,COMPLETED,SOBOL,44.000000000000000000000000000000,46.990000000000001989519660128281,4986,527,0.334005502833053469213808739369,45,0.005
158,,,,,,,,,,,,,,,158_0,COMPLETED,SOBOL,4.000000000000000000000000000000,2.399999999999999911182158029987,2971,3327,0.132671116476878514500725714242,29,0.05
159,,,,,,,,,,,,,,,159_0,COMPLETED,SOBOL,263.000000000000000000000000000000,4.700000000000000177635683940025,1837,1487,0.620156402688473495921073208592,19,0.001
160,,,,,,,,,,,,,,,160_0,COMPLETED,SOBOL,29.000000000000000000000000000000,1.199999999999999955591079014994,1734,4829,0.200939142454415548000312696786,9,0.025
161,,,,,,,,,,,,,,,161_0,COMPLETED,SOBOL,2239.000000000000000000000000000000,51.390000000000000568434188608080,3099,341,0.548202978862449508135057385516,44,0.001
162,,,,,,,,,,,,,,,162_0,COMPLETED,SOBOL,305.000000000000000000000000000000,2.700000000000000177635683940025,4882,3161,0.971478038078174011005216925696,33,0.001
163,,,,,,,,,,,,,,,163_0,COMPLETED,SOBOL,8.000000000000000000000000000000,14.449999999999999289457264239900,1249,1399,0.281269720774143916486309535685,18,0.05
164,,,,,,,,,,,,,,,164_0,COMPLETED,SOBOL,4.000000000000000000000000000000,3.509999999999999786837179271970,299,2608,0.641092745989561119124289234605,32,0.005
165,,,,,,,,,,,,,,,165_0,COMPLETED,SOBOL,7.000000000000000000000000000000,13.119999999999999218402990663890,3933,1938,0.106821930544450882649698542082,22,0.25
166,,,,,,,,,,,,,,,166_0,COMPLETED,SOBOL,10.000000000000000000000000000000,7.820000000000000284217094304040,3400,4133,0.435811169171705814484596430702,6,0.01
167,,,,,,,,,,,,,,,167_0,COMPLETED,SOBOL,4.000000000000000000000000000000,22.239999999999998436805981327780,2034,1052,0.814262503720819985630896553630,46,0.25
168,,,,,,,,,,,,,,,168_0,COMPLETED,SOBOL,18.000000000000000000000000000000,2.450000000000000177635683940025,2468,3638,0.314308263460174208692166075707,49,0.005
169,,,,,,,,,,,,,,,169_0,COMPLETED,SOBOL,7.000000000000000000000000000000,24.980000000000000426325641456060,3599,1806,0.933856923334300481620573464170,2,0.25
170,,,,,,,,,,,,,,,170_0,COMPLETED,SOBOL,4.000000000000000000000000000000,1.860000000000000097699626167014,4357,4626,0.608788087204098715687905496452,25,0.01
171,,,,,,,,,,,,,,,171_0,COMPLETED,SOBOL,18.000000000000000000000000000000,119.230000000000003979039320256561,489,207,0.145058908225968480332213061956,28,0.025
172,,,,,,,,,,,,,,,172_0,COMPLETED,SOBOL,4.000000000000000000000000000000,2.629999999999999893418589635985,814,3916,0.777372102489694905003148051037,15,0.25
173,,,,,,,,,,,,,,,173_0,COMPLETED,SOBOL,12.000000000000000000000000000000,24.390000000000000568434188608080,4682,903,0.469580421652644852681390830185,36,0.1
174,,,,,,,,,,,,,,,174_0,COMPLETED,SOBOL,216.000000000000000000000000000000,2.609999999999999875655021241982,2674,3098,0.050210506919771434597432602231,41,0.001
175,,,,,,,,,,,,,,,175_0,COMPLETED,SOBOL,6.000000000000000000000000000000,7.589999999999999857891452847980,1543,2361,0.700946668652817628242246428272,12,0.025
176,,,,,,,,,,,,,,,176_0,COMPLETED,SOBOL,4.000000000000000000000000000000,9.759999999999999786837179271970,1308,2863,0.068056030677631496050850046231,11,0.25
177,,,,,,,,,,,,,,,177_0,COMPLETED,SOBOL,4.000000000000000000000000000000,7.889999999999999680255768907955,2597,2283,0.679925834655761729408141036402,39,0.01
178,,,,,,,,,,,,,,,178_0,COMPLETED,SOBOL,4.000000000000000000000000000000,2.069999999999999840127884453977,4448,3838,0.852970910914242264055928899324,36,0.025
179,,,,,,,,,,,,,,,179_0,COMPLETED,SOBOL,45.000000000000000000000000000000,29.559999999999998721023075631820,736,668,0.397156626040115978693023635060,13,0.005
180,,,,,,,,,,,,,,,180_0,COMPLETED,SOBOL,722.000000000000000000000000000000,0.000000000000000000000000000000,411,4392,0.524535791201516943260685366113,26,0.001
181,,,,,,,,,,,,,,,181_0,COMPLETED,SOBOL,97.000000000000000000000000000000,11.009999999999999786837179271970,4124,130,0.224659004468470813176139699863,24,0.25
182,,,,,,,,,,,,,,,182_0,COMPLETED,SOBOL,6.000000000000000000000000000000,4.370000000000000106581410364015,3522,3560,0.304880129586905246341643760388,1,0.1
183,,,,,,,,,,,,,,,183_0,COMPLETED,SOBOL,82.000000000000000000000000000000,13.230000000000000426325641456060,2234,1572,0.947937435423955365720871668600,48,0.001
184,,,,,,,,,,,,,,,184_0,COMPLETED,SOBOL,93.000000000000000000000000000000,6.750000000000000000000000000000,1955,4367,0.445970221038907765898073876087,45,0.001
185,,,,,,,,,,,,,,,185_0,COMPLETED,SOBOL,9.000000000000000000000000000000,15.109999999999999431565811391920,3165,1131,0.800912913342937793359510578739,4,0.05
186,,,,,,,,,,,,,,,186_0,COMPLETED,SOBOL,11.000000000000000000000000000000,7.730000000000000426325641456060,3855,2685,0.724614064512774325166333255765,21,0.005
187,,,,,,,,,,,,,,,187_0,COMPLETED,SOBOL,87.000000000000000000000000000000,5.330000000000000071054273576010,64,2172,0.026490853104740381268600302178,30,0.01
188,,,,,,,,,,,,,,,188_0,COMPLETED,SOBOL,5.000000000000000000000000000000,2.759999999999999786837179271970,1014,3396,0.895148248456418493823605331272,16,0.005
189,,,,,,,,,,,,,,,189_0,COMPLETED,SOBOL,9.000000000000000000000000000000,16.649999999999998578914528479800,4805,1477,0.352962538907304390622954315404,32,0.025
190,,,,,,,,,,,,,,,190_0,COMPLETED,SOBOL,3.000000000000000000000000000000,1.050000000000000044408920985006,2865,4908,0.183824540408328185314701386233,42,0.25
191,,,,,,,,,,,,,,,191_0,COMPLETED,SOBOL,47.000000000000000000000000000000,46.719999999999998863131622783840,1655,576,0.569954730853438396032117907453,8,0.005
192,,,,,,,,,,,,,,,192_0,COMPLETED,SOBOL,4.000000000000000000000000000000,2.330000000000000071054273576010,1701,4077,0.155844788799062383688465160958,40,0.25
193,,,,,,,,,,,,,,,193_0,COMPLETED,SOBOL,278.000000000000000000000000000000,5.549999999999999822364316059975,2834,1074,0.596183342777192537553787587967,11,0.001
