trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
1218,1754734160.000000000000000000000000000000,1754743422.000000000000000000000000000000,9262.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3830 n_samples 336 k_neighbors 91 n_permutations 157 significance_level 0.22419817730598152,0.000000000000000000000000000000,,i7164,9223.000000000000000000000000000000,562.417968750000000000000000000000,509.604213169642775937973055988550,-1.000000000000000000000000000000,0.320000000000000006661338147751,1.624875000000000069277916736610,5779391.000000000000000000000000000000,1218_0,COMPLETED,SOBOL,9223.000000000000000000000000000000,2.419999999999999928945726423990,3830,336,91,157,0.224198177305981516393984520619
1219,,,,,,,,,,,,,,,1219_0,FAILED,SOBOL,,,4447,4687,70,15,0.080802177561447030562646887120
1220,,,,,,,,,,,,,,,1220_0,FAILED,SOBOL,,,1234,1120,44,719,0.622393464954569930469574501330
1221,,,,,,,,,,,,,,,1221_0,FAILED,SOBOL,,,1672,3418,76,269,0.750692918134853282019491871324
1222,,,,,,,,,,,,,,,1222_0,FAILED,SOBOL,,,2678,2349,12,941,0.294653431626036743651297911128
1223,,,,,,,,,,,,,,,1223_0,FAILED,SOBOL,,,2752,4510,48,532,0.535654055010527319069524310180
1224,,,,,,,,,,,,,,,1224_0,FAILED,SOBOL,,,1571,946,65,202,0.009656041733920574243743573106
1225,,,,,,,,,,,,,,,1225_0,FAILED,SOBOL,,,1150,3279,4,754,0.363851521681994194423737098987
1226,,,,,,,,,,,,,,,1226_0,FAILED,SOBOL,,,4499,2216,85,456,0.835484282307326742156305954268
1227,,,,,,,,,,,,,,,1227_0,FAILED,SOBOL,,,3789,2808,51,372,0.980344114519655751571747259732
1228,,,,,,,,,,,,,,,1228_0,FAILED,SOBOL,,,576,1739,38,920,0.438292138453573010270503118591
1229,,,,,,,,,,,,,,,1229_0,FAILED,SOBOL,,,2340,4038,95,95,0.184239556349813926594549684523
1230,,,,,,,,,,,,,,,1230_0,FAILED,SOBOL,,,3345,470,18,674,0.640800577696412854145080473245
1231,,,,,,,,,,,,,,,1231_0,FAILED,SOBOL,,,3640,3481,94,955,0.094925191065296538051043739870
1232,,,,,,,,,,,,,,,1232_0,FAILED,SOBOL,,,2009,1965,20,251,0.574237168217077820209226501902
1233,,,,,,,,,,,,,,,1233_0,FAILED,SOBOL,,,242,4749,61,701,0.796797205289825782870138937142
1234,1754738094.000000000000000000000000000000,1754744280.000000000000000000000000000000,6186.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4081 n_samples 735 k_neighbors 26 n_permutations 28 significance_level 0.27871444674767554,0.000000000000000000000000000000,,i7092,6159.000000000000000000000000000000,594.566406250000000000000000000000,551.974160598705452684953343123198,-1.000000000000000000000000000000,0.320000000000000006661338147751,1.622374999999999900524016993586,5779407.000000000000000000000000000000,1234_0,COMPLETED,SOBOL,6159.000000000000000000000000000000,7.259999999999999786837179271970,4081,735,26,28,0.278714446747675537174870896706
1235,,,,,,,,,,,,,,,1235_0,FAILED,SOBOL,,,4831,4284,8,175,0.414302269259467725870393906007
1236,1754738460.000000000000000000000000000000,1754744239.000000000000000000000000000000,5779.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 855 n_samples 273 k_neighbors 79 n_permutations 597 significance_level 0.8785339337941259,0.000000000000000000000000000000,,i7088,5752.000000000000000000000000000000,553.992187500000000000000000000000,517.384396663778147740231361240149,-1.000000000000000000000000000000,0.320000000000000006661338147751,1.624749999999999916511228548188,5779409.000000000000000000000000000000,1236_0,COMPLETED,SOBOL,5752.000000000000000000000000000000,2.029999999999999804600747665972,855,273,79,597,0.878533933794125920790918371495
1237,,,,,,,,,,,,,,,1237_0,FAILED,SOBOL,,,1279,3014,41,421,0.742468694189563405139153928758
1238,,,,,,,,,,,,,,,1238_0,FAILED,SOBOL,,,3086,1504,73,875,0.208338627791032182656749682792
1239,,,,,,,,,,,,,,,1239_0,FAILED,SOBOL,,,2834,2920,24,86,0.871908248944208041919523566321
1240,,,,,,,,,,,,,,,1240_0,FAILED,SOBOL,,,1516,1324,89,632,0.330343547822907590560959079085
1241,,,,,,,,,,,,,,,1241_0,FAILED,SOBOL,,,766,4150,32,324,0.045101651413366201925914111825
