trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
1001,1754108469.000000000000000000000000000000,1754108569.000000000000000000000000000000,100.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 4764 batch_size 235 gamma 8.930992665950209 alpha 0.04427520204754547 use_mmd2 True use_k2s_test True,0.000000000000000000000000000000,,i7114,88.000000000000000000000000000000,671.695312500000000000000000000000,606.774502840909121914592105895281,-1.000000000000000000000000000000,0.340000000000000024424906541753,1.365750000000000019539925233403,5738793.000000000000000000000000000000,1001_0,COMPLETED,SOBOL,88.000000000000000000000000000000,70.030000000000001136868377216160,4764,235,8.930992665950208575509350339416,0.044275202047545467176625777483,True,True
1002,1754108505.000000000000000000000000000000,1754111222.000000000000000000000000000000,2717.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 2770 batch_size 4971 gamma 0.24704881002381446 alpha 0.014500021884683521 use_mmd2 True use_k2s_test True,0.000000000000000000000000000000,,i7113,2691.000000000000000000000000000000,2816.996093750000000000000000000000,1992.972858048892931037698872387409,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.992874999999999952038365336193,5738799.000000000000000000000000000000,1002_0,COMPLETED,SOBOL,2691.000000000000000000000000000000,3.140000000000000124344978758018,2770,4971,0.247048810023814457981217174165,0.014500021884683520975722892388,True,True
1003,1754108512.000000000000000000000000000000,1754108530.000000000000000000000000000000,18.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 1989 batch_size 2492 gamma 5.127167607397773 alpha 0.03468017147481442 use_mmd2 False use_k2s_test False,0.000000000000000000000000000000,,i7113,0.000000000000000000000000000000,553.882812500000000000000000000000,553.216145833333371228945907205343,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5738804.000000000000000000000000000000,1003_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1989,2492,5.127167607397772997046558884904,0.034680171474814419640964047176,False,False
1004,1754108530.000000000000000000000000000000,1754108542.000000000000000000000000000000,12.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 1576 batch_size 3777 gamma 8.31433002421353 alpha 0.030021398380398752 use_mmd2 False use_k2s_test False,0.000000000000000000000000000000,,i7114,0.000000000000000000000000000000,550.917968750000000000000000000000,550.917968750000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5738809.000000000000000000000000000000,1004_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1576,3777,8.314330024213530734300547919702,0.030021398380398751914999166956,False,False
1005,1754108550.000000000000000000000000000000,1754109494.000000000000000000000000000000,944.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 3608 batch_size 1258 gamma 3.189947211164981 alpha 0.019074206153396518 use_mmd2 True use_k2s_test True,0.000000000000000000000000000000,,i7113,927.000000000000000000000000000000,798.796875000000000000000000000000,704.619736842105226060084532946348,-1.000000000000000000000000000000,0.330000000000000015543122344752,1.322624999999999939603867460391,5738815.000000000000000000000000000000,1005_0,COMPLETED,SOBOL,927.000000000000000000000000000000,11.320000000000000284217094304040,3608,1258,3.189947211164981144548846714315,0.019074206153396517510190122380,True,True
1006,1754108571.000000000000000000000000000000,1754110509.000000000000000000000000000000,1938.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 3882 batch_size 3538 gamma 7.003620086256415 alpha 0.03956808320851997 use_mmd2 True use_k2s_test True,0.000000000000000000000000000000,,i7112,1914.000000000000000000000000000000,1702.917968750000000000000000000000,1364.538760470360784893273375928402,-1.000000000000000000000000000000,0.330000000000000015543122344752,1.076875000000000026645352591004,5738819.000000000000000000000000000000,1006_0,COMPLETED,SOBOL,1914.000000000000000000000000000000,5.639999999999999680255768907955,3882,3538,7.003620086256415078196368995123,0.039568083208519969073968525208,True,True
1007,1754108589.000000000000000000000000000000,1754108601.000000000000000000000000000000,12.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 913 batch_size 1020 gamma 2.119076142446138 alpha 0.010299995509907605 use_mmd2 False use_k2s_test False,0.000000000000000000000000000000,,i7112,0.000000000000000000000000000000,553.664062500000000000000000000000,553.664062500000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.127500000000000002220446049250,5738825.000000000000000000000000000000,1007_0,COMPLETED,SOBOL,0.000000000000000000000000000000,2.750000000000000000000000000000,913,1020,2.119076142446138177888315112796,0.010299995509907605012456244253,False,False
1008,1754108611.000000000000000000000000000000,1754111123.000000000000000000000000000000,2512.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 736 batch_size 3629 gamma 9.063426036314107 alpha 0.03164850774034858 use_mmd2 True use_k2s_test True,0.000000000000000000000000000000,,i7113,2500.000000000000000000000000000000,1765.285156250000000000000000000000,1412.120272197420717930071987211704,-1.000000000000000000000000000000,0.330000000000000015543122344752,1.110999999999999987565502124198,5738828.000000000000000000000000000000,1008_0,COMPLETED,SOBOL,2500.000000000000000000000000000000,2.549999999999999822364316059975,736,3629,9.063426036314107037128451338504,0.031648507740348580385969512463,True,True
1009,1754108630.000000000000000000000000000000,1754108643.000000000000000000000000000000,13.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 4017 batch_size 1110 gamma 4.276681689623744 alpha 0.017845700612757358 use_mmd2 False use_k2s_test False,0.000000000000000000000000000000,,i7115,0.000000000000000000000000000000,550.847656250000000000000000000000,550.847656250000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5738830.000000000000000000000000000000,1009_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4017,1110,4.276681689623743842787462199340,0.017845700612757357805815416896,False,False
1010,1754108650.000000000000000000000000000000,1754108662.000000000000000000000000000000,12.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 3511 batch_size 4018 gamma 5.609904704649002 alpha 0.04762449800269679 use_mmd2 False use_k2s_test False,0.000000000000000000000000000000,,i7115,0.000000000000000000000000000000,552.882812500000000000000000000000,552.216145833333371228945907205343,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5738834.000000000000000000000000000000,1010_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3511,4018,5.609904704649001594418677996146,0.047624498002696788456766796571,False,False
1011,1754108670.000000000000000000000000000000,1754109750.000000000000000000000000000000,1080.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 1791 batch_size 1499 gamma 0.42708603349421176 alpha 0.0026425857935100795 use_mmd2 True use_k2s_test True,0.000000000000000000000000000000,,i7113,1069.000000000000000000000000000000,834.730468750000000000000000000000,755.128046158256893249927088618279,-1.000000000000000000000000000000,0.330000000000000015543122344752,1.249125000000000040856207306206,5738837.000000000000000000000000000000,1011_0,COMPLETED,SOBOL,1069.000000000000000000000000000000,7.299999999999999822364316059975,1791,1499,0.427086033494211758654302002469,0.002642585793510079505280740975,True,True
1012,1754108699.000000000000000000000000000000,1754110989.000000000000000000000000000000,2290.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 2165 batch_size 4735 gamma 3.633627558500506 alpha 0.007361789593473075 use_mmd2 True use_k2s_test True,0.000000000000000000000000000000,,i7112,2279.000000000000000000000000000000,2613.250000000000000000000000000000,1917.801834239130357673275284469128,-1.000000000000000000000000000000,0.340000000000000024424906541753,0.933875000000000010658141036402,5738840.000000000000000000000000000000,1012_0,COMPLETED,SOBOL,2279.000000000000000000000000000000,2.890000000000000124344978758018,2165,4735,3.633627558500506005145780363819,0.007361789593473075030138907948,True,True
1013,1754108729.000000000000000000000000000000,1754108741.000000000000000000000000000000,12.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 2634 batch_size 2255 gamma 8.455311577994376 alpha 0.04301406475203112 use_mmd2 False use_k2s_test False,0.000000000000000000000000000000,,i7116,0.000000000000000000000000000000,551.503906250000000000000000000000,551.503906250000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5738843.000000000000000000000000000000,1013_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2634,2255,8.455311577994375937805671128444,0.043014064752031122562669906984,False,False
1014,1754108739.000000000000000000000000000000,1754108751.000000000000000000000000000000,12.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 4859 batch_size 2619 gamma 2.2905710306204856 alpha 0.02251655866811052 use_mmd2 False use_k2s_test False,0.000000000000000000000000000000,,i7112,0.000000000000000000000000000000,553.753906250000000000000000000000,553.087239583333371228945907205343,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5738846.000000000000000000000000000000,1014_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4859,2619,2.290571030620485615258985490073,0.022516558668110520785576866842,False,False
1015,1754108771.000000000000000000000000000000,1754108852.000000000000000000000000000000,81.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 328 batch_size 140 gamma 7.497343064860441 alpha 0.02708640843257308 use_mmd2 True use_k2s_test True,0.000000000000000000000000000000,,i7114,71.000000000000000000000000000000,650.656250000000000000000000000000,599.178515625000045474735088646412,-1.000000000000000000000000000000,0.340000000000000024424906541753,1.360125000000000028421709430404,5738849.000000000000000000000000000000,1015_0,COMPLETED,SOBOL,71.000000000000000000000000000000,12.369999999999999218402990663890,328,140,7.497343064860441330665707937442,0.027086408432573080840022328175,True,True
1016,1754108789.000000000000000000000000000000,1754111160.000000000000000000000000000000,2371.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 265 batch_size 4242 gamma 1.843565411943011 alpha 0.038878707190975546 use_mmd2 False use_k2s_test True,0.000000000000000000000000000000,,i7116,2357.000000000000000000000000000000,2208.398437500000000000000000000000,1687.282349658613384235650300979614,-1.000000000000000000000000000000,0.340000000000000024424906541753,1.340875000000000039079850466806,5738850.000000000000000000000000000000,1016_0,COMPLETED,SOBOL,2357.000000000000000000000000000000,3.560000000000000053290705182008,265,4242,1.843565411943010934336939499190,0.038878707190975546337252666262,False,True
1017,1754108797.000000000000000000000000000000,1754108823.000000000000000000000000000000,26.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 4484 batch_size 1723 gamma 6.655336419524626 alpha 0.012652583454269917 use_mmd2 True use_k2s_test False,0.000000000000000000000000000000,,i7115,13.000000000000000000000000000000,574.214843750000000000000000000000,562.322265625000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5738851.000000000000000000000000000000,1017_0,COMPLETED,SOBOL,13.000000000000000000000000000000,0.000000000000000000000000000000,4484,1723,6.655336419524625846122489747358,0.012652583454269917054291205716,True,False
1018,1754108863.000000000000000000000000000000,1754108901.000000000000000000000000000000,38.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 3039 batch_size 3387 gamma 2.8406634785104545 alpha 0.029282152997795494 use_mmd2 True use_k2s_test False,0.000000000000000000000000000000,,i7111,7.000000000000000000000000000000,572.613281250000000000000000000000,557.878906250000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5738853.000000000000000000000000000000,1018_0,COMPLETED,SOBOL,7.000000000000000000000000000000,0.000000000000000000000000000000,3039,3387,2.840663478510454531544837664114,0.029282152997795494325794507517,True,False
1019,1754108849.000000000000000000000000000000,1754109426.000000000000000000000000000000,577.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 2259 batch_size 868 gamma 8.037533154102974 alpha 0.021473603866994383 use_mmd2 False use_k2s_test True,0.000000000000000000000000000000,,i7115,568.000000000000000000000000000000,746.855468750000000000000000000000,640.475304555084790081309620290995,-1.000000000000000000000000000000,0.330000000000000015543122344752,1.269125000000000058619775700208,5738854.000000000000000000000000000000,1019_0,COMPLETED,SOBOL,568.000000000000000000000000000000,20.129999999999999005240169935860,2259,868,8.037533154102973753651895094663,0.021473603866994383365662812935,False,True
