trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
7983,,,,,,,,,,,,,,,7983_0,ABANDONED,SOBOL,,,3937,1,318,250,455
7984,,,,,,,,,,,,,,,7984_0,ABANDONED,SOBOL,,,3845,4,46,1361,1468
7985,,,,,,,,,,,,,,,7985_0,ABANDONED,SOBOL,,,561,1,451,731,937
7986,1754087036.000000000000000000000000000000,1754087049.000000000000000000000000000000,13.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 2465 feature_id 2 p 242 big_windowSize 1535 small_windowSize 91,1.000000000000000000000000000000,,i7182,5736616.000000000000000000000000000000,,,,,,,7986_0,FAILED,SOBOL,,,2465,2,242,1535,91
7987,,,,,,,,,,,,,,,7987_0,ABANDONED,SOBOL,,,3248,0,271,432,1560
7988,,,,,,,,,,,,,,,7988_0,ABANDONED,SOBOL,,,2913,3,388,123,1852
7989,,,,,,,,,,,,,,,7989_0,ABANDONED,SOBOL,,,1514,1,110,1975,260
7990,,,,,,,,,,,,,,,7990_0,ABANDONED,SOBOL,,,936,4,334,796,729
7991,,,,,,,,,,,,,,,7991_0,ABANDONED,SOBOL,,,4835,2,178,1176,1137
7992,,,,,,,,,,,,,,,7992_0,ABANDONED,SOBOL,,,4504,3,362,1806,804
7993,,,,,,,,,,,,,,,7993_0,ABANDONED,SOBOL,,,1231,0,143,161,1336
7994,,,,,,,,,,,,,,,7994_0,ABANDONED,SOBOL,,,1805,3,415,1105,1677
7995,1754087096.000000000000000000000000000000,1754087108.000000000000000000000000000000,12.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 2579 feature_id 1 p 74 big_windowSize 986 small_windowSize 209,1.000000000000000000000000000000,,i7180,5736628.000000000000000000000000000000,,,,,,,7995_0,FAILED,SOBOL,,,2579,1,74,986,209
7996,,,,,,,,,,,,,,,7996_0,ABANDONED,SOBOL,,,3582,4,207,553,377
7997,,,,,,,,,,,,,,,7997_0,ABANDONED,SOBOL,,,2172,2,298,1421,1970
7998,,,,,,,,,,,,,,,7998_0,ABANDONED,SOBOL,,,267,3,11,351,1004
7999,,,,,,,,,,,,,,,7999_0,ABANDONED,SOBOL,,,4176,0,478,1746,597
8000,1754087133.000000000000000000000000000000,1754087258.000000000000000000000000000000,125.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 4218 feature_id 2 p 22 big_windowSize 187 small_windowSize 20,0.000000000000000000000000000000,,i7180,5736637.000000000000000000000000000000,115.000000000000000000000000000000,550.730468750000000000000000000000,550.730468750000000000000000000000,-1.000000000000000000000000000000,0.289999999999999980015985556747,0.000000000000000000000000000000,8000_0,COMPLETED,SOBOL,115.000000000000000000000000000000,0.000000000000000000000000000000,4218,2,22,187,20
8001,,,,,,,,,,,,,,,8001_0,ABANDONED,SOBOL,,,305,0,491,1786,1612
8002,,,,,,,,,,,,,,,8002_0,ABANDONED,SOBOL,,,2130,3,203,982,1392
8003,,,,,,,,,,,,,,,8003_0,ABANDONED,SOBOL,,,3543,1,294,1116,985
8004,,,,,,,,,,,,,,,8004_0,ABANDONED,SOBOL,,,2622,4,427,1425,662
8005,,,,,,,,,,,,,,,8005_0,ABANDONED,SOBOL,,,1843,2,86,541,1193
8006,,,,,,,,,,,,,,,8006_0,ABANDONED,SOBOL,,,1187,3,357,1720,1789
8007,,,,,,,,,,,,,,,8007_0,ABANDONED,SOBOL,,,4467,0,140,372,320
8008,,,,,,,,,,,,,,,8008_0,ABANDONED,SOBOL,,,4800,4,322,741,1746
8009,,,,,,,,,,,,,,,8009_0,ABANDONED,SOBOL,,,896,1,167,1356,152
8010,,,,,,,,,,,,,,,8010_0,ABANDONED,SOBOL,,,1549,2,392,412,868
8011,,,,,,,,,,,,,,,8011_0,ABANDONED,SOBOL,,,2952,0,113,1561,1275
8012,,,,,,,,,,,,,,,8012_0,ABANDONED,SOBOL,,,3213,3,231,1995,1076
8013,,,,,,,,,,,,,,,8013_0,ABANDONED,SOBOL,,,2424,1,259,97,544
8014,,,,,,,,,,,,,,,8014_0,ABANDONED,SOBOL,,,597,4,49,1166,453
8015,,,,,,,,,,,,,,,8015_0,ABANDONED,SOBOL,,,3886,2,455,801,1921
8016,,,,,,,,,,,,,,,8016_0,ABANDONED,SOBOL,,,3979,4,182,1684,908
8017,,,,,,,,,,,,,,,8017_0,ABANDONED,SOBOL,,,389,1,338,289,1439
8018,,,,,,,,,,,,,,,8018_0,ABANDONED,SOBOL,,,2213,3,98,1484,1535
8019,1754087825.000000000000000000000000000000,1754088080.000000000000000000000000000000,255.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 3304 feature_id 1 p 376 big_windowSize 616 small_windowSize 66,0.000000000000000000000000000000,,i7180,5736723.000000000000000000000000000000,246.000000000000000000000000000000,552.769531250000000000000000000000,552.769531250000000000000000000000,-1.000000000000000000000000000000,0.340000000000000024424906541753,0.000000000000000000000000000000,8019_0,COMPLETED,SOBOL,246.000000000000000000000000000000,0.000000000000000000000000000000,3304,1,376,616,66
