trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,const,max_depth,threshold
10,,,,,,,,,,,,,,,10_0,FAILED,SOBOL,,,1318,2319,5.429013664839789754523735609837,15,0.959333995336666744968567854812
11,1753865950.000000000000000000000000000000,1753871293.000000000000000000000000000000,5343.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 4799 n_samples 4220 const 2.7967963418504223 max_depth 9 threshold 0.16097942566499115,0.000000000000000000000000000000,,i7168,5325.000000000000000000000000000000,552.816406250000000000000000000000,543.105124941479402878030668944120,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5694958.000000000000000000000000000000,11_0,COMPLETED,SOBOL,5325.000000000000000000000000000000,0.000000000000000000000000000000,4799,4220,2.796796341850422251695817976724,9,0.160979425664991154798499906065
12,1753865933.000000000000000000000000000000,1753866319.000000000000000000000000000000,386.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 4107 n_samples 1461 const 1.855633931333199 max_depth 7 threshold 0.04416354285925627,0.000000000000000000000000000000,,i7166,369.000000000000000000000000000000,553.046875000000000000000000000000,553.046875000000000000000000000000,-1.000000000000000000000000000000,0.320000000000000006661338147751,1.126500000000000056843418860808,5694962.000000000000000000000000000000,12_0,COMPLETED,SOBOL,369.000000000000000000000000000000,6.500000000000000000000000000000,4107,1461,1.855633931333199093671737500699,7,0.044163542859256270378676134669
13,,,,,,,,,,,,,,,13_0,FAILED,SOBOL,,,1965,4463,8.831821135054342519765668839682,11,0.842213420694693959411836203799
14,1753865949.000000000000000000000000000000,1753866006.000000000000000000000000000000,57.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 207 n_samples 805 const 4.534310943062418 max_depth 3 threshold 0.5022447172980755,0.000000000000000000000000000000,,i7178,39.000000000000000000000000000000,554.074218750000000000000000000000,553.740885416666628771054092794657,-1.000000000000000000000000000000,0.340000000000000024424906541753,0.181125000000000008215650382226,5694970.000000000000000000000000000000,14_0,COMPLETED,SOBOL,39.000000000000000000000000000000,8.380000000000000781597009336110,207,805,4.534310943062417997850843676133,3,0.502244717298075515898858611763
15,,,,,,,,,,,,,,,15_0,FAILED,SOBOL,,,3679,2647,7.245864842632785851606058713514,19,0.360771155774593343945610968149
16,1753865951.000000000000000000000000000000,1753865995.000000000000000000000000000000,44.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 3528 n_samples 755 const 0.887828580855392 max_depth 10 threshold 0.8745645041447133,0.000000000000000000000000000000,,i7163,28.000000000000000000000000000000,554.738281250000000000000000000000,553.138281249999977262632455676794,-1.000000000000000000000000000000,0.330000000000000015543122344752,1.511624999999999996447286321199,5694978.000000000000000000000000000000,16_0,COMPLETED,SOBOL,28.000000000000000000000000000000,9.330000000000000071054273576010,3528,755,0.887828580855391957804556568590,10,0.874564504144713317224102411274
17,,,,,,,,,,,,,,,17_0,FAILED,SOBOL,,,45,2660,8.587832884354517304359433182981,14,0.238057907342910768377919339400
18,1753865961.000000000000000000000000000000,1753865987.000000000000000000000000000000,26.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 2116 n_samples 1356 const 3.042576259372756 max_depth 2 threshold 0.42041228323429825,0.000000000000000000000000000000,,i7159,11.000000000000000000000000000000,550.742187500000000000000000000000,550.742187500000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,1.058000000000000051514348342607,5694987.000000000000000000000000000000,18_0,COMPLETED,SOBOL,11.000000000000000000000000000000,6.139999999999999680255768907955,2116,1356,3.042576259372756108945168307400,2,0.420412283234298245204740851477
19,,,,,,,,,,,,,,,19_0,FAILED,SOBOL,,,4269,4607,5.027895736529492509703231917229,18,0.715632250791415569501907611993
